date,2024-02-16
2018-01-07,47.0
2018-01-14,19.0
2018-01-21,50.0
2018-01-28,18.0
2018-02-04,28.0
2018-02-11,42.0
2018-02-18,56.0
2018-02-25,14.0
2018-03-04,36.0
2018-03-11,31.0
2018-03-18,32.0
2018-03-25,35.0
2018-04-01,47.0
2018-04-08,14.0
2018-04-15,54.0
2018-04-22,45.0
2018-04-29,24.0
2018-05-06,34.0
2018-05-13,8.0
2018-05-20,29.0
2018-05-27,25.0
2018-06-03,25.0
2018-06-10,0.0
2018-06-17,45.0
2018-06-24,36.0
2018-07-01,12.0
2018-07-08,12.0
2018-07-15,21.0
2018-07-22,24.0
2018-07-29,34.0
2018-08-05,12.0
2018-08-12,16.0
2018-08-19,32.0
2018-08-26,29.0
2018-09-02,30.0
2018-09-09,22.0
2018-09-16,49.0
2018-09-23,40.0
2018-09-30,24.0
2018-10-07,30.0
2018-10-14,28.0
2018-10-21,23.0
2018-10-28,34.0
2018-11-04,48.0
2018-11-11,79.0
2018-11-18,100.0
2018-11-25,48.0
2018-12-02,56.0
2018-12-09,50.0
2018-12-16,75.0
2018-12-23,57.0
2018-12-30,29.0
2019-01-06,36.0
2019-01-13,35.0
2019-01-20,30.0
2019-01-27,43.0
2019-02-03,22.0
2019-02-10,62.0
2019-02-17,22.0
2019-02-24,16.0
2019-03-03,37.0
2019-03-10,35.0
2019-03-17,22.0
2019-03-24,38.0
2019-03-31,18.0
2019-04-07,41.0
2019-04-14,34.0
2019-04-21,51.0
2019-04-28,18.0
2019-05-05,43.0
2019-05-12,18.0
2019-05-19,33.0
2019-05-26,36.0
2019-06-02,20.0
2019-06-09,28.0
2019-06-16,11.0
2019-06-23,29.0
2019-06-30,26.0
2019-07-07,32.0
2019-07-14,44.0
2019-07-21,10.0
2019-07-28,29.0
2019-08-04,37.0
2019-08-11,32.0
2019-08-18,28.0
2019-08-25,22.0
2019-09-01,46.0
2019-09-08,22.0
2019-09-15,9.0
2019-09-22,36.0
2019-09-29,37.0
2019-10-06,42.0
2019-10-13,24.0
2019-10-20,48.0
2019-10-27,39.0
2019-11-03,51.0
2019-11-10,44.0
2019-11-17,79.0
2019-11-24,58.0
2019-12-01,57.0
2019-12-08,39.0
2019-12-15,14.0
2019-12-22,48.0
2019-12-29,31.0
2020-01-05,22.0
2020-01-12,39.0
2020-01-19,52.0
2020-01-26,31.0
2020-02-02,67.0
2020-02-09,53.0
2020-02-16,20.0
2020-02-23,47.0
2020-03-01,28.0
2020-03-08,35.0
2020-03-15,30.0
