date,2023-01-01
2018-01-07,51.0
2018-01-14,55.0
2018-01-21,55.0
2018-01-28,66.0
2018-02-04,71.0
2018-02-11,79.0
2018-02-18,57.0
2018-02-25,52.0
2018-03-04,36.0
2018-03-11,59.0
2018-03-18,64.0
2018-03-25,34.0
2018-04-01,57.0
2018-04-08,59.0
2018-04-15,46.0
2018-04-22,66.0
2018-04-29,47.0
2018-05-06,59.0
2018-05-13,50.0
2018-05-20,58.0
2018-05-27,47.0
2018-06-03,51.0
2018-06-10,50.0
2018-06-17,100.0
2018-06-24,57.0
2018-07-01,66.0
2018-07-08,67.0
2018-07-15,28.0
2018-07-22,59.0
2018-07-29,71.0
2018-08-05,81.0
2018-08-12,49.0
2018-08-19,43.0
2018-08-26,51.0
2018-09-02,58.0
2018-09-09,49.0
2018-09-16,65.0
2018-09-23,55.0
2018-09-30,65.0
2018-10-07,64.0
2018-10-14,52.0
2018-10-21,42.0
2018-10-28,49.0
2018-11-04,56.0
2018-11-11,59.0
2018-11-18,37.0
2018-11-25,46.0
2018-12-02,46.0
2018-12-09,51.0
2018-12-16,56.0
2018-12-23,43.0
2018-12-30,71.0
2019-01-06,132.0754716981132
2019-01-13,188.67924528301887
2019-01-20,105.66037735849056
2019-01-27,79.24528301886792
2019-02-03,60.37735849056604
2019-02-10,62.264150943396224
2019-02-17,79.24528301886792
2019-02-24,64.15094339622641
2019-03-03,52.83018867924528
2019-03-10,39.62264150943396
2019-03-17,45.283018867924525
2019-03-24,50.943396226415096
2019-03-31,50.943396226415096
2019-04-07,39.62264150943396
2019-04-14,47.16981132075472
2019-04-21,45.283018867924525
2019-04-28,56.60377358490566
2019-05-05,69.81132075471699
2019-05-12,75.47169811320755
2019-05-19,43.39622641509434
2019-05-26,50.943396226415096
2019-06-02,88.67924528301887
2019-06-09,92.45283018867924
2019-06-16,58.49056603773585
2019-06-23,49.056603773584904
2019-06-30,81.13207547169812
2019-07-07,54.716981132075475
2019-07-14,66.0377358490566
2019-07-21,69.81132075471699
2019-07-28,83.01886792452831
2019-08-04,81.13207547169812
2019-08-11,64.15094339622641
2019-08-18,49.056603773584904
2019-08-25,43.39622641509434
2019-09-01,52.83018867924528
2019-09-08,73.58490566037736
2019-09-15,37.735849056603776
2019-09-22,43.39622641509434
2019-09-29,58.49056603773585
2019-10-06,56.60377358490566
2019-10-13,60.37735849056604
2019-10-20,56.60377358490566
2019-10-27,54.716981132075475
2019-11-03,69.81132075471699
2019-11-10,49.056603773584904
2019-11-17,62.264150943396224
2019-11-24,45.283018867924525
2019-12-01,109.43396226415095
2019-12-08,66.0377358490566
2019-12-15,50.943396226415096
2019-12-22,43.39622641509434
2019-12-29,45.283018867924525
2020-01-05,35.0
2020-01-12,33.0
2020-01-19,30.0
2020-01-26,25.0
2020-02-02,30.0
2020-02-09,27.0
2020-02-16,26.0
2020-02-23,22.0
2020-03-01,28.0
2020-03-08,34.0
2020-03-15,37.0
2020-03-22,57.0
2020-03-29,71.0
2020-04-05,65.0
2020-04-12,87.0
2020-04-19,46.0
2020-04-26,60.0
2020-05-03,52.0
2020-05-10,60.0
2020-05-17,49.0
2020-05-24,48.0
2020-05-31,41.0
2020-06-07,45.0
2020-06-14,40.0
2020-06-21,37.0
2020-06-28,41.0
2020-07-05,40.0
2020-07-12,40.0
2020-07-19,38.0
2020-07-26,45.0
2020-08-02,49.0
2020-08-09,43.0
2020-08-16,39.0
2020-08-23,38.0
2020-08-30,31.0
2020-09-06,37.0
2020-09-13,33.0
2020-09-20,31.0
2020-09-27,29.0
2020-10-04,32.0
2020-10-11,42.0
2020-10-18,43.0
2020-10-25,33.0
2020-11-01,31.0
2020-11-08,41.0
2020-11-15,40.0
2020-11-22,31.0
2020-11-29,39.0
2020-12-06,35.0
2020-12-13,53.0
2020-12-20,38.0
2020-12-27,34.0
2021-01-03,47.0
2021-01-10,38.0
2021-01-17,39.0
2021-01-24,50.0
2021-01-31,55.0
2021-02-07,51.0
2021-02-14,36.0
2021-02-21,40.0
2021-02-28,44.0
2021-03-07,44.0
2021-03-14,41.0
2021-03-21,33.0
2021-03-28,32.0
2021-04-04,43.0
2021-04-11,32.0
2021-04-18,33.0
2021-04-25,33.0
2021-05-02,30.0
2021-05-09,38.0
2021-05-16,32.0
2021-05-23,31.0
2021-05-30,47.0
2021-06-06,34.0
2021-06-13,45.0
2021-06-20,35.0
2021-06-27,39.0
2021-07-04,41.0
2021-07-11,49.0
2021-07-18,51.0
2021-07-25,38.0
2021-08-01,34.0
2021-08-08,49.0
2021-08-15,75.0
2021-08-22,35.0
2021-08-29,43.0
2021-09-05,53.0
2021-09-12,33.0
2021-09-19,46.0
2021-09-26,40.0
2021-10-03,53.0
2021-10-10,53.0
2021-10-17,55.0
2021-10-24,51.0
2021-10-31,56.0
2021-11-07,48.0
2021-11-14,53.0
2021-11-21,29.0
2021-11-28,49.0
2021-12-05,55.0
2021-12-12,41.0
2021-12-19,28.0
2021-12-26,39.0
2022-01-02,44.625
2022-01-09,48.125
2022-01-16,54.25
2022-01-23,48.125
2022-01-30,64.75
2022-02-06,52.5
2022-02-13,49.0
2022-02-20,55.125
2022-02-27,49.875
2022-03-06,56.875
2022-03-13,54.25
2022-03-20,49.875
2022-03-27,47.25
2022-04-03,49.0
2022-04-10,49.0
2022-04-17,47.25
2022-04-24,43.75
2022-05-01,41.125
2022-05-08,47.25
2022-05-15,59.5
2022-05-22,47.25
2022-05-29,48.125
2022-06-05,49.875
2022-06-12,53.375
2022-06-19,40.25
2022-06-26,52.5
2022-07-03,53.375
2022-07-10,58.625
2022-07-17,87.5
2022-07-24,47.25
2022-07-31,48.125
2022-08-07,56.0
2022-08-14,53.375
2022-08-21,45.5
2022-08-28,54.25
2022-09-04,66.5
2022-09-11,51.625
2022-09-18,48.125
2022-09-25,49.0
2022-10-02,62.125
2022-10-09,74.375
2022-10-16,46.375
2022-10-23,48.125
2022-10-30,54.25
2022-11-06,57.75
2022-11-13,65.625
2022-11-20,59.5
2022-11-27,51.625
2022-12-04,55.125
2022-12-11,68.25
2022-12-18,42.0
2022-12-25,44.625
2023-01-01,52.5
