date,2024-02-16
2020-02-02,54
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,26
2020-03-15,27
2020-03-22,0
2020-03-29,0
2020-04-05,23
2020-04-12,0
2020-04-19,77
2020-04-26,23
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,29
2020-06-21,27
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,27
2020-08-02,0
2020-08-09,0
2020-08-16,31
2020-08-23,0
2020-08-30,39
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,26
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,60
2020-12-13,0
2020-12-20,0
2020-12-27,53
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,25
2021-02-07,0
2021-02-14,0
2021-02-21,41
2021-02-28,24
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,30
2021-04-18,0
2021-04-25,29
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,37
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,26
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,50
2021-10-03,34
2021-10-10,0
2021-10-17,86
2021-10-24,0
2021-10-31,0
2021-11-07,100
2021-11-14,36
2021-11-21,0
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,49
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,0
2022-02-06,0
2022-02-13,0
2022-02-20,24
2022-02-27,48
2022-03-06,0
2022-03-13,31
2022-03-20,62
2022-03-27,37
2022-04-03,0
2022-04-10,0
2022-04-17,25
2022-04-24,87
2022-05-01,26
2022-05-08,0
2022-05-15,0
2022-05-22,0
2022-05-29,0
2022-06-05,0
2022-06-12,33
2022-06-19,39
2022-06-26,0
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,90
2022-07-31,51
2022-08-07,0
2022-08-14,28
2022-08-21,35
2022-08-28,0
2022-09-04,0
2022-09-11,42
2022-09-18,0
2022-09-25,0
2022-10-02,0
2022-10-09,28
2022-10-16,24
2022-10-23,0
2022-10-30,0
2022-11-06,47
2022-11-13,0
2022-11-20,0
2022-11-27,0
2022-12-04,0
2022-12-11,0
2022-12-18,51
2022-12-25,35
2023-01-01,45
2023-01-08,30
2023-01-15,38
2023-01-22,0
2023-01-29,54
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,27
2023-03-12,35
2023-03-19,40
2023-03-26,27
2023-04-02,0
2023-04-09,35
2023-04-16,30
2023-04-23,0
2023-04-30,29
2023-05-07,39
2023-05-14,25
2023-05-21,0
2023-05-28,0
2023-06-04,30
2023-06-11,40
2023-06-18,0
2023-06-25,0
2023-07-02,0
2023-07-09,0
2023-07-16,0
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,28
2023-08-27,45
2023-09-03,0
2023-09-10,0
2023-09-17,0
2023-09-24,0
2023-10-01,26
2023-10-08,0
2023-10-15,0
2023-10-22,0
2023-10-29,41
2023-11-05,0
2023-11-12,0
2023-11-19,0
2023-11-26,38
2023-12-03,28
2023-12-10,27
2023-12-17,29
2023-12-24,0
2023-12-31,0
2024-01-07,0
2024-01-14,0
2024-01-21,79
2024-01-28,0
2024-02-04,0
