date,2024-02-16
2020-02-02,26
2020-02-09,21
2020-02-16,19
2020-02-23,16
2020-03-01,19
2020-03-08,22
2020-03-15,43
2020-03-22,48
2020-03-29,60
2020-04-05,74
2020-04-12,73
2020-04-19,59
2020-04-26,69
2020-05-03,62
2020-05-10,64
2020-05-17,78
2020-05-24,52
2020-05-31,48
2020-06-07,46
2020-06-14,44
2020-06-21,41
2020-06-28,41
2020-07-05,37
2020-07-12,46
2020-07-19,39
2020-07-26,41
2020-08-02,41
2020-08-09,43
2020-08-16,36
2020-08-23,33
2020-08-30,40
2020-09-06,35
2020-09-13,40
2020-09-20,30
2020-09-27,39
2020-10-04,38
2020-10-11,39
2020-10-18,30
2020-10-25,27
2020-11-01,30
2020-11-08,34
2020-11-15,36
2020-11-22,26
2020-11-29,39
2020-12-06,35
2020-12-13,49
2020-12-20,45
2020-12-27,37
2021-01-03,44
2021-01-10,43
2021-01-17,39
2021-01-24,35
2021-01-31,44
2021-02-07,46
2021-02-14,39
2021-02-21,37
2021-02-28,40
2021-03-07,37
2021-03-14,25
2021-03-21,30
2021-03-28,36
2021-04-04,43
2021-04-11,37
2021-04-18,33
2021-04-25,30
2021-05-02,35
2021-05-09,32
2021-05-16,32
2021-05-23,36
2021-05-30,31
2021-06-06,37
2021-06-13,34
2021-06-20,36
2021-06-27,45
2021-07-04,44
2021-07-11,49
2021-07-18,40
2021-07-25,42
2021-08-01,45
2021-08-08,44
2021-08-15,44
2021-08-22,42
2021-08-29,46
2021-09-05,49
2021-09-12,55
2021-09-19,56
2021-09-26,67
2021-10-03,67
2021-10-10,60
2021-10-17,59
2021-10-24,55
2021-10-31,63
2021-11-07,61
2021-11-14,53
2021-11-21,38
2021-11-28,48
2021-12-05,52
2021-12-12,41
2021-12-19,34
2021-12-26,36
2022-01-02,58
2022-01-09,55
2022-01-16,53
2022-01-23,51
2022-01-30,60
2022-02-06,56
2022-02-13,53
2022-02-20,64
2022-02-27,65
2022-03-06,58
2022-03-13,53
2022-03-20,60
2022-03-27,55
2022-04-03,53
2022-04-10,46
2022-04-17,49
2022-04-24,51
2022-05-01,60
2022-05-08,51
2022-05-15,52
2022-05-22,50
2022-05-29,51
2022-06-05,53
2022-06-12,51
2022-06-19,53
2022-06-26,62
2022-07-03,70
2022-07-10,76
2022-07-17,64
2022-07-24,67
2022-07-31,75
2022-08-07,71
2022-08-14,77
2022-08-21,68
2022-08-28,69
2022-09-04,70
2022-09-11,66
2022-09-18,73
2022-09-25,78
2022-10-02,100
2022-10-09,81
2022-10-16,84
2022-10-23,63
2022-10-30,78
2022-11-06,70
2022-11-13,74
2022-11-20,61
2022-11-27,70
2022-12-04,67
2022-12-11,63
2022-12-18,63
2022-12-25,50
2023-01-01,76
2023-01-08,72
2023-01-15,65
2023-01-22,69
2023-01-29,83
2023-02-05,78
2023-02-12,71
2023-02-19,63
2023-02-26,85
2023-03-05,78
2023-03-12,70
2023-03-19,65
2023-03-26,68
2023-04-02,82
2023-04-09,67
2023-04-16,65
2023-04-23,61
2023-04-30,72
2023-05-07,75
2023-05-14,65
2023-05-21,58
2023-05-28,62
2023-06-04,79
2023-06-11,61
2023-06-18,66
2023-06-25,73
2023-07-02,82
2023-07-09,77
2023-07-16,68
2023-07-23,66
2023-07-30,80
2023-08-06,85
2023-08-13,73
2023-08-20,66
2023-08-27,71
2023-09-03,87
2023-09-10,70
2023-09-17,71
2023-09-24,68
2023-10-01,84
2023-10-08,70
2023-10-15,71
2023-10-22,65
2023-10-29,76
2023-11-05,78
2023-11-12,62
2023-11-19,51
2023-11-26,66
2023-12-03,84
2023-12-10,65
2023-12-17,64
2023-12-24,55
2023-12-31,69
2024-01-07,83
2024-01-14,67
2024-01-21,64
2024-01-28,78
2024-02-04,76
