date,2024-02-16
2020-02-02,20
2020-02-09,0
2020-02-16,0
2020-02-23,18
2020-03-01,13
2020-03-08,24
2020-03-15,24
2020-03-22,0
2020-03-29,13
2020-04-05,65
2020-04-12,58
2020-04-19,0
2020-04-26,34
2020-05-03,20
2020-05-10,36
2020-05-17,56
2020-05-24,54
2020-05-31,14
2020-06-07,0
2020-06-14,35
2020-06-21,13
2020-06-28,0
2020-07-05,70
2020-07-12,24
2020-07-19,0
2020-07-26,0
2020-08-02,0
2020-08-09,22
2020-08-16,0
2020-08-23,21
2020-08-30,0
2020-09-06,36
2020-09-13,0
2020-09-20,21
2020-09-27,30
2020-10-04,52
2020-10-11,24
2020-10-18,27
2020-10-25,0
2020-11-01,17
2020-11-08,18
2020-11-15,0
2020-11-22,0
2020-11-29,16
2020-12-06,33
2020-12-13,46
2020-12-20,0
2020-12-27,53
2021-01-03,51
2021-01-10,0
2021-01-17,17
2021-01-24,23
2021-01-31,56
2021-02-07,22
2021-02-14,44
2021-02-21,24
2021-02-28,16
2021-03-07,26
2021-03-14,49
2021-03-21,0
2021-03-28,61
2021-04-04,20
2021-04-11,13
2021-04-18,13
2021-04-25,12
2021-05-02,0
2021-05-09,0
2021-05-16,14
2021-05-23,31
2021-05-30,0
2021-06-06,31
2021-06-13,13
2021-06-20,17
2021-06-27,30
2021-07-04,29
2021-07-11,30
2021-07-18,23
2021-07-25,0
2021-08-01,21
2021-08-08,26
2021-08-15,31
2021-08-22,59
2021-08-29,28
2021-09-05,19
2021-09-12,0
2021-09-19,28
2021-09-26,49
2021-10-03,27
2021-10-10,20
2021-10-17,0
2021-10-24,25
2021-10-31,35
2021-11-07,24
2021-11-14,12
2021-11-21,0
2021-11-28,25
2021-12-05,37
2021-12-12,17
2021-12-19,0
2021-12-26,13
2022-01-02,32
2022-01-09,19
2022-01-16,0
2022-01-23,31
2022-01-30,27
2022-02-06,26
2022-02-13,34
2022-02-20,19
2022-02-27,32
2022-03-06,24
2022-03-13,24
2022-03-20,37
2022-03-27,0
2022-04-03,26
2022-04-10,0
2022-04-17,21
2022-04-24,13
2022-05-01,0
2022-05-08,48
2022-05-15,30
2022-05-22,27
2022-05-29,16
2022-06-05,28
2022-06-12,67
2022-06-19,28
2022-06-26,23
2022-07-03,33
2022-07-10,36
2022-07-17,39
2022-07-24,61
2022-07-31,22
2022-08-07,61
2022-08-14,0
2022-08-21,69
2022-08-28,45
2022-09-04,39
2022-09-11,48
2022-09-18,66
2022-09-25,47
2022-10-02,56
2022-10-09,23
2022-10-16,31
2022-10-23,73
2022-10-30,57
2022-11-06,42
2022-11-13,41
2022-11-20,36
2022-11-27,39
2022-12-04,15
2022-12-11,42
2022-12-18,0
2022-12-25,30
2023-01-01,18
2023-01-08,25
2023-01-15,40
2023-01-22,43
2023-01-29,39
2023-02-05,36
2023-02-12,47
2023-02-19,17
2023-02-26,25
2023-03-05,12
2023-03-12,36
2023-03-19,19
2023-03-26,0
2023-04-02,14
2023-04-09,20
2023-04-16,26
2023-04-23,0
2023-04-30,53
2023-05-07,39
2023-05-14,23
2023-05-21,23
2023-05-28,35
2023-06-04,50
2023-06-11,23
2023-06-18,41
2023-06-25,43
2023-07-02,66
2023-07-09,56
2023-07-16,30
2023-07-23,90
2023-07-30,65
2023-08-06,44
2023-08-13,42
2023-08-20,28
2023-08-27,85
2023-09-03,100
2023-09-10,50
2023-09-17,38
2023-09-24,45
2023-10-01,26
2023-10-08,17
2023-10-15,40
2023-10-22,52
2023-10-29,57
2023-11-05,29
2023-11-12,76
2023-11-19,0
2023-11-26,48
2023-12-03,44
2023-12-10,47
2023-12-17,78
2023-12-24,13
2023-12-31,49
2024-01-07,17
2024-01-14,22
2024-01-21,0
2024-01-28,39
2024-02-04,45
