date,2024-02-16
2020-02-02,43
2020-02-09,28
2020-02-16,19
2020-02-23,32
2020-03-01,28
2020-03-08,29
2020-03-15,35
2020-03-22,50
2020-03-29,70
2020-04-05,66
2020-04-12,75
2020-04-19,61
2020-04-26,84
2020-05-03,71
2020-05-10,71
2020-05-17,67
2020-05-24,47
2020-05-31,52
2020-06-07,48
2020-06-14,52
2020-06-21,43
2020-06-28,50
2020-07-05,41
2020-07-12,35
2020-07-19,39
2020-07-26,36
2020-08-02,49
2020-08-09,52
2020-08-16,48
2020-08-23,41
2020-08-30,47
2020-09-06,39
2020-09-13,32
2020-09-20,37
2020-09-27,41
2020-10-04,45
2020-10-11,63
2020-10-18,38
2020-10-25,29
2020-11-01,32
2020-11-08,48
2020-11-15,37
2020-11-22,30
2020-11-29,53
2020-12-06,46
2020-12-13,66
2020-12-20,41
2020-12-27,40
2021-01-03,55
2021-01-10,55
2021-01-17,38
2021-01-24,48
2021-01-31,52
2021-02-07,60
2021-02-14,43
2021-02-21,45
2021-02-28,53
2021-03-07,52
2021-03-14,47
2021-03-21,33
2021-03-28,56
2021-04-04,55
2021-04-11,47
2021-04-18,43
2021-04-25,40
2021-05-02,52
2021-05-09,43
2021-05-16,54
2021-05-23,43
2021-05-30,45
2021-06-06,57
2021-06-13,48
2021-06-20,51
2021-06-27,53
2021-07-04,55
2021-07-11,63
2021-07-18,47
2021-07-25,46
2021-08-01,57
2021-08-08,53
2021-08-15,59
2021-08-22,70
2021-08-29,70
2021-09-05,84
2021-09-12,62
2021-09-19,61
2021-09-26,64
2021-10-03,89
2021-10-10,89
2021-10-17,80
2021-10-24,58
2021-10-31,87
2021-11-07,67
2021-11-14,59
2021-11-21,37
2021-11-28,67
2021-12-05,65
2021-12-12,52
2021-12-19,47
2021-12-26,44
2022-01-02,75
2022-01-09,70
2022-01-16,71
2022-01-23,61
2022-01-30,78
2022-02-06,67
2022-02-13,68
2022-02-20,83
2022-02-27,76
2022-03-06,72
2022-03-13,73
2022-03-20,62
2022-03-27,64
2022-04-03,71
2022-04-10,67
2022-04-17,46
2022-04-24,57
2022-05-01,66
2022-05-08,58
2022-05-15,61
2022-05-22,51
2022-05-29,56
2022-06-05,58
2022-06-12,69
2022-06-19,56
2022-06-26,78
2022-07-03,75
2022-07-10,70
2022-07-17,81
2022-07-24,77
2022-07-31,64
2022-08-07,77
2022-08-14,80
2022-08-21,76
2022-08-28,70
2022-09-04,82
2022-09-11,75
2022-09-18,76
2022-09-25,78
2022-10-02,80
2022-10-09,76
2022-10-16,81
2022-10-23,65
2022-10-30,68
2022-11-06,73
2022-11-13,75
2022-11-20,57
2022-11-27,61
2022-12-04,70
2022-12-11,60
2022-12-18,60
2022-12-25,51
2023-01-01,64
2023-01-08,84
2023-01-15,83
2023-01-22,77
2023-01-29,81
2023-02-05,88
2023-02-12,75
2023-02-19,65
2023-02-26,76
2023-03-05,83
2023-03-12,71
2023-03-19,96
2023-03-26,66
2023-04-02,77
2023-04-09,70
2023-04-16,64
2023-04-23,55
2023-04-30,76
2023-05-07,68
2023-05-14,58
2023-05-21,60
2023-05-28,66
2023-06-04,70
2023-06-11,65
2023-06-18,59
2023-06-25,65
2023-07-02,74
2023-07-09,75
2023-07-16,71
2023-07-23,74
2023-07-30,93
2023-08-06,87
2023-08-13,84
2023-08-20,94
2023-08-27,88
2023-09-03,100
2023-09-10,85
2023-09-17,89
2023-09-24,80
2023-10-01,89
2023-10-08,77
2023-10-15,75
2023-10-22,75
2023-10-29,73
2023-11-05,81
2023-11-12,68
2023-11-19,46
2023-11-26,72
2023-12-03,82
2023-12-10,66
2023-12-17,55
2023-12-24,57
2023-12-31,68
2024-01-07,86
2024-01-14,80
2024-01-21,71
2024-01-28,90
2024-02-04,85
