date,2024-02-16
2020-02-02,46
2020-02-09,0
2020-02-16,47
2020-02-23,37
2020-03-01,26
2020-03-08,0
2020-03-15,31
2020-03-22,39
2020-03-29,59
2020-04-05,59
2020-04-12,20
2020-04-19,35
2020-04-26,91
2020-05-03,49
2020-05-10,20
2020-05-17,17
2020-05-24,15
2020-05-31,47
2020-06-07,63
2020-06-14,0
2020-06-21,21
2020-06-28,0
2020-07-05,0
2020-07-12,23
2020-07-19,22
2020-07-26,0
2020-08-02,0
2020-08-09,0
2020-08-16,21
2020-08-23,0
2020-08-30,46
2020-09-06,0
2020-09-13,0
2020-09-20,42
2020-09-27,0
2020-10-04,18
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,21
2020-11-15,28
2020-11-22,30
2020-11-29,94
2020-12-06,40
2020-12-13,38
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,28
2021-01-17,0
2021-01-24,41
2021-01-31,0
2021-02-07,58
2021-02-14,0
2021-02-21,29
2021-02-28,22
2021-03-07,0
2021-03-14,18
2021-03-21,0
2021-03-28,0
2021-04-04,37
2021-04-11,0
2021-04-18,0
2021-04-25,21
2021-05-02,21
2021-05-09,22
2021-05-16,31
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,38
2021-06-20,0
2021-06-27,59
2021-07-04,0
2021-07-11,32
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,64
2021-10-17,27
2021-10-24,0
2021-10-31,0
2021-11-07,35
2021-11-14,46
2021-11-21,33
2021-11-28,26
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,28
2022-01-09,0
2022-01-16,0
2022-01-23,36
2022-01-30,34
2022-02-06,0
2022-02-13,54
2022-02-20,24
2022-02-27,35
2022-03-06,0
2022-03-13,23
2022-03-20,70
2022-03-27,0
2022-04-03,27
2022-04-10,0
2022-04-17,0
2022-04-24,24
2022-05-01,0
2022-05-08,0
2022-05-15,0
2022-05-22,39
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,0
2022-07-03,22
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,29
2022-08-14,35
2022-08-21,74
2022-08-28,27
2022-09-04,0
2022-09-11,33
2022-09-18,26
2022-09-25,41
2022-10-02,28
2022-10-09,61
2022-10-16,38
2022-10-23,35
2022-10-30,0
2022-11-06,53
2022-11-13,35
2022-11-20,0
2022-11-27,23
2022-12-04,56
2022-12-11,36
2022-12-18,0
2022-12-25,41
2023-01-01,38
2023-01-08,0
2023-01-15,20
2023-01-22,38
2023-01-29,84
2023-02-05,38
2023-02-12,82
2023-02-19,39
2023-02-26,33
2023-03-05,0
2023-03-12,41
2023-03-19,43
2023-03-26,56
2023-04-02,24
2023-04-09,25
2023-04-16,0
2023-04-23,46
2023-04-30,62
2023-05-07,86
2023-05-14,0
2023-05-21,100
2023-05-28,66
2023-06-04,49
2023-06-11,38
2023-06-18,47
2023-06-25,28
2023-07-02,50
2023-07-09,35
2023-07-16,73
2023-07-23,74
2023-07-30,40
2023-08-06,53
2023-08-13,57
2023-08-20,21
2023-08-27,0
2023-09-03,0
2023-09-10,68
2023-09-17,76
2023-09-24,35
2023-10-01,0
2023-10-08,32
2023-10-15,42
2023-10-22,0
2023-10-29,48
2023-11-05,0
2023-11-12,29
2023-11-19,0
2023-11-26,50
2023-12-03,50
2023-12-10,0
2023-12-17,0
2023-12-24,0
2023-12-31,76
2024-01-07,81
2024-01-14,0
2024-01-21,0
2024-01-28,56
2024-02-04,42
