date,2024-02-16
2020-02-02,26
2020-02-09,12
2020-02-16,29
2020-02-23,22
2020-03-01,0
2020-03-08,0
2020-03-15,95
2020-03-22,86
2020-03-29,59
2020-04-05,98
2020-04-12,72
2020-04-19,100
2020-04-26,51
2020-05-03,62
2020-05-10,37
2020-05-17,23
2020-05-24,35
2020-05-31,22
2020-06-07,28
2020-06-14,20
2020-06-21,0
2020-06-28,32
2020-07-05,23
2020-07-12,31
2020-07-19,33
2020-07-26,29
2020-08-02,32
2020-08-09,26
2020-08-16,17
2020-08-23,12
2020-08-30,31
2020-09-06,21
2020-09-13,13
2020-09-20,24
2020-09-27,51
2020-10-04,18
2020-10-11,25
2020-10-18,25
2020-10-25,20
2020-11-01,26
2020-11-08,35
2020-11-15,65
2020-11-22,32
2020-11-29,56
2020-12-06,56
2020-12-13,49
2020-12-20,20
2020-12-27,8
2021-01-03,22
2021-01-10,22
2021-01-17,28
2021-01-24,30
2021-01-31,19
2021-02-07,20
2021-02-14,15
2021-02-21,19
2021-02-28,27
2021-03-07,11
2021-03-14,25
2021-03-21,16
2021-03-28,10
2021-04-04,9
2021-04-11,14
2021-04-18,21
2021-04-25,12
2021-05-02,21
2021-05-09,17
2021-05-16,31
2021-05-23,23
2021-05-30,13
2021-06-06,22
2021-06-13,15
2021-06-20,16
2021-06-27,24
2021-07-04,16
2021-07-11,19
2021-07-18,22
2021-07-25,14
2021-08-01,0
2021-08-08,18
2021-08-15,15
2021-08-22,16
2021-08-29,27
2021-09-05,14
2021-09-12,34
2021-09-19,22
2021-09-26,18
2021-10-03,20
2021-10-10,33
2021-10-17,23
2021-10-24,42
2021-10-31,37
2021-11-07,38
2021-11-14,27
2021-11-21,19
2021-11-28,31
2021-12-05,26
2021-12-12,15
2021-12-19,13
2021-12-26,26
2022-01-02,25
2022-01-09,0
2022-01-16,0
2022-01-23,22
2022-01-30,17
2022-02-06,20
2022-02-13,37
2022-02-20,30
2022-02-27,10
2022-03-06,21
2022-03-13,26
2022-03-20,24
2022-03-27,21
2022-04-03,32
2022-04-10,24
2022-04-17,17
2022-04-24,16
2022-05-01,12
2022-05-08,0
2022-05-15,19
2022-05-22,0
2022-05-29,6
2022-06-05,13
2022-06-12,28
2022-06-19,0
2022-06-26,30
2022-07-03,21
2022-07-10,36
2022-07-17,33
2022-07-24,38
2022-07-31,33
2022-08-07,37
2022-08-14,44
2022-08-21,34
2022-08-28,52
2022-09-04,0
2022-09-11,19
2022-09-18,64
2022-09-25,38
2022-10-02,25
2022-10-09,17
2022-10-16,15
2022-10-23,33
2022-10-30,7
2022-11-06,21
2022-11-13,29
2022-11-20,23
2022-11-27,18
2022-12-04,24
2022-12-11,57
2022-12-18,30
2022-12-25,20
2023-01-01,33
2023-01-08,46
2023-01-15,19
2023-01-22,20
2023-01-29,31
2023-02-05,36
2023-02-12,20
2023-02-19,13
2023-02-26,29
2023-03-05,41
2023-03-12,33
2023-03-19,56
2023-03-26,25
2023-04-02,46
2023-04-09,35
2023-04-16,38
2023-04-23,62
2023-04-30,47
2023-05-07,36
2023-05-14,11
2023-05-21,71
2023-05-28,76
2023-06-04,49
2023-06-11,42
2023-06-18,38
2023-06-25,49
2023-07-02,36
2023-07-09,62
2023-07-16,50
2023-07-23,68
2023-07-30,62
2023-08-06,22
2023-08-13,58
2023-08-20,48
2023-08-27,61
2023-09-03,45
2023-09-10,74
2023-09-17,74
2023-09-24,63
2023-10-01,45
2023-10-08,45
2023-10-15,63
2023-10-22,49
2023-10-29,50
2023-11-05,24
2023-11-12,66
2023-11-19,80
2023-11-26,60
2023-12-03,70
2023-12-10,44
2023-12-17,51
2023-12-24,12
2023-12-31,44
2024-01-07,59
2024-01-14,44
2024-01-21,54
2024-01-28,49
2024-02-04,43
