date,2024-02-16
2020-02-02,0
2020-02-09,30
2020-02-16,13
2020-02-23,14
2020-03-01,0
2020-03-08,0
2020-03-15,46
2020-03-22,30
2020-03-29,33
2020-04-05,65
2020-04-12,55
2020-04-19,57
2020-04-26,57
2020-05-03,21
2020-05-10,35
2020-05-17,10
2020-05-24,21
2020-05-31,0
2020-06-07,24
2020-06-14,25
2020-06-21,25
2020-06-28,24
2020-07-05,27
2020-07-12,42
2020-07-19,46
2020-07-26,52
2020-08-02,22
2020-08-09,72
2020-08-16,21
2020-08-23,25
2020-08-30,26
2020-09-06,17
2020-09-13,22
2020-09-20,0
2020-09-27,26
2020-10-04,26
2020-10-11,37
2020-10-18,38
2020-10-25,25
2020-11-01,0
2020-11-08,26
2020-11-15,38
2020-11-22,0
2020-11-29,23
2020-12-06,28
2020-12-13,37
2020-12-20,43
2020-12-27,23
2021-01-03,0
2021-01-10,0
2021-01-17,15
2021-01-24,21
2021-01-31,0
2021-02-07,17
2021-02-14,27
2021-02-21,0
2021-02-28,35
2021-03-07,22
2021-03-14,14
2021-03-21,15
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,50
2021-04-25,19
2021-05-02,20
2021-05-09,33
2021-05-16,10
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,12
2021-06-20,0
2021-06-27,14
2021-07-04,11
2021-07-11,37
2021-07-18,15
2021-07-25,15
2021-08-01,0
2021-08-08,0
2021-08-15,28
2021-08-22,17
2021-08-29,26
2021-09-05,13
2021-09-12,0
2021-09-19,45
2021-09-26,0
2021-10-03,31
2021-10-10,0
2021-10-17,26
2021-10-24,0
2021-10-31,0
2021-11-07,74
2021-11-14,39
2021-11-21,0
2021-11-28,13
2021-12-05,0
2021-12-12,22
2021-12-19,18
2021-12-26,26
2022-01-02,0
2022-01-09,18
2022-01-16,0
2022-01-23,0
2022-01-30,11
2022-02-06,28
2022-02-13,0
2022-02-20,18
2022-02-27,12
2022-03-06,9
2022-03-13,17
2022-03-20,0
2022-03-27,9
2022-04-03,35
2022-04-10,24
2022-04-17,17
2022-04-24,21
2022-05-01,13
2022-05-08,51
2022-05-15,23
2022-05-22,38
2022-05-29,0
2022-06-05,35
2022-06-12,52
2022-06-19,46
2022-06-26,17
2022-07-03,43
2022-07-10,36
2022-07-17,44
2022-07-24,48
2022-07-31,26
2022-08-07,16
2022-08-14,33
2022-08-21,10
2022-08-28,16
2022-09-04,17
2022-09-11,47
2022-09-18,33
2022-09-25,23
2022-10-02,28
2022-10-09,12
2022-10-16,11
2022-10-23,35
2022-10-30,16
2022-11-06,33
2022-11-13,98
2022-11-20,14
2022-11-27,15
2022-12-04,30
2022-12-11,26
2022-12-18,0
2022-12-25,0
2023-01-01,11
2023-01-08,13
2023-01-15,29
2023-01-22,0
2023-01-29,25
2023-02-05,20
2023-02-12,39
2023-02-19,25
2023-02-26,16
2023-03-05,50
2023-03-12,30
2023-03-19,22
2023-03-26,24
2023-04-02,15
2023-04-09,22
2023-04-16,25
2023-04-23,39
2023-04-30,48
2023-05-07,31
2023-05-14,22
2023-05-21,48
2023-05-28,53
2023-06-04,32
2023-06-11,29
2023-06-18,44
2023-06-25,41
2023-07-02,30
2023-07-09,32
2023-07-16,31
2023-07-23,34
2023-07-30,27
2023-08-06,29
2023-08-13,38
2023-08-20,47
2023-08-27,50
2023-09-03,38
2023-09-10,52
2023-09-17,54
2023-09-24,53
2023-10-01,25
2023-10-08,52
2023-10-15,45
2023-10-22,46
2023-10-29,33
2023-11-05,26
2023-11-12,100
2023-11-19,29
2023-11-26,31
2023-12-03,39
2023-12-10,59
2023-12-17,0
2023-12-24,0
2023-12-31,44
2024-01-07,43
2024-01-14,30
2024-01-21,29
2024-01-28,30
2024-02-04,41
