date,2024-02-16
2020-02-02,0
2020-02-09,12
2020-02-16,16
2020-02-23,0
2020-03-01,17
2020-03-08,13
2020-03-15,15
2020-03-22,25
2020-03-29,41
2020-04-05,46
2020-04-12,46
2020-04-19,28
2020-04-26,29
2020-05-03,48
2020-05-10,29
2020-05-17,39
2020-05-24,37
2020-05-31,24
2020-06-07,9
2020-06-14,35
2020-06-21,20
2020-06-28,27
2020-07-05,21
2020-07-12,31
2020-07-19,46
2020-07-26,32
2020-08-02,14
2020-08-09,42
2020-08-16,22
2020-08-23,16
2020-08-30,0
2020-09-06,24
2020-09-13,25
2020-09-20,0
2020-09-27,0
2020-10-04,32
2020-10-11,46
2020-10-18,0
2020-10-25,31
2020-11-01,0
2020-11-08,22
2020-11-15,32
2020-11-22,28
2020-11-29,19
2020-12-06,0
2020-12-13,100
2020-12-20,27
2020-12-27,51
2021-01-03,25
2021-01-10,51
2021-01-17,41
2021-01-24,20
2021-01-31,25
2021-02-07,47
2021-02-14,35
2021-02-21,31
2021-02-28,32
2021-03-07,36
2021-03-14,39
2021-03-21,41
2021-03-28,8
2021-04-04,32
2021-04-11,0
2021-04-18,31
2021-04-25,14
2021-05-02,0
2021-05-09,34
2021-05-16,15
2021-05-23,29
2021-05-30,28
2021-06-06,11
2021-06-13,28
2021-06-20,14
2021-06-27,53
2021-07-04,19
2021-07-11,29
2021-07-18,25
2021-07-25,15
2021-08-01,0
2021-08-08,26
2021-08-15,53
2021-08-22,23
2021-08-29,26
2021-09-05,30
2021-09-12,15
2021-09-19,41
2021-09-26,11
2021-10-03,55
2021-10-10,39
2021-10-17,36
2021-10-24,25
2021-10-31,18
2021-11-07,13
2021-11-14,36
2021-11-21,0
2021-11-28,38
2021-12-05,24
2021-12-12,29
2021-12-19,25
2021-12-26,43
2022-01-02,31
2022-01-09,32
2022-01-16,44
2022-01-23,15
2022-01-30,39
2022-02-06,0
2022-02-13,41
2022-02-20,27
2022-02-27,23
2022-03-06,8
2022-03-13,25
2022-03-20,41
2022-03-27,39
2022-04-03,37
2022-04-10,36
2022-04-17,18
2022-04-24,22
2022-05-01,32
2022-05-08,21
2022-05-15,24
2022-05-22,20
2022-05-29,42
2022-06-05,16
2022-06-12,49
2022-06-19,18
2022-06-26,20
2022-07-03,22
2022-07-10,7
2022-07-17,27
2022-07-24,34
2022-07-31,13
2022-08-07,32
2022-08-14,41
2022-08-21,37
2022-08-28,27
2022-09-04,31
2022-09-11,23
2022-09-18,12
2022-09-25,22
2022-10-02,23
2022-10-09,22
2022-10-16,42
2022-10-23,43
2022-10-30,15
2022-11-06,15
2022-11-13,34
2022-11-20,26
2022-11-27,28
2022-12-04,22
2022-12-11,29
2022-12-18,15
2022-12-25,29
2023-01-01,21
2023-01-08,48
2023-01-15,37
2023-01-22,31
2023-01-29,25
2023-02-05,32
2023-02-12,25
2023-02-19,15
2023-02-26,35
2023-03-05,34
2023-03-12,29
2023-03-19,27
2023-03-26,18
2023-04-02,25
2023-04-09,39
2023-04-16,28
2023-04-23,25
2023-04-30,9
2023-05-07,12
2023-05-14,40
2023-05-21,23
2023-05-28,34
2023-06-04,28
2023-06-11,24
2023-06-18,28
2023-06-25,23
2023-07-02,9
2023-07-09,13
2023-07-16,0
2023-07-23,28
2023-07-30,0
2023-08-06,35
2023-08-13,0
2023-08-20,13
2023-08-27,24
2023-09-03,31
2023-09-10,15
2023-09-17,27
2023-09-24,18
2023-10-01,61
2023-10-08,17
2023-10-15,48
2023-10-22,20
2023-10-29,20
2023-11-05,31
2023-11-12,23
2023-11-19,18
2023-11-26,31
2023-12-03,22
2023-12-10,21
2023-12-17,26
2023-12-24,22
2023-12-31,20
2024-01-07,23
2024-01-14,37
2024-01-21,17
2024-01-28,25
2024-02-04,23
