date,Supplemntal Nutrition Assistance Program,Food bank,Soup kitchen,Electronic Benefit Transfer
2018-01-01,42.0,0.0,0.0,0.0
2018-02-01,44.5,42.0,32.5,58.0
2018-03-01,27.0,32.0,0.0,0.0
2018-04-01,39.0,0.0,0.0,32.0
2018-05-01,37.0,42.0,0.0,0.0
2018-06-01,45.0,0.0,0.0,0.0
2018-07-01,0.0,0.0,0.0,0.0
2018-08-01,45.0,0.0,0.0,0.0
2018-09-01,71.0,0.0,0.0,0.0
2018-10-01,61.0,67.0,0.0,53.0
2018-11-01,43.0,39.0,0.0,0.0
2018-12-01,43.0,0.0,0.0,0.0
2019-01-01,55.0,44.62,29.27,0.0
2019-02-01,38.0,0.0,0.0,0.0
2019-03-01,26.0,55.38,0.0,0.0
2019-04-01,22.0,0.0,0.0,0.0
2019-05-01,32.0,32.31,0.0,0.0
2019-06-01,52.0,0.0,0.0,0.0
2019-07-01,24.0,0.0,0.0,0.0
2019-08-01,19.0,0.0,0.0,0.0
2019-09-01,22.5,0.0,0.0,0.0
2019-10-01,25.0,43.08,0.0,0.0
2019-11-01,27.0,0.0,0.0,29.23
2019-12-01,0.0,33.85,0.0,0.0
2020-01-01,36.78,0.0,0.0,0.0
2020-02-01,24.14,0.0,0.0,0.0
2020-03-01,65.52,0.0,0.0,0.0
2020-04-01,73.56,0.0,0.0,0.0
2020-05-01,63.22,18.0,26.0,43.44
2020-06-01,37.93,23.0,0.0,88.69
2020-07-01,40.23,0.0,0.0,28.96
2020-08-01,54.02,0.0,0.0,28.96
2020-09-01,32.18,15.0,0.0,32.58
2020-10-01,62.07,0.0,0.0,32.58
2020-11-01,68.97,0.0,0.0,0.0
2020-12-01,77.01,18.0,0.0,37.61
2021-01-01,63.66,0.0,0.0,37.61
2021-02-01,62.78,0.0,0.0,45.84
2021-03-01,49.51,0.0,0.0,0.0
2021-04-01,21.22,0.0,0.0,0.0
2021-05-01,70.73,19.0,0.0,77.57
2021-06-01,76.04,0.0,0.0,39.96
2021-07-01,53.05,0.0,0.0,49.36
2021-08-01,86.65,0.0,0.0,63.47
2021-09-01,76.04,0.0,0.0,39.96
2021-10-01,53.05,0.0,0.0,37.61
2021-11-01,58.36,0.0,0.0,37.61
2021-12-01,42.44,0.0,0.0,63.47
2022-01-01,47.0,0.0,0.0,15.0
2022-02-01,41.0,11.5,0.0,7.0
2022-03-01,41.0,21.0,13.48,14.0
2022-04-01,36.0,14.0,0.0,18.0
2022-05-01,31.0,0.0,0.0,32.0
2022-06-01,36.0,0.0,0.0,46.0
2022-07-01,48.0,15.0,0.0,29.0
2022-08-01,43.0,37.0,0.0,34.0
2022-09-01,44.0,0.0,0.0,17.0
2022-10-01,33.0,0.0,0.0,12.0
2022-11-01,40.0,15.0,0.0,34.0
2022-12-01,34.0,14.0,0.0,54.0
2023-01-01,35.0,29.09,0.0,48.47
2023-02-01,35.0,24.24,0.0,31.5
2023-03-01,23.0,17.45,0.0,41.2
2023-04-01,31.0,25.21,0.0,0.0
2023-05-01,26.0,23.27,0.0,38.77
2023-06-01,40.0,35.88,0.0,0.0
2023-07-01,30.0,35.88,0.0,65.43
2023-08-01,39.0,50.42,0.0,0.0
2023-09-01,35.0,26.18,0.0,0.0
2023-10-01,18.0,21.33,0.0,0.0
2023-11-01,26.0,28.12,0.0,29.08
2023-12-01,34.0,51.39,0.0,26.66
2024-01-01,24.0,33.94,0.0,0.0
2024-02-01,38.0,40.73,0.0,0.0
