date,Supplemntal Nutrition Assistance Program,Food bank,Soup kitchen,CalFresh,Electronic Benefit Transfer
2018-01-01,74.0,75.0,20.0,0.0,60.0
2018-02-01,61.5,52.0,22.5,0.0,50.0
2018-03-01,63.0,62.0,22.0,0.0,64.0
2018-04-01,62.0,67.0,29.0,0.0,51.0
2018-05-01,68.0,68.0,22.0,0.0,49.0
2018-06-01,73.0,71.0,31.0,0.0,69.0
2018-07-01,77.0,85.0,28.0,0.0,63.0
2018-08-01,71.0,85.0,28.0,0.0,64.0
2018-09-01,70.0,77.0,18.0,0.0,71.0
2018-10-01,64.0,78.0,37.0,0.0,54.0
2018-11-01,67.0,81.0,70.0,32.0,67.0
2018-12-01,67.0,75.0,41.0,0.0,57.0
2019-01-01,116.94915254237289,82.75862068965517,46.0,0.0,95.94594594594594
2019-02-01,68.64406779661016,58.62068965517241,25.5,0.0,59.45945945945946
2019-03-01,52.54237288135593,52.8735632183908,29.0,0.0,66.21621621621621
2019-04-01,54.23728813559322,54.02298850574712,33.0,0.0,67.56756756756756
2019-05-01,59.32203389830508,71.26436781609195,27.0,0.0,60.81081081081081
2019-06-01,67.79661016949152,72.41379310344827,13.0,0.0,77.02702702702703
2019-07-01,74.57627118644068,81.60919540229885,0.0,0.0,75.67567567567568
2019-08-01,72.88135593220339,75.86206896551724,17.0,0.0,75.67567567567568
2019-09-01,61.86440677966101,75.86206896551724,17.0,0.0,70.94594594594594
2019-10-01,57.62711864406779,79.3103448275862,30.0,0.0,66.21621621621621
2019-11-01,61.01694915254237,96.55172413793105,55.0,0.0,66.21621621621621
2019-12-01,66.10169491525423,88.0410858400587,26.0,0.0,60.81081081081081
2020-01-01,70.05649717514125,80.70432868672047,18.0,0.0,71.12375533428165
2020-02-01,61.01694915254237,63.58522866226461,26.0,0.0,64.01137980085349
2020-03-01,131.07344632768363,173.636585962338,24.0,0.0,78.23613086770982
2020-04-01,158.19209039548022,171.19100024455858,23.0,0.0,149.35988620199146
2020-05-01,110.73446327683617,100.26901442895574,28.0,29.166666666666668,348.5064011379801
2020-06-01,108.47457627118644,78.25874296894106,18.0,0.0,512.0910384068279
2020-07-01,103.954802259887,90.48667155783812,17.0,0.0,312.9445234708393
2020-08-01,106.21468926553672,97.82342871117632,16.0,0.0,241.8207681365576
2020-09-01,90.3954802259887,83.14991440449988,18.0,0.0,199.14651493598865
2020-10-01,108.47457627118644,97.82342871117632,18.0,0.0,163.5846372688478
2020-11-01,99.43502824858756,149.1807287845439,27.0,0.0,142.2475106685633
2020-12-01,74.57627118644068,129.61604304230863,0.0,0.0,142.2475106685633
2021-01-01,52.0,38.0,0.0,14.0,153.40417817198002
2021-02-01,52.5,40.5,6.263636363636364,0.0,153.40417817198002
2021-03-01,35.0,21.0,0.0,0.0,139.45834379270912
2021-04-01,36.0,19.0,18.30909090909091,0.0,139.45834379270912
2021-05-01,37.0,25.0,0.0,0.0,195.2416813097928
2021-06-01,53.0,22.0,26.98181818181818,15.0,669.4000502050037
2021-07-01,48.0,25.0,18.30909090909091,0.0,474.15836889521097
2021-08-01,65.0,25.0,0.0,0.0,418.37503137812735
2021-09-01,50.0,22.0,22.163636363636364,0.0,292.8625219646891
2021-10-01,44.0,23.0,14.454545454545457,0.0,264.9708532061473
2021-11-01,42.0,34.0,54.92727272727273,0.0,292.8625219646891
2021-12-01,40.0,22.0,22.163636363636364,0.0,237.07918444760548
2022-01-01,45.0,28.0,0.0,0.0,20.0
2022-02-01,45.5,32.0,13.0,0.0,15.5
2022-03-01,44.0,28.0,20.0,0.0,15.0
2022-04-01,41.0,26.0,19.0,0.0,19.0
2022-05-01,53.0,33.0,0.0,0.0,17.0
2022-06-01,56.0,46.0,0.0,0.0,21.0
2022-07-01,56.0,55.0,16.0,0.0,21.0
2022-08-01,46.0,40.0,17.0,0.0,20.0
2022-09-01,50.0,38.0,18.0,0.0,18.0
2022-10-01,43.0,43.0,36.0,0.0,16.0
2022-11-01,46.0,44.0,33.0,0.0,18.0
2022-12-01,46.0,35.0,0.0,0.0,37.0
2023-01-01,43.0,34.0,33.0625,231.48148148148147,24.0
2023-02-01,41.5,38.0,14.375,0.0,18.0
2023-03-01,40.0,48.0,51.75,208.3333333333333,13.0
2023-04-01,38.0,57.0,0.0,223.76543209876544,12.0
2023-05-01,40.0,60.0,35.9375,192.9012345679012,15.0
2023-06-01,44.0,65.0,33.0625,0.0,16.0
2023-07-01,45.0,63.0,27.3125,0.0,15.0
2023-08-01,46.0,63.0,57.5,0.0,14.0
2023-09-01,43.0,69.0,40.25,0.0,13.0
2023-10-01,36.0,58.0,30.1875,0.0,11.0
2023-11-01,37.0,71.0,73.3125,0.0,12.0
2023-12-01,38.0,57.0,48.875,208.3333333333333,12.0
2024-01-01,37.0,42.0,54.625,0.0,11.0
2024-02-01,37.0,45.0,56.0625,0.0,12.0
