date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,0.0,0.0,0.0,,
2018-01-14,30.0,30.0,18.0,,
2018-01-21,0.0,0.0,0.0,,
2018-01-28,46.0,46.0,28.0,,
2018-02-04,23.0,23.0,14.0,,
2018-02-11,18.0,18.0,11.0,,
2018-02-18,0.0,0.0,0.0,,
2018-02-25,0.0,0.0,0.0,,
2018-03-04,39.0,39.0,24.0,,
2018-03-11,71.0,71.0,43.0,,
2018-03-18,0.0,0.0,0.0,,
2018-03-25,36.0,36.0,22.0,,
2018-04-01,0.0,0.0,0.0,,
2018-04-08,0.0,0.0,0.0,,
2018-04-15,0.0,0.0,0.0,,
2018-04-22,17.0,17.0,11.0,,
2018-04-29,44.0,44.0,27.0,,
2018-05-06,0.0,0.0,0.0,,
2018-05-13,20.0,20.0,12.0,,
2018-05-20,0.0,0.0,0.0,,
2018-05-27,23.0,23.0,14.0,,
2018-06-03,0.0,0.0,0.0,,
2018-06-10,0.0,0.0,0.0,,
2018-06-17,0.0,0.0,0.0,,
2018-06-24,0.0,0.0,0.0,,
2018-07-01,28.0,28.0,17.0,,
2018-07-08,22.0,22.0,14.0,,
2018-07-15,0.0,0.0,0.0,,
2018-07-22,0.0,0.0,0.0,,
2018-07-29,0.0,0.0,0.0,,
2018-08-05,0.0,0.0,0.0,,
2018-08-12,0.0,0.0,0.0,,
2018-08-19,28.0,28.0,17.0,,
2018-08-26,0.0,0.0,0.0,,
2018-09-02,23.0,23.0,14.0,,
2018-09-09,28.0,28.0,17.0,,
2018-09-16,0.0,0.0,0.0,,
2018-09-23,0.0,0.0,0.0,,
2018-09-30,100.0,100.0,61.0,,
2018-10-07,0.0,0.0,0.0,,
2018-10-14,27.0,27.0,16.0,,
2018-10-21,0.0,0.0,0.0,,
2018-10-28,54.0,54.0,33.0,,
2018-11-04,24.0,24.0,14.0,,
2018-11-11,29.0,29.0,18.0,,
2018-11-18,0.0,0.0,0.0,,
2018-11-25,0.0,0.0,0.0,,
2018-12-02,47.0,47.0,29.0,,
2018-12-09,0.0,0.0,0.0,,
2018-12-16,68.0,68.0,42.0,,
2018-12-23,0.0,0.0,0.0,,
2018-12-30,72.0,72.0,44.0,,
2019-01-06,,29.0,18.0,11.0,
2019-01-13,,55.0,34.0,21.0,
2019-01-20,,0.0,0.0,0.0,
2019-01-27,,0.0,0.0,0.0,
2019-02-03,,38.0,24.0,15.0,
2019-02-10,,57.0,35.0,22.0,
2019-02-17,,0.0,0.0,0.0,
2019-02-24,,31.0,19.0,12.0,
2019-03-03,,96.0,59.0,37.0,
2019-03-10,,0.0,0.0,0.0,
2019-03-17,,0.0,0.0,0.0,
2019-03-24,,0.0,0.0,0.0,
2019-03-31,,45.0,28.0,17.0,
2019-04-07,,0.0,0.0,0.0,
2019-04-14,,0.0,0.0,0.0,
2019-04-21,,0.0,0.0,0.0,
2019-04-28,,0.0,0.0,0.0,
2019-05-05,,0.0,0.0,0.0,
2019-05-12,,0.0,0.0,0.0,
2019-05-19,,0.0,0.0,0.0,
2019-05-26,,0.0,0.0,0.0,
2019-06-02,,0.0,0.0,0.0,
2019-06-09,,40.0,25.0,15.0,
2019-06-16,,0.0,0.0,0.0,
2019-06-23,,36.0,22.0,14.0,
2019-06-30,,32.0,20.0,12.0,
2019-07-07,,19.0,11.0,7.0,
2019-07-14,,0.0,0.0,0.0,
2019-07-21,,40.0,25.0,15.0,
2019-07-28,,0.0,0.0,0.0,
2019-08-04,,51.0,31.0,19.0,
2019-08-11,,0.0,0.0,0.0,
2019-08-18,,0.0,0.0,0.0,
2019-08-25,,31.0,19.0,12.0,
2019-09-01,,0.0,0.0,0.0,
2019-09-08,,0.0,0.0,0.0,
2019-09-15,,0.0,0.0,0.0,
2019-09-22,,33.0,21.0,13.0,
2019-09-29,,16.0,10.0,6.0,
2019-10-06,,78.0,48.0,30.0,
2019-10-13,,18.0,11.0,7.0,
2019-10-20,,0.0,0.0,0.0,
2019-10-27,,0.0,0.0,0.0,
2019-11-03,,0.0,0.0,0.0,
2019-11-10,,0.0,0.0,0.0,
