date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,100.0,77.0,13.0,,
2018-01-14,0.0,0.0,0.0,,
2018-01-21,0.0,0.0,0.0,,
2018-01-28,12.0,10.0,2.0,,
2018-02-04,26.0,20.0,3.0,,
2018-02-11,49.0,38.0,6.0,,
2018-02-18,13.0,10.0,2.0,,
2018-02-25,30.0,23.0,4.0,,
2018-03-04,27.0,21.0,3.0,,
2018-03-11,18.0,14.0,2.0,,
2018-03-18,16.0,12.0,2.0,,
2018-03-25,0.0,0.0,0.0,,
2018-04-01,32.0,24.0,4.0,,
2018-04-08,32.0,25.0,4.0,,
2018-04-15,44.0,34.0,6.0,,
2018-04-22,48.0,37.0,6.0,,
2018-04-29,15.0,12.0,2.0,,
2018-05-06,47.0,36.0,6.0,,
2018-05-13,84.0,65.0,11.0,,
2018-05-20,35.0,27.0,4.0,,
2018-05-27,74.0,57.0,9.0,,
2018-06-03,62.0,48.0,8.0,,
2018-06-10,30.0,23.0,4.0,,
2018-06-17,27.0,21.0,3.0,,
2018-06-24,24.0,19.0,3.0,,
2018-07-01,76.0,58.0,10.0,,
2018-07-08,39.0,30.0,5.0,,
2018-07-15,41.0,32.0,5.0,,
2018-07-22,43.0,33.0,6.0,,
2018-07-29,15.0,11.0,2.0,,
2018-08-05,0.0,0.0,0.0,,
2018-08-12,0.0,0.0,0.0,,
2018-08-19,0.0,0.0,0.0,,
2018-08-26,28.0,21.0,4.0,,
2018-09-02,35.0,27.0,5.0,,
2018-09-09,36.0,28.0,5.0,,
2018-09-16,31.0,24.0,4.0,,
2018-09-23,25.0,20.0,3.0,,
2018-09-30,43.0,33.0,5.0,,
2018-10-07,40.0,31.0,5.0,,
2018-10-14,27.0,21.0,3.0,,
2018-10-21,24.0,19.0,3.0,,
2018-10-28,47.0,37.0,6.0,,
2018-11-04,23.0,18.0,3.0,,
2018-11-11,61.0,47.0,8.0,,
2018-11-18,0.0,0.0,0.0,,
2018-11-25,0.0,0.0,0.0,,
2018-12-02,41.0,32.0,5.0,,
2018-12-09,0.0,0.0,0.0,,
2018-12-16,24.0,19.0,3.0,,
2018-12-23,27.0,21.0,3.0,,
2018-12-30,34.0,26.0,4.0,,
2019-01-06,,39.0,6.0,4.0,
2019-01-13,,32.0,5.0,3.0,
2019-01-20,,48.0,8.0,4.0,
2019-01-27,,24.0,4.0,2.0,
2019-02-03,,33.0,6.0,3.0,
2019-02-10,,66.0,11.0,6.0,
2019-02-17,,34.0,6.0,3.0,
2019-02-24,,43.0,7.0,4.0,
2019-03-03,,36.0,6.0,3.0,
