date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,60.0,60.0,45.0,,
2018-01-14,62.0,62.0,47.0,,
2018-01-21,0.0,0.0,0.0,,
2018-01-28,47.0,47.0,35.0,,
2018-02-04,0.0,0.0,0.0,,
2018-02-11,0.0,0.0,0.0,,
2018-02-18,0.0,0.0,0.0,,
2018-02-25,0.0,0.0,0.0,,
2018-03-04,82.0,82.0,61.0,,
2018-03-11,0.0,0.0,0.0,,
2018-03-18,53.0,53.0,40.0,,
2018-03-25,48.0,48.0,36.0,,
2018-04-01,0.0,0.0,0.0,,
2018-04-08,0.0,0.0,0.0,,
2018-04-15,0.0,0.0,0.0,,
2018-04-22,51.0,51.0,38.0,,
2018-04-29,34.0,34.0,26.0,,
2018-05-06,29.0,29.0,22.0,,
2018-05-13,51.0,51.0,38.0,,
2018-05-20,64.0,64.0,48.0,,
2018-05-27,0.0,0.0,0.0,,
2018-06-03,0.0,0.0,0.0,,
2018-06-10,0.0,0.0,0.0,,
2018-06-17,44.0,44.0,33.0,,
2018-06-24,42.0,42.0,32.0,,
2018-07-01,0.0,0.0,0.0,,
2018-07-08,95.0,95.0,71.0,,
2018-07-15,100.0,100.0,75.0,,
2018-07-22,0.0,0.0,0.0,,
2018-07-29,0.0,0.0,0.0,,
2018-08-05,0.0,0.0,0.0,,
2018-08-12,31.0,31.0,23.0,,
2018-08-19,46.0,46.0,34.0,,
2018-08-26,48.0,48.0,36.0,,
2018-09-02,40.0,40.0,30.0,,
2018-09-09,0.0,0.0,0.0,,
2018-09-16,0.0,0.0,0.0,,
2018-09-23,0.0,0.0,0.0,,
2018-09-30,0.0,0.0,0.0,,
2018-10-07,21.0,21.0,16.0,,
2018-10-14,0.0,0.0,0.0,,
2018-10-21,35.0,35.0,26.0,,
2018-10-28,28.0,28.0,21.0,,
2018-11-04,81.0,81.0,61.0,,
2018-11-11,0.0,0.0,0.0,,
2018-11-18,0.0,0.0,0.0,,
2018-11-25,55.0,55.0,41.0,,
2018-12-02,38.0,38.0,29.0,,
2018-12-09,21.0,21.0,16.0,,
2018-12-16,0.0,0.0,0.0,,
2018-12-23,0.0,0.0,0.0,,
2018-12-30,0.0,0.0,0.0,,
2019-01-06,,0.0,0.0,0.0,
2019-01-13,,44.0,33.0,33.0,
2019-01-20,,0.0,0.0,0.0,
2019-01-27,,0.0,0.0,0.0,
2019-02-03,,0.0,0.0,0.0,
2019-02-10,,39.0,29.0,29.0,
2019-02-17,,0.0,0.0,0.0,
2019-02-24,,0.0,0.0,0.0,
2019-03-03,,0.0,0.0,0.0,
2019-03-10,,44.0,33.0,33.0,
2019-03-17,,0.0,0.0,0.0,
2019-03-24,,38.0,28.0,28.0,
2019-03-31,,0.0,0.0,0.0,
2019-04-07,,28.0,21.0,21.0,
2019-04-14,,25.0,19.0,19.0,
2019-04-21,,0.0,0.0,0.0,
2019-04-28,,21.0,16.0,16.0,
2019-05-05,,62.0,46.0,46.0,
2019-05-12,,0.0,0.0,0.0,
2019-05-19,,0.0,0.0,0.0,
2019-05-26,,0.0,0.0,0.0,
2019-06-02,,55.0,41.0,41.0,
2019-06-09,,27.0,20.0,20.0,
2019-06-16,,40.0,30.0,30.0,
2019-06-23,,0.0,0.0,0.0,
2019-06-30,,88.0,66.0,66.0,
2019-07-07,,0.0,0.0,0.0,
2019-07-14,,68.0,51.0,51.0,
2019-07-21,,35.0,26.0,26.0,
2019-07-28,,59.0,44.0,44.0,
2019-08-04,,0.0,0.0,0.0,
2019-08-11,,0.0,0.0,0.0,
2019-08-18,,0.0,0.0,0.0,
2019-08-25,,0.0,0.0,0.0,
2019-09-01,,0.0,0.0,0.0,
2019-09-08,,30.0,22.0,22.0,
2019-09-15,,32.0,24.0,24.0,
2019-09-22,,0.0,0.0,0.0,
2019-09-29,,27.0,20.0,20.0,
2019-10-06,,24.0,18.0,18.0,
2019-10-13,,44.0,33.0,33.0,
2019-10-20,,0.0,0.0,0.0,
2019-10-27,,34.0,25.0,25.0,
2019-11-03,,0.0,0.0,0.0,
2019-11-10,,86.0,64.0,64.0,
2019-11-17,,60.0,45.0,45.0,
2019-11-24,,0.0,0.0,0.0,
2019-12-01,,20.0,15.0,15.0,
2019-12-08,,0.0,0.0,0.0,
2019-12-15,,0.0,0.0,0.0,
2019-12-22,,33.0,24.0,24.0,
2019-12-29,,36.0,27.0,27.0,
2020-01-05,,,64.0,64.0,64.0
2020-01-12,,,0.0,0.0,0.0
2020-01-19,,,0.0,0.0,0.0
2020-01-26,,,0.0,0.0,0.0
2020-02-02,,,0.0,0.0,0.0
2020-02-09,,,33.0,33.0,33.0
2020-02-16,,,19.0,18.0,18.0
2020-02-23,,,0.0,0.0,0.0
2020-03-01,,,0.0,0.0,0.0
2020-03-08,,,40.0,40.0,40.0
2020-03-15,,,36.0,36.0,36.0
2020-03-22,,,30.0,30.0,30.0
2020-03-29,,,27.0,27.0,27.0
2020-04-05,,,33.0,33.0,33.0
2020-04-12,,,33.0,33.0,33.0
2020-04-19,,,24.0,24.0,24.0
2020-04-26,,,0.0,0.0,0.0
2020-05-03,,,39.0,38.0,38.0
2020-05-10,,,13.0,13.0,13.0
2020-05-17,,,0.0,0.0,0.0
2020-05-24,,,16.0,16.0,16.0
2020-05-31,,,0.0,0.0,0.0
2020-06-07,,,0.0,0.0,0.0
2020-06-14,,,18.0,18.0,18.0
2020-06-21,,,0.0,0.0,0.0
2020-06-28,,,34.0,34.0,34.0
2020-07-05,,,0.0,0.0,0.0
2020-07-12,,,14.0,14.0,14.0
2020-07-19,,,34.0,33.0,33.0
2020-07-26,,,17.0,16.0,16.0
2020-08-02,,,20.0,20.0,20.0
2020-08-09,,,48.0,48.0,48.0
2020-08-16,,,23.0,23.0,23.0
2020-08-23,,,42.0,41.0,41.0
2020-08-30,,,21.0,21.0,21.0
2020-09-06,,,0.0,0.0,0.0
2020-09-13,,,25.0,25.0,25.0
2020-09-20,,,23.0,23.0,23.0
2020-09-27,,,35.0,35.0,35.0
2020-10-04,,,0.0,0.0,0.0
2020-10-11,,,0.0,0.0,0.0
2020-10-18,,,31.0,31.0,31.0
2020-10-25,,,72.0,71.0,71.0
2020-11-01,,,20.0,20.0,20.0
2020-11-08,,,72.0,72.0,72.0
2020-11-15,,,0.0,0.0,0.0
2020-11-22,,,66.0,66.0,66.0
2020-11-29,,,43.0,43.0,43.0
2020-12-06,,,43.0,43.0,43.0
2020-12-13,,,100.0,100.0,100.0
2020-12-20,,,70.0,70.0,70.0
2020-12-27,,,28.0,28.0,28.0
2021-01-03,,,,21.0,21.0
2021-01-10,,,,0.0,0.0
2021-01-17,,,,33.0,33.0
2021-01-24,,,,25.0,25.0
2021-01-31,,,,15.0,15.0
2021-02-07,,,,15.0,15.0
2021-02-14,,,,18.0,18.0
2021-02-21,,,,32.0,32.0
2021-02-28,,,,0.0,0.0
2021-03-07,,,,13.0,13.0
2021-03-14,,,,0.0,0.0
2021-03-21,,,,0.0,0.0
2021-03-28,,,,0.0,0.0
2021-04-04,,,,0.0,0.0
2021-04-11,,,,0.0,0.0
2021-04-18,,,,0.0,0.0
2021-04-25,,,,15.0,15.0
2021-05-02,,,,0.0,0.0
2021-05-09,,,,31.0,31.0
2021-05-16,,,,0.0,0.0
2021-05-23,,,,0.0,0.0
2021-05-30,,,,21.0,21.0
2021-06-06,,,,50.0,50.0
2021-06-13,,,,26.0,26.0
2021-06-20,,,,0.0,0.0
2021-06-27,,,,0.0,0.0
2021-07-04,,,,19.0,19.0
2021-07-11,,,,0.0,0.0
2021-07-18,,,,20.0,20.0
2021-07-25,,,,0.0,0.0
2021-08-01,,,,0.0,0.0
2021-08-08,,,,25.0,25.0
2021-08-15,,,,0.0,0.0
2021-08-22,,,,42.0,42.0
2021-08-29,,,,0.0,0.0
2021-09-05,,,,0.0,0.0
2021-09-12,,,,24.0,24.0
2021-09-19,,,,0.0,0.0
2021-09-26,,,,0.0,0.0
2021-10-03,,,,0.0,0.0
2021-10-10,,,,0.0,0.0
2021-10-17,,,,29.0,29.0
2021-10-24,,,,0.0,0.0
2021-10-31,,,,19.0,19.0
2021-11-07,,,,100.0,100.0
2021-11-14,,,,29.0,29.0
2021-11-21,,,,60.0,60.0
2021-11-28,,,,23.0,23.0
2021-12-05,,,,0.0,0.0
2021-12-12,,,,25.0,25.0
2021-12-19,,,,22.0,22.0
2021-12-26,,,,0.0,0.0
2022-01-02,,,,,0.0
2022-01-09,,,,,28.0
2022-01-16,,,,,14.0
2022-01-23,,,,,0.0
2022-01-30,,,,,0.0
2022-02-06,,,,,35.0
2022-02-13,,,,,20.0
2022-02-20,,,,,23.0
2022-02-27,,,,,0.0
2022-03-06,,,,,22.0
2022-03-13,,,,,0.0
2022-03-20,,,,,31.0
2022-03-27,,,,,17.0
2022-04-03,,,,,43.0
2022-04-10,,,,,23.0
2022-04-17,,,,,17.0
2022-04-24,,,,,25.0
2022-05-01,,,,,11.0
2022-05-08,,,,,23.0
2022-05-15,,,,,29.0
2022-05-22,,,,,43.0
2022-05-29,,,,,57.0
2022-06-05,,,,,30.0
2022-06-12,,,,,27.0
2022-06-19,,,,,24.0
2022-06-26,,,,,18.0
2022-07-03,,,,,21.0
2022-07-10,,,,,36.0
2022-07-17,,,,,37.0
2022-07-24,,,,,16.0
2022-07-31,,,,,23.0
2022-08-07,,,,,22.0
2022-08-14,,,,,44.0
2022-08-21,,,,,42.0
2022-08-28,,,,,43.0
2022-09-04,,,,,19.0
2022-09-11,,,,,19.0
2022-09-18,,,,,0.0
2022-09-25,,,,,26.0
2022-10-02,,,,,23.0
2022-10-09,,,,,36.0
2022-10-16,,,,,35.0
2022-10-23,,,,,18.0
2022-10-30,,,,,25.0
2022-11-06,,,,,43.0
2022-11-13,,,,,23.0
2022-11-20,,,,,30.0
2022-11-27,,,,,47.0
2022-12-04,,,,,29.0
2022-12-11,,,,,0.0
2022-12-18,,,,,19.0
2022-12-25,,,,,27.0
2023-01-01,,,,,21.0
