date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,52.0,52.0,15.0,,
2018-01-14,100.0,100.0,28.0,,
2018-01-21,56.0,56.0,16.0,,
2018-01-28,74.0,74.0,21.0,,
2018-02-04,66.0,66.0,19.0,,
2018-02-11,10.0,10.0,3.0,,
2018-02-18,55.0,55.0,16.0,,
2018-02-25,63.0,63.0,18.0,,
2018-03-04,44.0,44.0,12.0,,
2018-03-11,47.0,47.0,13.0,,
2018-03-18,75.0,75.0,21.0,,
2018-03-25,33.0,33.0,9.0,,
2018-04-01,25.0,25.0,7.0,,
2018-04-08,60.0,60.0,17.0,,
2018-04-15,22.0,22.0,6.0,,
2018-04-22,78.0,78.0,22.0,,
2018-04-29,35.0,35.0,10.0,,
2018-05-06,64.0,64.0,18.0,,
2018-05-13,38.0,38.0,11.0,,
2018-05-20,85.0,85.0,24.0,,
2018-05-27,38.0,38.0,11.0,,
2018-06-03,83.0,83.0,24.0,,
2018-06-10,75.0,75.0,21.0,,
2018-06-17,48.0,48.0,14.0,,
2018-06-24,97.0,97.0,28.0,,
2018-07-01,45.0,45.0,13.0,,
2018-07-08,37.0,37.0,10.0,,
2018-07-15,37.0,37.0,11.0,,
2018-07-22,38.0,38.0,11.0,,
2018-07-29,34.0,34.0,10.0,,
2018-08-05,38.0,38.0,11.0,,
2018-08-12,73.0,73.0,21.0,,
2018-08-19,45.0,45.0,13.0,,
2018-08-26,58.0,58.0,16.0,,
2018-09-02,35.0,35.0,10.0,,
2018-09-09,25.0,25.0,7.0,,
2018-09-16,85.0,85.0,24.0,,
2018-09-23,53.0,53.0,15.0,,
2018-09-30,42.0,42.0,12.0,,
2018-10-07,57.0,57.0,16.0,,
2018-10-14,51.0,51.0,15.0,,
2018-10-21,51.0,51.0,14.0,,
2018-10-28,28.0,28.0,8.0,,
2018-11-04,49.0,49.0,14.0,,
2018-11-11,87.0,87.0,25.0,,
2018-11-18,40.0,40.0,11.0,,
2018-11-25,39.0,39.0,11.0,,
2018-12-02,32.0,32.0,9.0,,
2018-12-09,72.0,72.0,20.0,,
2018-12-16,61.0,61.0,17.0,,
2018-12-23,42.0,42.0,12.0,,
2018-12-30,47.0,47.0,13.0,,
2019-01-06,,37.0,10.0,10.0,
2019-01-13,,22.0,6.0,6.0,
2019-01-20,,62.0,18.0,18.0,
2019-01-27,,42.0,12.0,12.0,
2019-02-03,,71.0,20.0,20.0,
2019-02-10,,82.0,23.0,23.0,
2019-02-17,,49.0,14.0,14.0,
2019-02-24,,54.0,15.0,15.0,
2019-03-03,,32.0,9.0,9.0,
2019-03-10,,52.0,15.0,15.0,
2019-03-17,,35.0,10.0,10.0,
2019-03-24,,12.0,3.0,3.0,
2019-03-31,,30.0,9.0,9.0,
2019-04-07,,90.0,26.0,26.0,
2019-04-14,,34.0,10.0,10.0,
2019-04-21,,68.0,19.0,19.0,
2019-04-28,,70.0,20.0,20.0,
2019-05-05,,84.0,24.0,24.0,
2019-05-12,,68.0,19.0,19.0,
2019-05-19,,38.0,11.0,11.0,
2019-05-26,,24.0,7.0,7.0,
2019-06-02,,57.0,16.0,16.0,
2019-06-09,,34.0,10.0,10.0,
2019-06-16,,61.0,17.0,17.0,
2019-06-23,,59.0,17.0,17.0,
2019-06-30,,31.0,9.0,9.0,
2019-07-07,,100.0,28.0,28.0,
2019-07-14,,75.0,21.0,21.0,
2019-07-21,,64.0,18.0,18.0,
2019-07-28,,52.0,15.0,15.0,
2019-08-04,,39.0,11.0,11.0,
2019-08-11,,16.0,5.0,5.0,
2019-08-18,,42.0,12.0,12.0,
2019-08-25,,48.0,14.0,14.0,
2019-09-01,,52.0,15.0,15.0,
2019-09-08,,32.0,9.0,9.0,
2019-09-15,,52.0,15.0,15.0,
2019-09-22,,58.0,17.0,17.0,
2019-09-29,,61.0,17.0,17.0,
2019-10-06,,41.0,12.0,12.0,
2019-10-13,,55.0,16.0,16.0,
2019-10-20,,70.0,20.0,20.0,
