date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,38.0,34.0,34.0,,
2018-01-14,32.0,29.0,29.0,,
2018-01-21,26.0,24.0,24.0,,
2018-01-28,36.0,33.0,33.0,,
2018-02-04,18.0,16.0,16.0,,
2018-02-11,13.0,12.0,12.0,,
2018-02-18,68.0,62.0,62.0,,
2018-02-25,16.0,15.0,15.0,,
2018-03-04,16.0,15.0,15.0,,
2018-03-11,22.0,20.0,20.0,,
2018-03-18,61.0,56.0,56.0,,
2018-03-25,27.0,25.0,25.0,,
2018-04-01,30.0,28.0,28.0,,
2018-04-08,23.0,21.0,21.0,,
2018-04-15,38.0,35.0,35.0,,
2018-04-22,33.0,31.0,31.0,,
2018-04-29,23.0,21.0,21.0,,
2018-05-06,29.0,26.0,26.0,,
2018-05-13,0.0,0.0,0.0,,
2018-05-20,20.0,18.0,18.0,,
2018-05-27,18.0,16.0,16.0,,
2018-06-03,0.0,0.0,0.0,,
2018-06-10,25.0,22.0,22.0,,
2018-06-17,0.0,0.0,0.0,,
2018-06-24,39.0,35.0,35.0,,
2018-07-01,22.0,20.0,20.0,,
2018-07-08,45.0,41.0,41.0,,
2018-07-15,43.0,39.0,39.0,,
2018-07-22,0.0,0.0,0.0,,
2018-07-29,51.0,46.0,46.0,,
2018-08-05,34.0,31.0,31.0,,
2018-08-12,29.0,27.0,27.0,,
2018-08-19,35.0,32.0,32.0,,
2018-08-26,37.0,33.0,33.0,,
2018-09-02,34.0,31.0,31.0,,
2018-09-09,15.0,13.0,13.0,,
2018-09-16,16.0,14.0,14.0,,
2018-09-23,32.0,30.0,30.0,,
2018-09-30,13.0,12.0,12.0,,
2018-10-07,33.0,30.0,30.0,,
2018-10-14,48.0,44.0,44.0,,
2018-10-21,66.0,60.0,60.0,,
2018-10-28,20.0,18.0,18.0,,
2018-11-04,40.0,36.0,36.0,,
2018-11-11,67.0,61.0,61.0,,
2018-11-18,100.0,91.0,91.0,,
2018-11-25,33.0,31.0,31.0,,
2018-12-02,91.0,83.0,83.0,,
2018-12-09,63.0,58.0,58.0,,
2018-12-16,42.0,39.0,39.0,,
2018-12-23,0.0,0.0,0.0,,
2018-12-30,29.0,26.0,26.0,,
2019-01-06,,16.0,16.0,16.0,
2019-01-13,,34.0,34.0,34.0,
2019-01-20,,38.0,38.0,38.0,
2019-01-27,,39.0,39.0,39.0,
2019-02-03,,50.0,50.0,50.0,
2019-02-10,,32.0,32.0,32.0,
2019-02-17,,28.0,28.0,28.0,
2019-02-24,,39.0,39.0,39.0,
2019-03-03,,29.0,29.0,29.0,
2019-03-10,,36.0,36.0,36.0,
2019-03-17,,46.0,46.0,46.0,
2019-03-24,,27.0,27.0,27.0,
2019-03-31,,24.0,24.0,24.0,
2019-04-07,,21.0,21.0,21.0,
2019-04-14,,47.0,47.0,47.0,
2019-04-21,,21.0,21.0,21.0,
2019-04-28,,0.0,0.0,0.0,
2019-05-05,,40.0,40.0,40.0,
2019-05-12,,29.0,29.0,29.0,
2019-05-19,,0.0,0.0,0.0,
2019-05-26,,24.0,24.0,24.0,
2019-06-02,,21.0,21.0,21.0,
2019-06-09,,19.0,19.0,19.0,
2019-06-16,,20.0,20.0,20.0,
2019-06-23,,31.0,31.0,31.0,
2019-06-30,,0.0,0.0,0.0,
2019-07-07,,0.0,0.0,0.0,
2019-07-14,,28.0,28.0,28.0,
2019-07-21,,23.0,23.0,23.0,
2019-07-28,,32.0,32.0,32.0,
2019-08-04,,12.0,12.0,12.0,
2019-08-11,,44.0,44.0,44.0,
2019-08-18,,0.0,0.0,0.0,
2019-08-25,,0.0,0.0,0.0,
2019-09-01,,31.0,31.0,31.0,
2019-09-08,,40.0,40.0,40.0,
2019-09-15,,13.0,13.0,13.0,
2019-09-22,,0.0,0.0,0.0,
2019-09-29,,18.0,18.0,18.0,
2019-10-06,,18.0,18.0,18.0,
2019-10-13,,48.0,48.0,48.0,
2019-10-20,,15.0,15.0,15.0,
2019-10-27,,17.0,17.0,17.0,
2019-11-03,,46.0,46.0,46.0,
2019-11-10,,47.0,47.0,47.0,
2019-11-17,,45.0,45.0,45.0,
