date,2020-01-01,2021-01-01,2022-01-01
2018-12-30,55.0,39.0,29
2019-01-06,100.0,71.0,53
2019-01-13,99.0,70.0,53
2019-01-20,64.0,45.0,34
2019-01-27,44.0,31.0,23
2019-02-03,59.0,42.0,32
2019-02-10,44.0,31.0,23
2019-02-17,31.0,22.0,16
2019-02-24,33.0,24.0,18
2019-03-03,44.0,31.0,23
2019-03-10,31.0,22.0,17
2019-03-17,43.0,30.0,23
2019-03-24,31.0,22.0,17
2019-03-31,60.0,42.0,32
2019-04-07,32.0,22.0,17
2019-04-14,29.0,21.0,15
2019-04-21,34.0,24.0,18
2019-04-28,30.0,21.0,16
2019-05-05,47.0,33.0,25
2019-05-12,45.0,32.0,24
2019-05-19,35.0,25.0,18
2019-05-26,40.0,28.0,21
2019-06-02,50.0,35.0,26
2019-06-09,59.0,41.0,31
2019-06-16,50.0,35.0,27
2019-06-23,31.0,22.0,17
2019-06-30,41.0,29.0,22
2019-07-07,49.0,34.0,26
2019-07-14,53.0,37.0,28
2019-07-21,49.0,34.0,26
2019-07-28,56.0,39.0,30
2019-08-04,51.0,36.0,27
2019-08-11,39.0,28.0,21
2019-08-18,40.0,29.0,21
2019-08-25,59.0,42.0,31
2019-09-01,45.0,32.0,24
2019-09-08,48.0,34.0,26
2019-09-15,45.0,32.0,24
2019-09-22,32.0,23.0,17
2019-09-29,57.0,40.0,30
2019-10-06,39.0,28.0,21
2019-10-13,39.0,28.0,21
2019-10-20,42.0,29.0,22
2019-10-27,28.0,20.0,15
2019-11-03,45.0,32.0,24
2019-11-10,43.0,30.0,23
2019-11-17,42.0,30.0,23
2019-11-24,30.0,21.0,16
2019-12-01,52.0,37.0,28
2019-12-08,33.0,24.0,18
2019-12-15,32.0,23.0,17
2019-12-22,17.0,12.0,9
2019-12-29,40.0,28.0,21
2020-01-05,,41.0,31
2020-01-12,,39.0,29
2020-01-19,,24.0,18
2020-01-26,,30.0,22
2020-02-02,,31.0,23
2020-02-09,,30.0,22
2020-02-16,,30.0,22
2020-02-23,,22.0,16
2020-03-01,,22.0,16
2020-03-08,,29.0,22
2020-03-15,,63.0,47
2020-03-22,,72.0,54
2020-03-29,,98.0,74
2020-04-05,,100.0,75
2020-04-12,,91.0,68
2020-04-19,,68.0,51
2020-04-26,,57.0,43
2020-05-03,,52.0,39
2020-05-10,,67.0,51
2020-05-17,,62.0,47
2020-05-24,,50.0,37
2020-05-31,,49.0,37
2020-06-07,,57.0,43
2020-06-14,,40.0,30
2020-06-21,,47.0,35
2020-06-28,,60.0,45
2020-07-05,,41.0,31
2020-07-12,,63.0,47
2020-07-19,,52.0,39
2020-07-26,,50.0,38
2020-08-02,,60.0,45
2020-08-09,,46.0,34
2020-08-16,,43.0,32
2020-08-23,,35.0,27
2020-08-30,,47.0,36
2020-09-06,,44.0,33
2020-09-13,,33.0,25
2020-09-20,,36.0,27
2020-09-27,,53.0,40
2020-10-04,,46.0,35
2020-10-11,,51.0,39
2020-10-18,,60.0,45
2020-10-25,,47.0,36
2020-11-01,,49.0,37
2020-11-08,,61.0,46
2020-11-15,,55.0,41
2020-11-22,,29.0,21
2020-11-29,,40.0,30
2020-12-06,,48.0,36
2020-12-13,,48.0,36
2020-12-20,,36.0,27
2020-12-27,,44.0,33
2021-01-03,,,36
2021-01-10,,,47
2021-01-17,,,44
2021-01-24,,,44
2021-01-31,,,45
2021-02-07,,,40
2021-02-14,,,38
2021-02-21,,,71
2021-02-28,,,46
2021-03-07,,,39
2021-03-14,,,27
2021-03-21,,,20
2021-03-28,,,27
2021-04-04,,,29
2021-04-11,,,41
2021-04-18,,,27
2021-04-25,,,27
2021-05-02,,,37
2021-05-09,,,29
2021-05-16,,,33
2021-05-23,,,100
2021-05-30,,,67
2021-06-06,,,54
2021-06-13,,,54
2021-06-20,,,34
2021-06-27,,,45
2021-07-04,,,42
2021-07-11,,,43
2021-07-18,,,40
2021-07-25,,,44
2021-08-01,,,44
2021-08-08,,,50
2021-08-15,,,70
2021-08-22,,,50
2021-08-29,,,47
2021-09-05,,,52
2021-09-12,,,36
2021-09-19,,,36
2021-09-26,,,42
2021-10-03,,,39
2021-10-10,,,31
2021-10-17,,,34
2021-10-24,,,38
2021-10-31,,,38
2021-11-07,,,36
2021-11-14,,,38
2021-11-21,,,30
2021-11-28,,,52
2021-12-05,,,36
2021-12-12,,,32
2021-12-19,,,29
2021-12-26,,,24
