date,2020-01-01,2021-01-01,2022-01-01
2018-12-30,0.0,0.0,0
2019-01-06,96.0,57.0,73
2019-01-13,83.0,100.0,63
2019-01-20,83.0,56.0,63
2019-01-27,0.0,0.0,0
2019-02-03,0.0,0.0,0
2019-02-10,0.0,0.0,0
2019-02-17,0.0,0.0,0
2019-02-24,0.0,0.0,0
2019-03-03,0.0,0.0,0
2019-03-10,0.0,61.0,0
2019-03-17,0.0,0.0,0
2019-03-24,0.0,0.0,0
2019-03-31,0.0,0.0,0
2019-04-07,0.0,0.0,0
2019-04-14,0.0,0.0,0
2019-04-21,0.0,0.0,0
2019-04-28,0.0,0.0,0
2019-05-05,0.0,0.0,0
2019-05-12,0.0,0.0,0
2019-05-19,0.0,0.0,0
2019-05-26,0.0,0.0,0
2019-06-02,0.0,0.0,0
2019-06-09,0.0,0.0,0
2019-06-16,0.0,0.0,0
2019-06-23,89.0,0.0,67
2019-06-30,96.0,86.0,73
2019-07-07,84.0,51.0,64
2019-07-14,0.0,0.0,0
2019-07-21,0.0,0.0,0
2019-07-28,100.0,77.0,76
2019-08-04,0.0,73.0,0
2019-08-11,0.0,0.0,0
2019-08-18,0.0,0.0,0
2019-08-25,0.0,0.0,0
2019-09-01,0.0,45.0,0
2019-09-08,0.0,0.0,0
2019-09-15,0.0,0.0,0
2019-09-22,0.0,0.0,0
2019-09-29,0.0,0.0,0
2019-10-06,0.0,0.0,0
2019-10-13,0.0,0.0,0
2019-10-20,0.0,56.0,0
2019-10-27,0.0,0.0,0
2019-11-03,0.0,0.0,0
2019-11-10,0.0,0.0,0
2019-11-17,0.0,0.0,0
2019-11-24,0.0,0.0,0
2019-12-01,0.0,49.0,0
2019-12-08,0.0,0.0,0
2019-12-15,0.0,0.0,0
2019-12-22,0.0,0.0,0
2019-12-29,0.0,0.0,0
2020-01-05,,0.0,0
2020-01-12,,0.0,0
2020-01-19,,0.0,0
2020-01-26,,0.0,0
2020-02-02,,0.0,0
2020-02-09,,0.0,0
2020-02-16,,59.0,0
2020-02-23,,0.0,0
2020-03-01,,41.0,0
2020-03-08,,0.0,0
2020-03-15,,0.0,50
2020-03-22,,0.0,0
2020-03-29,,73.0,96
2020-04-05,,48.0,64
2020-04-12,,78.0,100
2020-04-19,,43.0,62
2020-04-26,,39.0,49
2020-05-03,,0.0,48
2020-05-10,,37.0,43
2020-05-17,,41.0,48
2020-05-24,,56.0,61
2020-05-31,,46.0,48
2020-06-07,,41.0,0
2020-06-14,,46.0,58
2020-06-21,,0.0,0
2020-06-28,,0.0,0
2020-07-05,,60.0,0
2020-07-12,,0.0,0
2020-07-19,,0.0,0
2020-07-26,,0.0,0
2020-08-02,,0.0,0
2020-08-09,,64.0,84
2020-08-16,,0.0,0
2020-08-23,,0.0,0
2020-08-30,,0.0,0
2020-09-06,,44.0,0
2020-09-13,,36.0,0
2020-09-20,,40.0,0
2020-09-27,,0.0,0
2020-10-04,,49.0,68
2020-10-11,,59.0,0
2020-10-18,,0.0,72
2020-10-25,,69.0,0
2020-11-01,,0.0,0
2020-11-08,,61.0,63
2020-11-15,,0.0,0
2020-11-22,,0.0,75
2020-11-29,,0.0,0
2020-12-06,,67.0,56
2020-12-13,,59.0,0
2020-12-20,,0.0,71
2020-12-27,,59.0,59
2021-01-03,,,0
2021-01-10,,,0
2021-01-17,,,0
2021-01-24,,,0
2021-01-31,,,61
2021-02-07,,,74
2021-02-14,,,0
2021-02-21,,,96
2021-02-28,,,0
2021-03-07,,,0
2021-03-14,,,0
2021-03-21,,,0
2021-03-28,,,65
2021-04-04,,,0
2021-04-11,,,0
2021-04-18,,,0
2021-04-25,,,0
2021-05-02,,,0
2021-05-09,,,0
2021-05-16,,,67
2021-05-23,,,0
2021-05-30,,,0
2021-06-06,,,0
2021-06-13,,,0
2021-06-20,,,0
2021-06-27,,,0
2021-07-04,,,61
2021-07-11,,,0
2021-07-18,,,0
2021-07-25,,,0
2021-08-01,,,0
2021-08-08,,,0
2021-08-15,,,81
2021-08-22,,,0
2021-08-29,,,63
2021-09-05,,,0
2021-09-12,,,86
2021-09-19,,,0
2021-09-26,,,0
2021-10-03,,,0
2021-10-10,,,93
2021-10-17,,,0
2021-10-24,,,0
2021-10-31,,,70
2021-11-07,,,0
2021-11-14,,,76
2021-11-21,,,0
2021-11-28,,,75
2021-12-05,,,0
2021-12-12,,,94
2021-12-19,,,0
2021-12-26,,,0
