date,2020-01-01,2021-01-01,2022-01-01
2018-12-30,45.0,25.0,31
2019-01-06,64.0,35.0,36
2019-01-13,100.0,55.0,60
2019-01-20,73.0,40.0,39
2019-01-27,44.0,24.0,24
2019-02-03,37.0,21.0,25
2019-02-10,0.0,0.0,17
2019-02-17,61.0,34.0,47
2019-02-24,52.0,29.0,33
2019-03-03,45.0,25.0,23
2019-03-10,0.0,0.0,17
2019-03-17,34.0,18.0,18
2019-03-24,28.0,15.0,25
2019-03-31,35.0,19.0,0
2019-04-07,54.0,30.0,17
2019-04-14,29.0,16.0,19
2019-04-21,0.0,0.0,0
2019-04-28,0.0,0.0,29
2019-05-05,32.0,17.0,20
2019-05-12,0.0,0.0,0
2019-05-19,42.0,23.0,21
2019-05-26,0.0,0.0,0
2019-06-02,32.0,18.0,15
2019-06-09,70.0,39.0,37
2019-06-16,27.0,15.0,19
2019-06-23,39.0,22.0,20
2019-06-30,36.0,20.0,28
2019-07-07,43.0,24.0,20
2019-07-14,31.0,17.0,22
2019-07-21,32.0,18.0,18
2019-07-28,47.0,26.0,23
2019-08-04,39.0,21.0,17
2019-08-11,66.0,36.0,27
2019-08-18,40.0,22.0,22
2019-08-25,26.0,15.0,0
2019-09-01,0.0,0.0,0
2019-09-08,36.0,20.0,25
2019-09-15,41.0,22.0,17
2019-09-22,26.0,14.0,19
2019-09-29,39.0,21.0,19
2019-10-06,0.0,0.0,0
2019-10-13,0.0,0.0,0
2019-10-20,35.0,19.0,22
2019-10-27,0.0,0.0,18
2019-11-03,0.0,0.0,16
2019-11-10,45.0,25.0,27
2019-11-17,33.0,18.0,20
2019-11-24,0.0,0.0,0
2019-12-01,44.0,24.0,22
2019-12-08,37.0,20.0,22
2019-12-15,33.0,18.0,20
2019-12-22,34.0,18.0,19
2019-12-29,28.0,15.0,0
2020-01-05,,19.0,21
2020-01-12,,17.0,16
2020-01-19,,13.0,18
2020-01-26,,16.0,14
2020-02-02,,17.0,15
2020-02-09,,14.0,17
2020-02-16,,20.0,20
2020-02-23,,23.0,20
2020-03-01,,0.0,14
2020-03-08,,15.0,0
2020-03-15,,67.0,71
2020-03-22,,56.0,59
2020-03-29,,72.0,72
2020-04-05,,100.0,97
2020-04-12,,95.0,100
2020-04-19,,62.0,58
2020-04-26,,38.0,33
2020-05-03,,41.0,40
2020-05-10,,71.0,70
2020-05-17,,56.0,62
2020-05-24,,29.0,34
2020-05-31,,44.0,41
2020-06-07,,57.0,56
2020-06-14,,43.0,52
2020-06-21,,36.0,36
2020-06-28,,49.0,51
2020-07-05,,66.0,66
2020-07-12,,53.0,53
2020-07-19,,33.0,44
2020-07-26,,57.0,48
2020-08-02,,40.0,40
2020-08-09,,47.0,49
2020-08-16,,35.0,36
2020-08-23,,34.0,34
2020-08-30,,34.0,28
2020-09-06,,24.0,34
2020-09-13,,17.0,15
2020-09-20,,21.0,30
2020-09-27,,45.0,48
2020-10-04,,39.0,39
2020-10-11,,37.0,35
2020-10-18,,36.0,30
2020-10-25,,47.0,48
2020-11-01,,42.0,42
2020-11-08,,51.0,50
2020-11-15,,17.0,21
2020-11-22,,16.0,17
2020-11-29,,24.0,31
2020-12-06,,26.0,24
2020-12-13,,25.0,32
2020-12-20,,16.0,22
2020-12-27,,39.0,43
2021-01-03,,,52
2021-01-10,,,44
2021-01-17,,,38
2021-01-24,,,29
2021-01-31,,,28
2021-02-07,,,25
2021-02-14,,,78
2021-02-21,,,96
2021-02-28,,,52
2021-03-07,,,37
2021-03-14,,,23
2021-03-21,,,24
2021-03-28,,,14
2021-04-04,,,33
2021-04-11,,,42
2021-04-18,,,33
2021-04-25,,,26
2021-05-02,,,34
2021-05-09,,,33
2021-05-16,,,24
2021-05-23,,,99
2021-05-30,,,84
2021-06-06,,,40
2021-06-13,,,43
2021-06-20,,,39
2021-06-27,,,37
2021-07-04,,,33
2021-07-11,,,38
2021-07-18,,,27
2021-07-25,,,50
2021-08-01,,,47
2021-08-08,,,44
2021-08-15,,,60
2021-08-22,,,32
2021-08-29,,,54
2021-09-05,,,46
2021-09-12,,,32
2021-09-19,,,30
2021-09-26,,,36
2021-10-03,,,20
2021-10-10,,,43
2021-10-17,,,31
2021-10-24,,,21
2021-10-31,,,26
2021-11-07,,,27
2021-11-14,,,33
2021-11-21,,,22
2021-11-28,,,44
2021-12-05,,,44
2021-12-12,,,31
2021-12-19,,,23
2021-12-26,,,22
