date,2020-01-01,2021-01-01,2022-01-01
2018-12-30,0.0,0.0,0
2019-01-06,100.0,87.0,42
2019-01-13,96.0,100.0,41
2019-01-20,0.0,0.0,0
2019-01-27,0.0,0.0,0
2019-02-03,0.0,0.0,0
2019-02-10,0.0,0.0,0
2019-02-17,64.0,0.0,27
2019-02-24,0.0,0.0,0
2019-03-03,66.0,59.0,28
2019-03-10,0.0,0.0,0
2019-03-17,0.0,0.0,0
2019-03-24,0.0,0.0,0
2019-03-31,0.0,0.0,0
2019-04-07,0.0,0.0,0
2019-04-14,0.0,0.0,0
2019-04-21,0.0,0.0,0
2019-04-28,0.0,0.0,0
2019-05-05,0.0,63.0,0
2019-05-12,0.0,0.0,0
2019-05-19,0.0,0.0,0
2019-05-26,0.0,0.0,0
2019-06-02,0.0,0.0,0
2019-06-09,0.0,0.0,0
2019-06-16,0.0,0.0,0
2019-06-23,0.0,0.0,0
2019-06-30,0.0,0.0,0
2019-07-07,0.0,0.0,0
2019-07-14,0.0,0.0,0
2019-07-21,0.0,0.0,0
2019-07-28,0.0,0.0,0
2019-08-04,0.0,0.0,0
2019-08-11,0.0,0.0,0
2019-08-18,0.0,0.0,0
2019-08-25,0.0,0.0,0
2019-09-01,0.0,0.0,0
2019-09-08,0.0,0.0,0
2019-09-15,58.0,0.0,24
2019-09-22,0.0,0.0,0
2019-09-29,0.0,0.0,0
2019-10-06,0.0,0.0,0
2019-10-13,0.0,55.0,0
2019-10-20,0.0,0.0,0
2019-10-27,0.0,0.0,0
2019-11-03,0.0,0.0,0
2019-11-10,0.0,0.0,0
2019-11-17,0.0,0.0,0
2019-11-24,0.0,0.0,0
2019-12-01,0.0,0.0,0
2019-12-08,0.0,0.0,0
2019-12-15,0.0,0.0,0
2019-12-22,0.0,0.0,0
2019-12-29,0.0,0.0,0
2020-01-05,,0.0,0
2020-01-12,,0.0,0
2020-01-19,,0.0,0
2020-01-26,,0.0,0
2020-02-02,,0.0,0
2020-02-09,,0.0,0
2020-02-16,,0.0,0
2020-02-23,,0.0,0
2020-03-01,,0.0,0
2020-03-08,,0.0,0
2020-03-15,,0.0,0
2020-03-22,,42.0,0
2020-03-29,,74.0,30
2020-04-05,,79.0,35
2020-04-12,,84.0,50
2020-04-19,,69.0,32
2020-04-26,,0.0,0
2020-05-03,,53.0,20
2020-05-10,,66.0,40
2020-05-17,,77.0,46
2020-05-24,,0.0,0
2020-05-31,,80.0,40
2020-06-07,,53.0,26
2020-06-14,,79.0,36
2020-06-21,,83.0,41
2020-06-28,,65.0,29
2020-07-05,,79.0,26
2020-07-12,,0.0,0
2020-07-19,,0.0,0
2020-07-26,,52.0,0
2020-08-02,,0.0,0
2020-08-09,,0.0,23
2020-08-16,,0.0,0
2020-08-23,,0.0,0
2020-08-30,,0.0,0
2020-09-06,,0.0,18
2020-09-13,,0.0,0
2020-09-20,,0.0,0
2020-09-27,,0.0,23
2020-10-04,,63.0,30
2020-10-11,,53.0,0
2020-10-18,,0.0,30
2020-10-25,,0.0,24
2020-11-01,,39.0,0
2020-11-08,,54.0,0
2020-11-15,,0.0,0
2020-11-22,,0.0,0
2020-11-29,,0.0,0
2020-12-06,,0.0,0
2020-12-13,,0.0,25
2020-12-20,,0.0,0
2020-12-27,,0.0,0
2021-01-03,,,0
2021-01-10,,,31
2021-01-17,,,20
2021-01-24,,,31
2021-01-31,,,0
2021-02-07,,,31
2021-02-14,,,44
2021-02-21,,,52
2021-02-28,,,22
2021-03-07,,,0
2021-03-14,,,30
2021-03-21,,,0
2021-03-28,,,0
2021-04-04,,,22
2021-04-11,,,24
2021-04-18,,,29
2021-04-25,,,0
2021-05-02,,,0
2021-05-09,,,0
2021-05-16,,,31
2021-05-23,,,100
2021-05-30,,,39
2021-06-06,,,44
2021-06-13,,,34
2021-06-20,,,28
2021-06-27,,,25
2021-07-04,,,26
2021-07-11,,,0
2021-07-18,,,0
2021-07-25,,,0
2021-08-01,,,0
2021-08-08,,,0
2021-08-15,,,44
2021-08-22,,,23
2021-08-29,,,45
2021-09-05,,,31
2021-09-12,,,43
2021-09-19,,,0
2021-09-26,,,0
2021-10-03,,,37
2021-10-10,,,0
2021-10-17,,,39
2021-10-24,,,0
2021-10-31,,,0
2021-11-07,,,0
2021-11-14,,,0
2021-11-21,,,30
2021-11-28,,,0
2021-12-05,,,0
2021-12-12,,,0
2021-12-19,,,0
2021-12-26,,,0
