date,2020-01-01,2021-01-01,2022-01-01
2018-12-30,34.0,27.0,21
2019-01-06,61.0,49.0,39
2019-01-13,100.0,80.0,63
2019-01-20,48.0,39.0,30
2019-01-27,40.0,32.0,26
2019-02-03,32.0,26.0,20
2019-02-10,36.0,29.0,23
2019-02-17,40.0,32.0,25
2019-02-24,40.0,32.0,25
2019-03-03,36.0,29.0,23
2019-03-10,29.0,24.0,19
2019-03-17,30.0,24.0,19
2019-03-24,30.0,24.0,19
2019-03-31,33.0,27.0,21
2019-04-07,32.0,26.0,20
2019-04-14,27.0,21.0,17
2019-04-21,26.0,21.0,17
2019-04-28,34.0,27.0,22
2019-05-05,37.0,30.0,24
2019-05-12,33.0,27.0,21
2019-05-19,36.0,29.0,23
2019-05-26,28.0,22.0,18
2019-06-02,34.0,27.0,22
2019-06-09,36.0,28.0,22
2019-06-16,45.0,36.0,28
2019-06-23,49.0,39.0,31
2019-06-30,39.0,31.0,24
2019-07-07,42.0,33.0,26
2019-07-14,43.0,35.0,27
2019-07-21,43.0,34.0,27
2019-07-28,45.0,36.0,29
2019-08-04,44.0,35.0,28
2019-08-11,49.0,39.0,31
2019-08-18,36.0,29.0,23
2019-08-25,38.0,30.0,24
2019-09-01,44.0,36.0,28
2019-09-08,34.0,27.0,21
2019-09-15,37.0,30.0,23
2019-09-22,32.0,26.0,20
2019-09-29,37.0,30.0,23
2019-10-06,43.0,34.0,27
2019-10-13,34.0,27.0,22
2019-10-20,28.0,22.0,18
2019-10-27,36.0,29.0,23
2019-11-03,41.0,33.0,26
2019-11-10,37.0,30.0,23
2019-11-17,28.0,22.0,18
2019-11-24,20.0,16.0,12
2019-12-01,41.0,33.0,26
2019-12-08,33.0,26.0,21
2019-12-15,29.0,23.0,18
2019-12-22,25.0,20.0,16
2019-12-29,34.0,28.0,22
2020-01-05,,33.0,26
2020-01-12,,33.0,26
2020-01-19,,26.0,20
2020-01-26,,26.0,20
2020-02-02,,25.0,20
2020-02-09,,26.0,21
2020-02-16,,20.0,16
2020-02-23,,21.0,17
2020-03-01,,31.0,24
2020-03-08,,34.0,27
2020-03-15,,61.0,48
2020-03-22,,69.0,54
2020-03-29,,71.0,56
2020-04-05,,100.0,79
2020-04-12,,93.0,73
2020-04-19,,64.0,50
2020-04-26,,50.0,40
2020-05-03,,51.0,40
2020-05-10,,68.0,53
2020-05-17,,72.0,57
2020-05-24,,49.0,38
2020-05-31,,61.0,48
2020-06-07,,65.0,51
2020-06-14,,58.0,46
2020-06-21,,54.0,42
2020-06-28,,60.0,47
2020-07-05,,53.0,41
2020-07-12,,48.0,38
2020-07-19,,51.0,40
2020-07-26,,56.0,44
2020-08-02,,56.0,44
2020-08-09,,53.0,41
2020-08-16,,42.0,33
2020-08-23,,47.0,37
2020-08-30,,43.0,34
2020-09-06,,41.0,32
2020-09-13,,35.0,28
2020-09-20,,38.0,30
2020-09-27,,43.0,34
2020-10-04,,52.0,41
2020-10-11,,55.0,43
2020-10-18,,51.0,40
2020-10-25,,45.0,35
2020-11-01,,57.0,45
2020-11-08,,53.0,42
2020-11-15,,53.0,42
2020-11-22,,33.0,26
2020-11-29,,53.0,42
2020-12-06,,39.0,31
2020-12-13,,33.0,26
2020-12-20,,39.0,30
2020-12-27,,54.0,42
2021-01-03,,,39
2021-01-10,,,47
2021-01-17,,,51
2021-01-24,,,33
2021-01-31,,,42
2021-02-07,,,37
2021-02-14,,,48
2021-02-21,,,80
2021-02-28,,,48
2021-03-07,,,44
2021-03-14,,,28
2021-03-21,,,27
2021-03-28,,,33
2021-04-04,,,34
2021-04-11,,,36
2021-04-18,,,31
2021-04-25,,,27
2021-05-02,,,33
2021-05-09,,,29
2021-05-16,,,32
2021-05-23,,,100
2021-05-30,,,73
2021-06-06,,,55
2021-06-13,,,45
2021-06-20,,,49
2021-06-27,,,47
2021-07-04,,,46
2021-07-11,,,43
2021-07-18,,,36
2021-07-25,,,36
2021-08-01,,,50
2021-08-08,,,45
2021-08-15,,,65
2021-08-22,,,40
2021-08-29,,,49
2021-09-05,,,50
2021-09-12,,,46
2021-09-19,,,43
2021-09-26,,,45
2021-10-03,,,42
2021-10-10,,,41
2021-10-17,,,34
2021-10-24,,,27
2021-10-31,,,42
2021-11-07,,,31
2021-11-14,,,42
2021-11-21,,,27
2021-11-28,,,52
2021-12-05,,,34
2021-12-12,,,36
2021-12-19,,,34
2021-12-26,,,33
