date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,42.0,42.0,27.0,,
2018-01-14,75.0,75.0,48.0,,
2018-01-21,55.0,55.0,35.0,,
2018-01-28,45.0,45.0,29.0,,
2018-02-04,30.0,30.0,19.0,,
2018-02-11,53.0,53.0,34.0,,
2018-02-18,39.0,39.0,25.0,,
2018-02-25,52.0,52.0,33.0,,
2018-03-04,33.0,33.0,21.0,,
2018-03-11,0.0,0.0,0.0,,
2018-03-18,43.0,43.0,27.0,,
2018-03-25,27.0,27.0,17.0,,
2018-04-01,16.0,16.0,10.0,,
2018-04-08,39.0,39.0,25.0,,
2018-04-15,29.0,29.0,19.0,,
2018-04-22,47.0,47.0,30.0,,
2018-04-29,53.0,53.0,34.0,,
2018-05-06,0.0,0.0,0.0,,
2018-05-13,0.0,0.0,0.0,,
2018-05-20,37.0,37.0,23.0,,
2018-05-27,41.0,41.0,26.0,,
2018-06-03,53.0,53.0,34.0,,
2018-06-10,45.0,45.0,29.0,,
2018-06-17,78.0,78.0,50.0,,
2018-06-24,24.0,24.0,16.0,,
2018-07-01,31.0,31.0,20.0,,
2018-07-08,0.0,0.0,0.0,,
2018-07-15,0.0,0.0,0.0,,
2018-07-22,0.0,0.0,0.0,,
2018-07-29,29.0,29.0,19.0,,
2018-08-05,89.0,89.0,57.0,,
2018-08-12,21.0,21.0,14.0,,
2018-08-19,18.0,18.0,11.0,,
2018-08-26,45.0,45.0,29.0,,
2018-09-02,63.0,63.0,40.0,,
2018-09-09,74.0,74.0,47.0,,
2018-09-16,72.0,72.0,46.0,,
2018-09-23,71.0,71.0,45.0,,
2018-09-30,34.0,34.0,21.0,,
2018-10-07,39.0,39.0,25.0,,
2018-10-14,61.0,61.0,39.0,,
2018-10-21,35.0,35.0,22.0,,
2018-10-28,100.0,100.0,64.0,,
2018-11-04,62.0,62.0,39.0,,
2018-11-11,30.0,30.0,19.0,,
2018-11-18,34.0,34.0,22.0,,
2018-11-25,34.0,34.0,22.0,,
2018-12-02,50.0,50.0,32.0,,
2018-12-09,43.0,43.0,28.0,,
2018-12-16,86.0,86.0,55.0,,
2018-12-23,0.0,0.0,0.0,,
2018-12-30,23.0,23.0,15.0,,
2019-01-06,,55.0,35.0,31.0,
2019-01-13,,51.0,33.0,29.0,
2019-01-20,,88.0,56.0,50.0,
2019-01-27,,18.0,12.0,10.0,
2019-02-03,,58.0,37.0,33.0,
2019-02-10,,0.0,0.0,0.0,
2019-02-17,,63.0,40.0,36.0,
2019-02-24,,38.0,24.0,22.0,
2019-03-03,,31.0,20.0,18.0,
2019-03-10,,0.0,0.0,0.0,
2019-03-17,,26.0,17.0,15.0,
2019-03-24,,0.0,0.0,0.0,
2019-03-31,,36.0,23.0,21.0,
2019-04-07,,19.0,12.0,11.0,
2019-04-14,,0.0,0.0,0.0,
2019-04-21,,32.0,21.0,18.0,
2019-04-28,,33.0,21.0,19.0,
2019-05-05,,67.0,43.0,38.0,
2019-05-12,,23.0,15.0,13.0,
2019-05-19,,19.0,12.0,11.0,
2019-05-26,,32.0,20.0,18.0,
2019-06-02,,48.0,31.0,28.0,
2019-06-09,,24.0,15.0,13.0,
2019-06-16,,83.0,53.0,47.0,
2019-06-23,,77.0,49.0,44.0,
2019-06-30,,52.0,33.0,30.0,
2019-07-07,,47.0,30.0,27.0,
2019-07-14,,19.0,12.0,11.0,
2019-07-21,,23.0,15.0,13.0,
2019-07-28,,96.0,61.0,54.0,
2019-08-04,,19.0,12.0,11.0,
2019-08-11,,60.0,38.0,34.0,
2019-08-18,,0.0,0.0,0.0,
2019-08-25,,30.0,19.0,17.0,
2019-09-01,,0.0,0.0,0.0,
2019-09-08,,63.0,40.0,36.0,
2019-09-15,,34.0,22.0,20.0,
2019-09-22,,15.0,10.0,9.0,
2019-09-29,,0.0,0.0,0.0,
2019-10-06,,0.0,0.0,0.0,
2019-10-13,,33.0,21.0,19.0,
2019-10-20,,24.0,15.0,14.0,
2019-10-27,,28.0,18.0,16.0,
2019-11-03,,0.0,0.0,0.0,
