date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,56.0,56.0,49.0,,
2018-01-14,28.0,28.0,24.0,,
2018-01-21,40.0,40.0,34.0,,
2018-01-28,27.0,27.0,24.0,,
2018-02-04,0.0,0.0,0.0,,
2018-02-11,19.0,19.0,16.0,,
2018-02-18,0.0,0.0,0.0,,
2018-02-25,16.0,16.0,14.0,,
2018-03-04,0.0,0.0,0.0,,
2018-03-11,72.0,72.0,63.0,,
2018-03-18,71.0,71.0,62.0,,
2018-03-25,0.0,0.0,0.0,,
2018-04-01,34.0,34.0,29.0,,
2018-04-08,32.0,32.0,27.0,,
2018-04-15,44.0,44.0,38.0,,
2018-04-22,0.0,0.0,0.0,,
2018-04-29,45.0,45.0,39.0,,
2018-05-06,15.0,15.0,13.0,,
2018-05-13,22.0,22.0,19.0,,
2018-05-20,0.0,0.0,0.0,,
2018-05-27,44.0,44.0,38.0,,
2018-06-03,51.0,51.0,44.0,,
2018-06-10,100.0,100.0,87.0,,
2018-06-17,0.0,0.0,0.0,,
2018-06-24,0.0,0.0,0.0,,
2018-07-01,0.0,0.0,0.0,,
2018-07-08,16.0,16.0,13.0,,
2018-07-15,0.0,0.0,0.0,,
2018-07-22,0.0,0.0,0.0,,
2018-07-29,30.0,30.0,26.0,,
2018-08-05,0.0,0.0,0.0,,
2018-08-12,53.0,53.0,46.0,,
2018-08-19,0.0,0.0,0.0,,
2018-08-26,24.0,24.0,21.0,,
2018-09-02,0.0,0.0,0.0,,
2018-09-09,15.0,15.0,13.0,,
2018-09-16,0.0,0.0,0.0,,
2018-09-23,0.0,0.0,0.0,,
2018-09-30,21.0,21.0,18.0,,
2018-10-07,31.0,31.0,27.0,,
2018-10-14,0.0,0.0,0.0,,
2018-10-21,30.0,30.0,26.0,,
2018-10-28,24.0,24.0,21.0,,
2018-11-04,0.0,0.0,0.0,,
2018-11-11,0.0,0.0,0.0,,
2018-11-18,0.0,0.0,0.0,,
2018-11-25,0.0,0.0,0.0,,
2018-12-02,0.0,0.0,0.0,,
2018-12-09,64.0,64.0,55.0,,
2018-12-16,33.0,33.0,29.0,,
2018-12-23,0.0,0.0,0.0,,
2018-12-30,78.0,78.0,68.0,,
2019-01-06,,65.0,57.0,29.0,
2019-01-13,,86.0,75.0,38.0,
2019-01-20,,59.0,51.0,26.0,
2019-01-27,,74.0,65.0,33.0,
2019-02-03,,0.0,0.0,0.0,
2019-02-10,,0.0,0.0,0.0,
2019-02-17,,38.0,33.0,17.0,
2019-02-24,,0.0,0.0,0.0,
2019-03-03,,27.0,24.0,12.0,
2019-03-10,,34.0,30.0,15.0,
2019-03-17,,24.0,20.0,10.0,
2019-03-24,,0.0,0.0,0.0,
2019-03-31,,18.0,16.0,8.0,
2019-04-07,,0.0,0.0,0.0,
2019-04-14,,17.0,15.0,7.0,
2019-04-21,,0.0,0.0,0.0,
2019-04-28,,24.0,21.0,11.0,
2019-05-05,,61.0,53.0,27.0,
2019-05-12,,17.0,15.0,8.0,
2019-05-19,,0.0,0.0,0.0,
2019-05-26,,29.0,26.0,13.0,
2019-06-02,,0.0,0.0,0.0,
2019-06-09,,34.0,30.0,15.0,
2019-06-16,,22.0,19.0,10.0,
2019-06-23,,0.0,0.0,0.0,
2019-06-30,,0.0,0.0,0.0,
2019-07-07,,0.0,0.0,0.0,
