date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,33.0,29.0,29.0,,
2018-01-14,75.0,66.0,66.0,,
2018-01-21,25.0,22.0,22.0,,
2018-01-28,31.0,27.0,27.0,,
2018-02-04,29.0,25.0,25.0,,
2018-02-11,51.0,45.0,45.0,,
2018-02-18,0.0,0.0,0.0,,
2018-02-25,48.0,42.0,42.0,,
2018-03-04,0.0,0.0,0.0,,
2018-03-11,65.0,57.0,57.0,,
2018-03-18,23.0,20.0,20.0,,
2018-03-25,0.0,0.0,0.0,,
2018-04-01,0.0,0.0,0.0,,
2018-04-08,0.0,0.0,0.0,,
2018-04-15,100.0,88.0,88.0,,
2018-04-22,0.0,0.0,0.0,,
2018-04-29,42.0,37.0,37.0,,
2018-05-06,0.0,0.0,0.0,,
2018-05-13,26.0,23.0,23.0,,
2018-05-20,0.0,0.0,0.0,,
2018-05-27,0.0,0.0,0.0,,
2018-06-03,24.0,21.0,21.0,,
2018-06-10,0.0,0.0,0.0,,
2018-06-17,0.0,0.0,0.0,,
2018-06-24,0.0,0.0,0.0,,
2018-07-01,0.0,0.0,0.0,,
2018-07-08,40.0,35.0,35.0,,
2018-07-15,0.0,0.0,0.0,,
2018-07-22,60.0,53.0,53.0,,
2018-07-29,57.0,50.0,50.0,,
2018-08-05,60.0,53.0,53.0,,
2018-08-12,0.0,0.0,0.0,,
2018-08-19,0.0,0.0,0.0,,
2018-08-26,62.0,55.0,55.0,,
2018-09-02,0.0,0.0,0.0,,
2018-09-09,20.0,18.0,18.0,,
2018-09-16,0.0,0.0,0.0,,
2018-09-23,0.0,0.0,0.0,,
2018-09-30,42.0,37.0,37.0,,
2018-10-07,0.0,0.0,0.0,,
2018-10-14,0.0,0.0,0.0,,
2018-10-21,37.0,33.0,33.0,,
2018-10-28,21.0,19.0,19.0,,
2018-11-04,68.0,60.0,60.0,,
2018-11-11,0.0,0.0,0.0,,
2018-11-18,0.0,0.0,0.0,,
2018-11-25,0.0,0.0,0.0,,
2018-12-02,59.0,52.0,52.0,,
2018-12-09,0.0,0.0,0.0,,
2018-12-16,88.0,78.0,78.0,,
2018-12-23,0.0,0.0,0.0,,
2018-12-30,61.0,53.0,53.0,,
2019-01-06,,61.0,61.0,61.0,
2019-01-13,,77.0,77.0,77.0,
2019-01-20,,55.0,55.0,55.0,
2019-01-27,,43.0,43.0,43.0,
2019-02-03,,0.0,0.0,0.0,
2019-02-10,,0.0,0.0,0.0,
2019-02-17,,100.0,100.0,100.0,
2019-02-24,,60.0,60.0,60.0,
2019-03-03,,47.0,47.0,47.0,
2019-03-10,,0.0,0.0,0.0,
2019-03-17,,0.0,0.0,0.0,
2019-03-24,,0.0,0.0,0.0,
2019-03-31,,0.0,0.0,0.0,
2019-04-07,,26.0,26.0,26.0,
2019-04-14,,23.0,23.0,23.0,
2019-04-21,,24.0,24.0,24.0,
2019-04-28,,0.0,0.0,0.0,
2019-05-05,,70.0,70.0,70.0,
2019-05-12,,0.0,0.0,0.0,
2019-05-19,,21.0,21.0,21.0,
2019-05-26,,47.0,47.0,47.0,
2019-06-02,,29.0,29.0,29.0,
2019-06-09,,22.0,22.0,22.0,
2019-06-16,,0.0,0.0,0.0,
2019-06-23,,0.0,0.0,0.0,
2019-06-30,,46.0,46.0,46.0,
2019-07-07,,37.0,37.0,37.0,
2019-07-14,,24.0,24.0,24.0,
2019-07-21,,0.0,0.0,0.0,
2019-07-28,,0.0,0.0,0.0,
2019-08-04,,0.0,0.0,0.0,
2019-08-11,,42.0,42.0,42.0,
2019-08-18,,60.0,60.0,60.0,
2019-08-25,,0.0,0.0,0.0,
2019-09-01,,0.0,0.0,0.0,
2019-09-08,,38.0,38.0,38.0,
2019-09-15,,34.0,34.0,34.0,
2019-09-22,,0.0,0.0,0.0,
2019-09-29,,84.0,84.0,84.0,
2019-10-06,,0.0,0.0,0.0,
2019-10-13,,29.0,29.0,29.0,
2019-10-20,,0.0,0.0,0.0,
2019-10-27,,52.0,52.0,52.0,
2019-11-03,,0.0,0.0,0.0,
2019-11-10,,74.0,74.0,74.0,
2019-11-17,,25.0,25.0,25.0,
2019-11-24,,0.0,0.0,0.0,
2019-12-01,,28.0,28.0,28.0,
2019-12-08,,52.0,52.0,52.0,
2019-12-15,,0.0,0.0,0.0,
2019-12-22,,34.0,34.0,34.0,
2019-12-29,,0.0,0.0,0.0,
2020-01-05,,,41.0,41.0,39.0
2020-01-12,,,18.0,18.0,17.0
2020-01-19,,,34.0,34.0,33.0
2020-01-26,,,16.0,16.0,15.0
2020-02-02,,,30.0,30.0,29.0
2020-02-09,,,45.0,45.0,43.0
2020-02-16,,,21.0,21.0,20.0
2020-02-23,,,19.0,19.0,18.0
2020-03-01,,,26.0,26.0,25.0
2020-03-08,,,0.0,0.0,0.0
2020-03-15,,,31.0,31.0,30.0
2020-03-22,,,0.0,0.0,0.0
2020-03-29,,,30.0,30.0,29.0
2020-04-05,,,39.0,39.0,37.0
2020-04-12,,,59.0,59.0,56.0
2020-04-19,,,23.0,23.0,22.0
2020-04-26,,,63.0,63.0,60.0
2020-05-03,,,44.0,44.0,42.0
2020-05-10,,,39.0,39.0,37.0
2020-05-17,,,57.0,57.0,54.0
2020-05-24,,,23.0,23.0,22.0
2020-05-31,,,40.0,40.0,38.0
2020-06-07,,,47.0,47.0,45.0
2020-06-14,,,56.0,56.0,53.0
2020-06-21,,,23.0,23.0,22.0
2020-06-28,,,31.0,31.0,30.0
2020-07-05,,,47.0,47.0,45.0
2020-07-12,,,54.0,54.0,51.0
2020-07-19,,,44.0,44.0,42.0
2020-07-26,,,39.0,39.0,37.0
2020-08-02,,,0.0,0.0,0.0
2020-08-09,,,77.0,77.0,73.0
2020-08-16,,,69.0,69.0,66.0
2020-08-23,,,20.0,20.0,19.0
2020-08-30,,,0.0,0.0,0.0
2020-09-06,,,29.0,29.0,28.0
2020-09-13,,,25.0,25.0,23.0
2020-09-20,,,31.0,31.0,29.0
2020-09-27,,,34.0,34.0,33.0
2020-10-04,,,0.0,0.0,0.0
2020-10-11,,,67.0,67.0,64.0
2020-10-18,,,28.0,28.0,26.0
2020-10-25,,,0.0,0.0,0.0
2020-11-01,,,72.0,72.0,68.0
2020-11-08,,,76.0,76.0,72.0
2020-11-15,,,34.0,34.0,32.0
2020-11-22,,,0.0,0.0,0.0
