date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,73.0,66.0,54.0,,
2018-01-14,0.0,0.0,0.0,,
2018-01-21,36.0,32.0,27.0,,
2018-01-28,42.0,37.0,31.0,,
2018-02-04,66.0,60.0,49.0,,
2018-02-11,50.0,45.0,37.0,,
2018-02-18,60.0,54.0,44.0,,
2018-02-25,31.0,28.0,23.0,,
2018-03-04,0.0,0.0,0.0,,
2018-03-11,0.0,0.0,0.0,,
2018-03-18,0.0,0.0,0.0,,
2018-03-25,48.0,43.0,36.0,,
2018-04-01,0.0,0.0,0.0,,
2018-04-08,52.0,46.0,38.0,,
2018-04-15,38.0,35.0,28.0,,
2018-04-22,0.0,0.0,0.0,,
2018-04-29,51.0,45.0,37.0,,
2018-05-06,36.0,33.0,27.0,,
2018-05-13,83.0,75.0,61.0,,
2018-05-20,72.0,65.0,53.0,,
2018-05-27,0.0,0.0,0.0,,
2018-06-03,57.0,51.0,42.0,,
2018-06-10,46.0,41.0,34.0,,
2018-06-17,79.0,71.0,58.0,,
2018-06-24,24.0,22.0,18.0,,
2018-07-01,0.0,0.0,0.0,,
2018-07-08,51.0,46.0,38.0,,
2018-07-15,100.0,90.0,74.0,,
2018-07-22,46.0,41.0,34.0,,
2018-07-29,25.0,23.0,19.0,,
2018-08-05,30.0,27.0,22.0,,
2018-08-12,64.0,57.0,47.0,,
2018-08-19,26.0,24.0,19.0,,
2018-08-26,0.0,0.0,0.0,,
2018-09-02,0.0,0.0,0.0,,
2018-09-09,25.0,22.0,18.0,,
2018-09-16,27.0,25.0,20.0,,
2018-09-23,25.0,23.0,19.0,,
2018-09-30,34.0,30.0,25.0,,
2018-10-07,0.0,0.0,0.0,,
2018-10-14,56.0,50.0,41.0,,
2018-10-21,47.0,42.0,35.0,,
2018-10-28,20.0,18.0,15.0,,
2018-11-04,0.0,0.0,0.0,,
2018-11-11,59.0,53.0,43.0,,
2018-11-18,48.0,43.0,35.0,,
2018-11-25,0.0,0.0,0.0,,
2018-12-02,29.0,26.0,21.0,,
2018-12-09,54.0,48.0,40.0,,
2018-12-16,0.0,0.0,0.0,,
2018-12-23,52.0,46.0,38.0,,
2018-12-30,0.0,0.0,0.0,,
2019-01-06,,100.0,82.0,82.0,
2019-01-13,,84.0,69.0,69.0,
2019-01-20,,93.0,76.0,76.0,
2019-01-27,,72.0,59.0,59.0,
2019-02-03,,0.0,0.0,0.0,
2019-02-10,,0.0,0.0,0.0,
2019-02-17,,0.0,0.0,0.0,
2019-02-24,,23.0,19.0,19.0,
2019-03-03,,0.0,0.0,0.0,
2019-03-10,,28.0,23.0,23.0,
2019-03-17,,84.0,69.0,69.0,
2019-03-24,,46.0,38.0,38.0,
2019-03-31,,44.0,36.0,36.0,
2019-04-07,,33.0,27.0,27.0,
2019-04-14,,43.0,35.0,35.0,
2019-04-21,,0.0,0.0,0.0,
2019-04-28,,0.0,0.0,0.0,
2019-05-05,,32.0,26.0,26.0,
2019-05-12,,0.0,0.0,0.0,
2019-05-19,,26.0,21.0,21.0,
2019-05-26,,85.0,70.0,70.0,
2019-06-02,,60.0,49.0,49.0,
2019-06-09,,24.0,20.0,20.0,
2019-06-16,,0.0,0.0,0.0,
2019-06-23,,0.0,0.0,0.0,
2019-06-30,,71.0,58.0,58.0,
2019-07-07,,0.0,0.0,0.0,
2019-07-14,,89.0,73.0,73.0,
2019-07-21,,76.0,62.0,62.0,
2019-07-28,,0.0,0.0,0.0,
2019-08-04,,0.0,0.0,0.0,
2019-08-11,,35.0,29.0,29.0,
2019-08-18,,50.0,41.0,41.0,
2019-08-25,,36.0,30.0,30.0,
2019-09-01,,51.0,42.0,42.0,
2019-09-08,,21.0,17.0,17.0,
2019-09-15,,0.0,0.0,0.0,
2019-09-22,,0.0,0.0,0.0,
2019-09-29,,78.0,64.0,64.0,
2019-10-06,,55.0,45.0,45.0,
2019-10-13,,36.0,30.0,30.0,
2019-10-20,,0.0,0.0,0.0,
2019-10-27,,20.0,16.0,16.0,
2019-11-03,,33.0,27.0,27.0,
2019-11-10,,74.0,61.0,61.0,
2019-11-17,,38.0,31.0,31.0,
2019-11-24,,24.0,20.0,20.0,
2019-12-01,,42.0,35.0,35.0,
2019-12-08,,29.0,24.0,24.0,
2019-12-15,,36.0,30.0,30.0,
2019-12-22,,25.0,20.0,20.0,
2019-12-29,,42.0,35.0,35.0,
2020-01-05,,,27.0,27.0,27.0
2020-01-12,,,0.0,0.0,0.0
2020-01-19,,,23.0,23.0,23.0
2020-01-26,,,0.0,0.0,0.0
2020-02-02,,,20.0,20.0,20.0
2020-02-09,,,25.0,25.0,25.0
2020-02-16,,,20.0,20.0,20.0
2020-02-23,,,25.0,25.0,25.0
2020-03-01,,,0.0,0.0,0.0
2020-03-08,,,29.0,29.0,29.0
2020-03-15,,,45.0,45.0,45.0
2020-03-22,,,39.0,39.0,39.0
2020-03-29,,,35.0,35.0,35.0
2020-04-05,,,52.0,52.0,52.0
2020-04-12,,,100.0,100.0,100.0
2020-04-19,,,39.0,39.0,39.0
2020-04-26,,,17.0,17.0,17.0
2020-05-03,,,49.0,49.0,49.0
2020-05-10,,,51.0,51.0,51.0
2020-05-17,,,79.0,79.0,79.0
2020-05-24,,,33.0,33.0,33.0
2020-05-31,,,46.0,46.0,46.0
2020-06-07,,,67.0,67.0,67.0
2020-06-14,,,0.0,0.0,0.0
2020-06-21,,,13.0,13.0,13.0
2020-06-28,,,88.0,88.0,88.0
2020-07-05,,,54.0,54.0,54.0
2020-07-12,,,34.0,34.0,34.0
2020-07-19,,,52.0,52.0,52.0
2020-07-26,,,14.0,14.0,14.0
2020-08-02,,,37.0,37.0,37.0
2020-08-09,,,43.0,43.0,43.0
2020-08-16,,,36.0,36.0,36.0
2020-08-23,,,47.0,47.0,47.0
2020-08-30,,,0.0,0.0,0.0
2020-09-06,,,40.0,40.0,40.0
2020-09-13,,,22.0,22.0,22.0
2020-09-20,,,32.0,32.0,32.0
2020-09-27,,,24.0,24.0,24.0
2020-10-04,,,30.0,30.0,30.0
2020-10-11,,,32.0,32.0,32.0
2020-10-18,,,33.0,33.0,33.0
2020-10-25,,,28.0,28.0,28.0
2020-11-01,,,34.0,34.0,34.0
2020-11-08,,,37.0,37.0,37.0
2020-11-15,,,29.0,29.0,29.0
2020-11-22,,,29.0,29.0,29.0
2020-11-29,,,29.0,29.0,29.0
2020-12-06,,,15.0,15.0,15.0
2020-12-13,,,47.0,47.0,47.0
2020-12-20,,,22.0,22.0,22.0
2020-12-27,,,27.0,27.0,27.0
2021-01-03,,,,32.0,32.0
2021-01-10,,,,28.0,28.0
2021-01-17,,,,0.0,0.0
2021-01-24,,,,36.0,36.0
2021-01-31,,,,42.0,42.0
2021-02-07,,,,22.0,22.0
2021-02-14,,,,15.0,15.0
2021-02-21,,,,24.0,24.0
2021-02-28,,,,70.0,70.0
2021-03-07,,,,42.0,42.0
2021-03-14,,,,17.0,17.0
2021-03-21,,,,36.0,36.0
2021-03-28,,,,0.0,0.0
2021-04-04,,,,14.0,14.0
2021-04-11,,,,24.0,24.0
2021-04-18,,,,35.0,35.0
2021-04-25,,,,14.0,14.0
2021-05-02,,,,57.0,57.0
2021-05-09,,,,35.0,35.0
2021-05-16,,,,30.0,30.0
2021-05-23,,,,46.0,46.0
2021-05-30,,,,0.0,0.0
2021-06-06,,,,0.0,0.0
2021-06-13,,,,63.0,63.0
2021-06-20,,,,21.0,21.0
2021-06-27,,,,33.0,33.0
2021-07-04,,,,60.0,60.0
2021-07-11,,,,53.0,53.0
2021-07-18,,,,57.0,57.0
2021-07-25,,,,17.0,17.0
2021-08-01,,,,0.0,0.0
2021-08-08,,,,72.0,72.0
2021-08-15,,,,48.0,48.0
2021-08-22,,,,54.0,54.0
2021-08-29,,,,69.0,69.0
2021-09-05,,,,59.0,59.0
2021-09-12,,,,55.0,55.0
2021-09-19,,,,0.0,0.0
2021-09-26,,,,44.0,44.0
2021-10-03,,,,45.0,45.0
2021-10-10,,,,49.0,49.0
2021-10-17,,,,22.0,22.0
2021-10-24,,,,53.0,53.0
2021-10-31,,,,40.0,40.0
2021-11-07,,,,52.0,52.0
2021-11-14,,,,0.0,0.0
2021-11-21,,,,0.0,0.0
2021-11-28,,,,59.0,59.0
2021-12-05,,,,52.0,52.0
2021-12-12,,,,0.0,0.0
2021-12-19,,,,0.0,0.0
2021-12-26,,,,49.0,49.0
2022-01-02,,,,,54.0
2022-01-09,,,,,45.0
2022-01-16,,,,,22.0
2022-01-23,,,,,36.0
2022-01-30,,,,,38.0
2022-02-06,,,,,0.0
2022-02-13,,,,,34.0
2022-02-20,,,,,54.0
2022-02-27,,,,,46.0
2022-03-06,,,,,42.0
2022-03-13,,,,,32.0
2022-03-20,,,,,20.0
2022-03-27,,,,,31.0
2022-04-03,,,,,80.0
2022-04-10,,,,,90.0
2022-04-17,,,,,21.0
2022-04-24,,,,,28.0
2022-05-01,,,,,61.0
2022-05-08,,,,,55.0
2022-05-15,,,,,13.0
2022-05-22,,,,,61.0
2022-05-29,,,,,52.0
2022-06-05,,,,,62.0
2022-06-12,,,,,41.0
2022-06-19,,,,,21.0
2022-06-26,,,,,39.0
2022-07-03,,,,,78.0
2022-07-10,,,,,43.0
2022-07-17,,,,,61.0
2022-07-24,,,,,59.0
2022-07-31,,,,,77.0
2022-08-07,,,,,25.0
2022-08-14,,,,,31.0
2022-08-21,,,,,25.0
2022-08-28,,,,,23.0
2022-09-04,,,,,31.0
2022-09-11,,,,,49.0
2022-09-18,,,,,50.0
2022-09-25,,,,,38.0
2022-10-02,,,,,25.0
2022-10-09,,,,,82.0
2022-10-16,,,,,33.0
2022-10-23,,,,,44.0
2022-10-30,,,,,63.0
2022-11-06,,,,,62.0
2022-11-13,,,,,44.0
2022-11-20,,,,,31.0
2022-11-27,,,,,24.0
2022-12-04,,,,,67.0
2022-12-11,,,,,46.0
2022-12-18,,,,,49.0
2022-12-25,,,,,48.0
2023-01-01,,,,,57.0
