date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,0.0,0.0,0.0,0.0,0.0
2018-01-14,47.0,47.0,47.0,47.0,47.0
2018-01-21,15.0,15.0,15.0,15.0,15.0
2018-01-28,13.0,13.0,13.0,13.0,13.0
2018-02-04,26.0,26.0,26.0,26.0,26.0
2018-02-11,0.0,0.0,0.0,0.0,0.0
2018-02-18,0.0,0.0,0.0,0.0,0.0
2018-02-25,21.0,21.0,21.0,21.0,21.0
2018-03-04,44.0,44.0,44.0,44.0,44.0
2018-03-11,16.0,16.0,16.0,16.0,16.0
2018-03-18,0.0,0.0,0.0,0.0,0.0
2018-03-25,55.0,55.0,55.0,55.0,55.0
2018-04-01,22.0,22.0,22.0,22.0,22.0
2018-04-08,12.0,12.0,12.0,12.0,12.0
2018-04-15,17.0,17.0,17.0,17.0,17.0
2018-04-22,19.0,19.0,19.0,19.0,19.0
2018-04-29,16.0,16.0,16.0,16.0,16.0
2018-05-06,20.0,20.0,20.0,20.0,20.0
2018-05-13,36.0,36.0,36.0,36.0,36.0
2018-05-20,79.0,79.0,79.0,79.0,79.0
2018-05-27,11.0,11.0,11.0,11.0,11.0
2018-06-03,56.0,56.0,56.0,56.0,56.0
2018-06-10,39.0,39.0,39.0,39.0,39.0
2018-06-17,24.0,24.0,24.0,24.0,24.0
2018-06-24,36.0,36.0,36.0,36.0,36.0
2018-07-01,0.0,0.0,0.0,0.0,0.0
2018-07-08,34.0,34.0,34.0,34.0,34.0
2018-07-15,51.0,51.0,51.0,51.0,51.0
2018-07-22,0.0,0.0,0.0,0.0,0.0
2018-07-29,0.0,0.0,0.0,0.0,0.0
2018-08-05,14.0,14.0,14.0,14.0,14.0
2018-08-12,43.0,43.0,43.0,43.0,43.0
2018-08-19,0.0,0.0,0.0,0.0,0.0
2018-08-26,36.0,36.0,36.0,36.0,36.0
2018-09-02,11.0,11.0,11.0,11.0,11.0
2018-09-09,66.0,66.0,66.0,66.0,66.0
2018-09-16,30.0,30.0,30.0,30.0,30.0
2018-09-23,0.0,0.0,0.0,0.0,0.0
2018-09-30,28.0,28.0,28.0,28.0,28.0
2018-10-07,100.0,100.0,100.0,100.0,100.0
2018-10-14,38.0,38.0,38.0,38.0,38.0
2018-10-21,0.0,0.0,0.0,0.0,0.0
2018-10-28,21.0,21.0,21.0,21.0,21.0
2018-11-04,36.0,36.0,36.0,36.0,36.0
2018-11-11,0.0,0.0,0.0,0.0,0.0
2018-11-18,28.0,28.0,28.0,28.0,28.0
