date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,84.0,84.0,84.0,84.0,84.0
2018-01-14,58.0,58.0,58.0,58.0,58.0
2018-01-21,55.0,55.0,55.0,55.0,55.0
2018-01-28,87.0,87.0,87.0,87.0,87.0
2018-02-04,90.0,90.0,90.0,90.0,90.0
2018-02-11,72.0,72.0,72.0,72.0,72.0
2018-02-18,46.0,46.0,46.0,46.0,46.0
2018-02-25,73.0,73.0,73.0,73.0,73.0
2018-03-04,100.0,100.0,100.0,100.0,100.0
2018-03-11,76.0,76.0,76.0,76.0,76.0
2018-03-18,58.0,58.0,58.0,58.0,58.0
2018-03-25,48.0,48.0,48.0,48.0,48.0
2018-04-01,95.0,95.0,95.0,95.0,95.0
2018-04-08,80.0,80.0,80.0,80.0,80.0
2018-04-15,50.0,50.0,50.0,50.0,50.0
2018-04-22,43.0,43.0,43.0,43.0,43.0
2018-04-29,64.0,64.0,64.0,64.0,64.0
2018-05-06,90.0,90.0,90.0,90.0,90.0
2018-05-13,56.0,56.0,56.0,56.0,56.0
2018-05-20,48.0,48.0,48.0,48.0,48.0
2018-05-27,62.0,62.0,62.0,62.0,62.0
2018-06-03,97.0,97.0,97.0,97.0,97.0
2018-06-10,87.0,87.0,87.0,87.0,87.0
2018-06-17,79.0,79.0,79.0,79.0,79.0
2018-06-24,86.0,86.0,86.0,86.0,86.0
2018-07-01,100.0,100.0,100.0,100.0,100.0
2018-07-08,87.0,87.0,87.0,87.0,87.0
2018-07-15,63.0,63.0,63.0,63.0,63.0
2018-07-22,64.0,64.0,64.0,64.0,64.0
2018-07-29,73.0,73.0,73.0,73.0,73.0
2018-08-05,82.0,82.0,82.0,82.0,82.0
2018-08-12,62.0,62.0,62.0,62.0,62.0
2018-08-19,55.0,55.0,55.0,55.0,55.0
2018-08-26,56.0,56.0,56.0,56.0,56.0
2018-09-02,85.0,85.0,85.0,85.0,85.0
2018-09-09,68.0,68.0,68.0,68.0,68.0
2018-09-16,55.0,55.0,55.0,55.0,55.0
2018-09-23,44.0,44.0,44.0,44.0,44.0
2018-09-30,74.0,74.0,74.0,74.0,74.0
2018-10-07,77.0,77.0,77.0,77.0,77.0
2018-10-14,58.0,58.0,58.0,58.0,58.0
2018-10-21,52.0,52.0,52.0,52.0,52.0
2018-10-28,56.0,56.0,56.0,56.0,56.0
2018-11-04,78.0,78.0,78.0,78.0,78.0
2018-11-11,66.0,66.0,66.0,66.0,66.0
2018-11-18,49.0,49.0,49.0,49.0,49.0
2018-11-25,45.0,45.0,45.0,45.0,45.0
2018-12-02,78.0,78.0,78.0,78.0,78.0
2018-12-09,71.0,71.0,71.0,71.0,71.0
2018-12-16,60.0,60.0,60.0,60.0,60.0
2018-12-23,45.0,45.0,45.0,45.0,45.0
2018-12-30,72.0,72.0,72.0,72.0,72.0
2019-01-06,,96.66666666666667,96.66666666666667,96.66666666666667,96.66666666666667
2019-01-13,,111.11111111111111,111.11111111111111,111.11111111111111,111.11111111111111
2019-01-20,,91.11111111111111,91.11111111111111,91.11111111111111,91.11111111111111
2019-01-27,,68.88888888888889,68.88888888888889,68.88888888888889,68.88888888888889
2019-02-03,,62.22222222222223,62.22222222222223,62.22222222222223,62.22222222222223
2019-02-10,,48.88888888888889,48.88888888888889,48.88888888888889,48.88888888888889
2019-02-17,,47.77777777777778,47.77777777777778,47.77777777777778,47.77777777777778
2019-02-24,,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
2019-03-03,,78.88888888888889,78.88888888888889,78.88888888888889,78.88888888888889
2019-03-10,,54.44444444444445,54.44444444444445,54.44444444444445,54.44444444444445
2019-03-17,,52.22222222222222,52.22222222222222,52.22222222222222,52.22222222222222
2019-03-24,,48.88888888888889,48.88888888888889,48.88888888888889,48.88888888888889
2019-03-31,,77.77777777777779,77.77777777777779,77.77777777777779,77.77777777777779
2019-04-07,,73.33333333333334,73.33333333333334,73.33333333333334,73.33333333333334
2019-04-14,,55.55555555555556,55.55555555555556,55.55555555555556,55.55555555555556
2019-04-21,,50.0,50.0,50.0,50.0
2019-04-28,,64.44444444444444,64.44444444444444,64.44444444444444,64.44444444444444
2019-05-05,,76.66666666666667,76.66666666666667,76.66666666666667,76.66666666666667
2019-05-12,,63.333333333333336,63.333333333333336,63.333333333333336,63.333333333333336
2019-05-19,,52.22222222222222,52.22222222222222,52.22222222222222,52.22222222222222
2019-05-26,,63.333333333333336,63.333333333333336,63.333333333333336,63.333333333333336
2019-06-02,,95.55555555555556,95.55555555555556,95.55555555555556,95.55555555555556
2019-06-09,,92.22222222222223,92.22222222222223,92.22222222222223,92.22222222222223
2019-06-16,,76.66666666666667,76.66666666666667,76.66666666666667,76.66666666666667
2019-06-23,,70.0,70.0,70.0,70.0
2019-06-30,,95.55555555555556,95.55555555555556,95.55555555555556,95.55555555555556
2019-07-07,,91.11111111111111,91.11111111111111,91.11111111111111,91.11111111111111
2019-07-14,,71.11111111111111,71.11111111111111,71.11111111111111,71.11111111111111
2019-07-21,,68.88888888888889,68.88888888888889,68.88888888888889,68.88888888888889
2019-07-28,,77.77777777777779,77.77777777777779,77.77777777777779,77.77777777777779
2019-08-04,,110.0,110.0,110.0,110.0
2019-08-11,,86.66666666666667,86.66666666666667,86.66666666666667,86.66666666666667
2019-08-18,,62.22222222222223,62.22222222222223,62.22222222222223,62.22222222222223
2019-08-25,,58.88888888888889,58.88888888888889,58.88888888888889,58.88888888888889
2019-09-01,,87.77777777777779,87.77777777777779,87.77777777777779,87.77777777777779
2019-09-08,,90.0,90.0,90.0,90.0
2019-09-15,,55.55555555555556,55.55555555555556,55.55555555555556,55.55555555555556
2019-09-22,,46.66666666666667,46.66666666666667,46.66666666666667,46.66666666666667
2019-09-29,,74.44444444444444,74.44444444444444,74.44444444444444,74.44444444444444
2019-10-06,,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334
2019-10-13,,64.44444444444444,64.44444444444444,64.44444444444444,64.44444444444444
2019-10-20,,53.333333333333336,53.333333333333336,53.333333333333336,53.333333333333336
2019-10-27,,52.22222222222222,52.22222222222222,52.22222222222222,52.22222222222222
2019-11-03,,87.77777777777779,87.77777777777779,87.77777777777779,87.77777777777779
2019-11-10,,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
2019-11-17,,56.66666666666667,56.66666666666667,56.66666666666667,56.66666666666667
2019-11-24,,41.111111111111114,41.111111111111114,41.111111111111114,41.111111111111114
2019-12-01,,84.44444444444444,84.44444444444444,84.44444444444444,84.44444444444444
2019-12-08,,78.88888888888889,78.88888888888889,78.88888888888889,78.88888888888889
2019-12-15,,61.111111111111114,61.111111111111114,61.111111111111114,61.111111111111114
2019-12-22,,42.22222222222222,42.22222222222222,42.22222222222222,42.22222222222222
2019-12-29,,68.88888888888889,68.88888888888889,68.88888888888889,68.88888888888889
2020-01-05,,,103.17460317460318,103.17460317460318,103.17460317460318
2020-01-12,,,71.42857142857143,71.42857142857143,71.42857142857143
2020-01-19,,,55.55555555555556,55.55555555555556,55.55555555555556
2020-01-26,,,55.55555555555556,55.55555555555556,55.55555555555556
2020-02-02,,,87.3015873015873,87.3015873015873,87.3015873015873
2020-02-09,,,87.3015873015873,87.3015873015873,87.3015873015873
2020-02-16,,,55.55555555555556,55.55555555555556,55.55555555555556
2020-02-23,,,39.682539682539684,39.682539682539684,39.682539682539684
2020-03-01,,,79.36507936507937,79.36507936507937,79.36507936507937
2020-03-08,,,87.3015873015873,87.3015873015873,87.3015873015873
2020-03-15,,,79.36507936507937,79.36507936507937,79.36507936507937
2020-03-22,,,71.42857142857143,71.42857142857143,71.42857142857143
2020-03-29,,,119.04761904761905,119.04761904761905,119.04761904761905
2020-04-05,,,142.85714285714286,142.85714285714286,142.85714285714286
2020-04-12,,,150.79365079365078,150.79365079365078,150.79365079365078
2020-04-19,,,111.11111111111111,111.11111111111111,111.11111111111111
2020-04-26,,,166.66666666666669,166.66666666666669,166.66666666666669
2020-05-03,,,190.47619047619048,190.47619047619048,190.47619047619048
2020-05-10,,,333.33333333333337,333.33333333333337,333.33333333333337
2020-05-17,,,793.6507936507937,793.6507936507937,793.6507936507937
2020-05-24,,,555.5555555555555,555.5555555555555,555.5555555555555
2020-05-31,,,325.3968253968254,325.3968253968254,325.3968253968254
2020-06-07,,,380.95238095238096,380.95238095238096,380.95238095238096
2020-06-14,,,285.7142857142857,285.7142857142857,285.7142857142857
2020-06-21,,,246.03174603174602,246.03174603174602,246.03174603174602
2020-06-28,,,261.9047619047619,261.9047619047619,261.9047619047619
2020-07-05,,,238.0952380952381,238.0952380952381,238.0952380952381
2020-07-12,,,214.28571428571428,214.28571428571428,214.28571428571428
2020-07-19,,,198.41269841269843,198.41269841269843,198.41269841269843
2020-07-26,,,174.6031746031746,174.6031746031746,174.6031746031746
2020-08-02,,,190.47619047619048,190.47619047619048,190.47619047619048
2020-08-09,,,174.6031746031746,174.6031746031746,174.6031746031746
2020-08-16,,,150.79365079365078,150.79365079365078,150.79365079365078
2020-08-23,,,111.11111111111111,111.11111111111111,111.11111111111111
2020-08-30,,,119.04761904761905,119.04761904761905,119.04761904761905
2020-09-06,,,126.98412698412699,126.98412698412699,126.98412698412699
2020-09-13,,,103.17460317460318,103.17460317460318,103.17460317460318
2020-09-20,,,103.17460317460318,103.17460317460318,103.17460317460318
2020-09-27,,,119.04761904761905,119.04761904761905,119.04761904761905
2020-10-04,,,150.79365079365078,150.79365079365078,150.79365079365078
2020-10-11,,,134.92063492063494,134.92063492063494,134.92063492063494
2020-10-18,,,126.98412698412699,126.98412698412699,126.98412698412699
2020-10-25,,,111.11111111111111,111.11111111111111,111.11111111111111
2020-11-01,,,119.04761904761905,119.04761904761905,119.04761904761905
2020-11-08,,,182.53968253968253,182.53968253968253,182.53968253968253
2020-11-15,,,206.34920634920636,206.34920634920636,206.34920634920636
2020-11-22,,,174.6031746031746,174.6031746031746,174.6031746031746
2020-11-29,,,190.47619047619048,190.47619047619048,190.47619047619048
2020-12-06,,,206.34920634920636,206.34920634920636,206.34920634920636
2020-12-13,,,206.34920634920636,206.34920634920636,206.34920634920636
2020-12-20,,,182.53968253968253,182.53968253968253,182.53968253968253
2020-12-27,,,150.79365079365078,150.79365079365078,150.79365079365078
2021-01-03,,,,24.0,24.0
2021-01-10,,,,23.0,23.0
2021-01-17,,,,17.0,17.0
2021-01-24,,,,15.0,15.0
2021-01-31,,,,17.0,17.0
2021-02-07,,,,23.0,23.0
2021-02-14,,,,19.0,19.0
2021-02-21,,,,16.0,16.0
2021-02-28,,,,18.0,18.0
2021-03-07,,,,23.0,23.0
2021-03-14,,,,16.0,16.0
2021-03-21,,,,15.0,15.0
2021-03-28,,,,18.0,18.0
2021-04-04,,,,20.0,20.0
2021-04-11,,,,16.0,16.0
