date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,0.0,0.0,0.0,0.0,0.0
2018-01-14,24.0,24.0,24.0,24.0,24.0
2018-01-21,0.0,0.0,0.0,0.0,0.0
2018-01-28,15.0,15.0,15.0,15.0,15.0
2018-02-04,31.0,31.0,31.0,31.0,31.0
2018-02-11,0.0,0.0,0.0,0.0,0.0
2018-02-18,0.0,0.0,0.0,0.0,0.0
2018-02-25,0.0,0.0,0.0,0.0,0.0
2018-03-04,26.0,26.0,26.0,26.0,26.0
2018-03-11,32.0,32.0,32.0,32.0,32.0
2018-03-18,0.0,0.0,0.0,0.0,0.0
2018-03-25,14.0,14.0,14.0,14.0,14.0
2018-04-01,16.0,16.0,16.0,16.0,16.0
2018-04-08,0.0,0.0,0.0,0.0,0.0
2018-04-15,0.0,0.0,0.0,0.0,0.0
2018-04-22,0.0,0.0,0.0,0.0,0.0
2018-04-29,37.0,37.0,37.0,37.0,37.0
2018-05-06,0.0,0.0,0.0,0.0,0.0
2018-05-13,0.0,0.0,0.0,0.0,0.0
2018-05-20,28.0,28.0,28.0,28.0,28.0
2018-05-27,0.0,0.0,0.0,0.0,0.0
2018-06-03,56.0,56.0,56.0,56.0,56.0
2018-06-10,25.0,25.0,25.0,25.0,25.0
2018-06-17,25.0,25.0,25.0,25.0,25.0
2018-06-24,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.0,0.0,0.0,0.0,0.0
2018-07-08,26.0,26.0,26.0,26.0,26.0
2018-07-15,25.0,25.0,25.0,25.0,25.0
2018-07-22,0.0,0.0,0.0,0.0,0.0
2018-07-29,55.0,55.0,55.0,55.0,55.0
2018-08-05,0.0,0.0,0.0,0.0,0.0
2018-08-12,100.0,100.0,100.0,100.0,100.0
2018-08-19,0.0,0.0,0.0,0.0,0.0
2018-08-26,18.0,18.0,18.0,18.0,18.0
2018-09-02,39.0,39.0,39.0,39.0,39.0
2018-09-09,0.0,0.0,0.0,0.0,0.0
2018-09-16,0.0,0.0,0.0,0.0,0.0
2018-09-23,0.0,0.0,0.0,0.0,0.0
2018-09-30,26.0,26.0,26.0,26.0,26.0
2018-10-07,0.0,0.0,0.0,0.0,0.0
2018-10-14,0.0,0.0,0.0,0.0,0.0
2018-10-21,36.0,36.0,36.0,36.0,36.0
2018-10-28,0.0,0.0,0.0,0.0,0.0
2018-11-04,22.0,22.0,22.0,22.0,22.0
2018-11-11,0.0,0.0,0.0,0.0,0.0
2018-11-18,0.0,0.0,0.0,0.0,0.0
2018-11-25,0.0,0.0,0.0,0.0,0.0
2018-12-02,25.0,25.0,25.0,25.0,25.0
2018-12-09,45.0,45.0,45.0,45.0,45.0
2018-12-16,16.0,16.0,16.0,16.0,16.0
2018-12-23,24.0,24.0,24.0,24.0,24.0
2018-12-30,0.0,0.0,0.0,0.0,0.0
2019-01-06,,28.0,28.0,28.0,28.0
2019-01-13,,0.0,0.0,0.0,0.0
2019-01-20,,50.0,50.0,50.0,50.0
2019-01-27,,0.0,0.0,0.0,0.0
2019-02-03,,29.0,29.0,29.0,29.0
2019-02-10,,19.0,19.0,19.0,19.0
2019-02-17,,13.0,13.0,13.0,13.0
2019-02-24,,30.0,30.0,30.0,30.0
2019-03-03,,59.0,59.0,59.0,59.0
2019-03-10,,47.0,47.0,47.0,47.0
2019-03-17,,0.0,0.0,0.0,0.0
2019-03-24,,0.0,0.0,0.0,0.0
2019-03-31,,0.0,0.0,0.0,0.0
2019-04-07,,42.0,42.0,42.0,42.0
2019-04-14,,17.0,17.0,17.0,17.0
2019-04-21,,0.0,0.0,0.0,0.0
2019-04-28,,0.0,0.0,0.0,0.0
2019-05-05,,57.0,57.0,57.0,57.0
2019-05-12,,0.0,0.0,0.0,0.0
2019-05-19,,56.0,56.0,56.0,56.0
2019-05-26,,0.0,0.0,0.0,0.0
2019-06-02,,42.0,42.0,42.0,42.0
2019-06-09,,49.0,49.0,49.0,49.0
2019-06-16,,16.0,16.0,16.0,16.0
2019-06-23,,18.0,18.0,18.0,18.0
2019-06-30,,0.0,0.0,0.0,0.0
2019-07-07,,18.0,18.0,18.0,18.0
2019-07-14,,85.0,85.0,85.0,85.0
2019-07-21,,0.0,0.0,0.0,0.0
2019-07-28,,52.0,52.0,52.0,52.0
2019-08-04,,63.0,63.0,63.0,63.0
2019-08-11,,0.0,0.0,0.0,0.0
2019-08-18,,0.0,0.0,0.0,0.0
2019-08-25,,14.0,14.0,14.0,14.0
2019-09-01,,13.0,13.0,13.0,13.0
2019-09-08,,37.0,37.0,37.0,37.0
2019-09-15,,34.0,34.0,34.0,34.0
2019-09-22,,31.0,31.0,31.0,31.0
2019-09-29,,26.0,26.0,26.0,26.0
2019-10-06,,22.0,22.0,22.0,22.0
2019-10-13,,16.0,16.0,16.0,16.0
2019-10-20,,0.0,0.0,0.0,0.0
2019-10-27,,12.0,12.0,12.0,12.0
