date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,0.0,0.0,0.0,0.0,0.0
2018-01-14,0.0,0.0,0.0,0.0,0.0
2018-01-21,0.0,0.0,0.0,0.0,0.0
2018-01-28,0.0,0.0,0.0,0.0,0.0
2018-02-04,100.0,100.0,100.0,100.0,100.0
2018-02-11,25.0,25.0,25.0,25.0,25.0
2018-02-18,16.0,16.0,16.0,16.0,16.0
2018-02-25,21.0,21.0,21.0,21.0,21.0
2018-03-04,0.0,0.0,0.0,0.0,0.0
2018-03-11,0.0,0.0,0.0,0.0,0.0
2018-03-18,0.0,0.0,0.0,0.0,0.0
2018-03-25,20.0,20.0,20.0,20.0,20.0
2018-04-01,33.0,33.0,33.0,33.0,33.0
2018-04-08,22.0,22.0,22.0,22.0,22.0
2018-04-15,0.0,0.0,0.0,0.0,0.0
2018-04-22,38.0,38.0,38.0,38.0,38.0
2018-04-29,0.0,0.0,0.0,0.0,0.0
2018-05-06,16.0,16.0,16.0,16.0,16.0
2018-05-13,0.0,0.0,0.0,0.0,0.0
2018-05-20,0.0,0.0,0.0,0.0,0.0
2018-05-27,0.0,0.0,0.0,0.0,0.0
2018-06-03,20.0,20.0,20.0,20.0,20.0
2018-06-10,44.0,44.0,44.0,44.0,44.0
2018-06-17,57.0,57.0,57.0,57.0,57.0
2018-06-24,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.0,0.0,0.0,0.0,0.0
2018-07-08,25.0,25.0,25.0,25.0,25.0
2018-07-15,37.0,37.0,37.0,37.0,37.0
2018-07-22,42.0,42.0,42.0,42.0,42.0
2018-07-29,21.0,21.0,21.0,21.0,21.0
2018-08-05,0.0,0.0,0.0,0.0,0.0
2018-08-12,0.0,0.0,0.0,0.0,0.0
2018-08-19,0.0,0.0,0.0,0.0,0.0
2018-08-26,0.0,0.0,0.0,0.0,0.0
2018-09-02,18.0,18.0,18.0,18.0,18.0
2018-09-09,0.0,0.0,0.0,0.0,0.0
2018-09-16,19.0,19.0,19.0,19.0,19.0
2018-09-23,30.0,30.0,30.0,30.0,30.0
2018-09-30,47.0,47.0,47.0,47.0,47.0
2018-10-07,0.0,0.0,0.0,0.0,0.0
2018-10-14,13.0,13.0,13.0,13.0,13.0
2018-10-21,14.0,14.0,14.0,14.0,14.0
2018-10-28,15.0,15.0,15.0,15.0,15.0
2018-11-04,27.0,27.0,27.0,27.0,27.0
2018-11-11,0.0,0.0,0.0,0.0,0.0
2018-11-18,0.0,0.0,0.0,0.0,0.0
2018-11-25,23.0,23.0,23.0,23.0,23.0
2018-12-02,28.0,28.0,28.0,28.0,28.0
2018-12-09,80.0,80.0,80.0,80.0,80.0
2018-12-16,14.0,14.0,14.0,14.0,14.0
2018-12-23,0.0,0.0,0.0,0.0,0.0
2018-12-30,17.0,17.0,17.0,17.0,17.0
2019-01-06,,0.0,0.0,0.0,0.0
2019-01-13,,33.0,33.0,33.0,33.0
2019-01-20,,0.0,0.0,0.0,0.0
