date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,0.0,0.0,0.0,0.0,0.0
2018-01-14,33.0,33.0,33.0,33.0,33.0
2018-01-21,39.0,39.0,39.0,39.0,39.0
2018-01-28,38.0,38.0,38.0,38.0,38.0
2018-02-04,38.0,38.0,38.0,38.0,38.0
2018-02-11,91.0,91.0,91.0,91.0,91.0
2018-02-18,24.0,24.0,24.0,24.0,24.0
2018-02-25,0.0,0.0,0.0,0.0,0.0
2018-03-04,36.0,36.0,36.0,36.0,36.0
2018-03-11,47.0,47.0,47.0,47.0,47.0
2018-03-18,0.0,0.0,0.0,0.0,0.0
2018-03-25,18.0,18.0,18.0,18.0,18.0
2018-04-01,50.0,50.0,50.0,50.0,50.0
2018-04-08,31.0,31.0,31.0,31.0,31.0
2018-04-15,0.0,0.0,0.0,0.0,0.0
2018-04-22,0.0,0.0,0.0,0.0,0.0
2018-04-29,0.0,0.0,0.0,0.0,0.0
2018-05-06,0.0,0.0,0.0,0.0,0.0
2018-05-13,40.0,40.0,40.0,40.0,40.0
2018-05-20,84.0,84.0,84.0,84.0,84.0
2018-05-27,19.0,19.0,19.0,19.0,19.0
2018-06-03,91.0,91.0,91.0,91.0,91.0
2018-06-10,47.0,47.0,47.0,47.0,47.0
2018-06-17,100.0,100.0,100.0,100.0,100.0
2018-06-24,51.0,51.0,51.0,51.0,51.0
2018-07-01,29.0,29.0,29.0,29.0,29.0
2018-07-08,28.0,28.0,28.0,28.0,28.0
2018-07-15,61.0,61.0,61.0,61.0,61.0
2018-07-22,34.0,34.0,34.0,34.0,34.0
2018-07-29,0.0,0.0,0.0,0.0,0.0
2018-08-05,46.0,46.0,46.0,46.0,46.0
2018-08-12,0.0,0.0,0.0,0.0,0.0
2018-08-19,51.0,51.0,51.0,51.0,51.0
2018-08-26,0.0,0.0,0.0,0.0,0.0
2018-09-02,0.0,0.0,0.0,0.0,0.0
2018-09-09,59.0,59.0,59.0,59.0,59.0
2018-09-16,56.0,56.0,56.0,56.0,56.0
2018-09-23,36.0,36.0,36.0,36.0,36.0
2018-09-30,21.0,21.0,21.0,21.0,21.0
2018-10-07,0.0,0.0,0.0,0.0,0.0
