date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,43.0,43.0,43.0,43.0,43.0
2018-01-14,49.0,49.0,49.0,49.0,49.0
2018-01-21,78.0,78.0,78.0,78.0,78.0
2018-01-28,88.0,88.0,88.0,88.0,88.0
2018-02-04,62.0,62.0,62.0,62.0,62.0
2018-02-11,88.0,88.0,88.0,88.0,88.0
2018-02-18,51.0,51.0,51.0,51.0,51.0
2018-02-25,37.0,37.0,37.0,37.0,37.0
2018-03-04,32.0,32.0,32.0,32.0,32.0
2018-03-11,74.0,74.0,74.0,74.0,74.0
2018-03-18,39.0,39.0,39.0,39.0,39.0
2018-03-25,75.0,75.0,75.0,75.0,75.0
2018-04-01,45.0,45.0,45.0,45.0,45.0
2018-04-08,55.0,55.0,55.0,55.0,55.0
2018-04-15,39.0,39.0,39.0,39.0,39.0
2018-04-22,54.0,54.0,54.0,54.0,54.0
2018-04-29,57.0,57.0,57.0,57.0,57.0
2018-05-06,46.0,46.0,46.0,46.0,46.0
2018-05-13,50.0,50.0,50.0,50.0,50.0
2018-05-20,69.0,69.0,69.0,69.0,69.0
2018-05-27,38.0,38.0,38.0,38.0,38.0
2018-06-03,52.0,52.0,52.0,52.0,52.0
2018-06-10,100.0,100.0,100.0,100.0,100.0
2018-06-17,74.0,74.0,74.0,74.0,74.0
2018-06-24,84.0,84.0,84.0,84.0,84.0
2018-07-01,52.0,52.0,52.0,52.0,52.0
2018-07-08,73.0,73.0,73.0,73.0,73.0
2018-07-15,53.0,53.0,53.0,53.0,53.0
2018-07-22,48.0,48.0,48.0,48.0,48.0
2018-07-29,68.0,68.0,68.0,68.0,68.0
2018-08-05,82.0,82.0,82.0,82.0,82.0
2018-08-12,93.0,93.0,93.0,93.0,93.0
2018-08-19,96.0,96.0,96.0,96.0,96.0
2018-08-26,49.0,49.0,49.0,49.0,49.0
2018-09-02,52.0,52.0,52.0,52.0,52.0
2018-09-09,71.0,71.0,71.0,71.0,71.0
2018-09-16,51.0,51.0,51.0,51.0,51.0
2018-09-23,40.0,40.0,40.0,40.0,40.0
2018-09-30,66.0,66.0,66.0,66.0,66.0
2018-10-07,76.0,76.0,76.0,76.0,76.0
2018-10-14,55.0,55.0,55.0,55.0,55.0
2018-10-21,38.0,38.0,38.0,38.0,38.0
2018-10-28,45.0,45.0,45.0,45.0,45.0
2018-11-04,67.0,67.0,67.0,67.0,67.0
2018-11-11,55.0,55.0,55.0,55.0,55.0
2018-11-18,48.0,48.0,48.0,48.0,48.0
2018-11-25,40.0,40.0,40.0,40.0,40.0
2018-12-02,54.0,54.0,54.0,54.0,54.0
2018-12-09,53.0,53.0,53.0,53.0,53.0
2018-12-16,46.0,46.0,46.0,46.0,46.0
2018-12-23,32.0,32.0,32.0,32.0,32.0
2018-12-30,70.0,70.0,70.0,70.0,70.0
2019-01-06,,136.986301369863,136.986301369863,136.986301369863,136.986301369863
2019-01-13,,104.10958904109589,104.10958904109589,104.10958904109589,104.10958904109589
2019-01-20,,82.1917808219178,82.1917808219178,82.1917808219178,82.1917808219178
2019-01-27,,57.534246575342465,57.534246575342465,57.534246575342465,57.534246575342465
2019-02-03,,39.726027397260275,39.726027397260275,39.726027397260275,39.726027397260275
