date,2024-02-16
2018-01-07,38.0
2018-01-14,0.0
2018-01-21,0.0
2018-01-28,87.0
2018-02-04,34.0
2018-02-11,0.0
2018-02-18,32.0
2018-02-25,0.0
2018-03-04,0.0
2018-03-11,43.0
2018-03-18,0.0
2018-03-25,67.0
2018-04-01,0.0
2018-04-08,0.0
2018-04-15,50.0
2018-04-22,80.0
2018-04-29,29.0
2018-05-06,0.0
2018-05-13,34.0
2018-05-20,89.0
2018-05-27,90.0
2018-06-03,74.0
2018-06-10,0.0
2018-06-17,39.0
2018-06-24,67.0
2018-07-01,0.0
2018-07-08,0.0
2018-07-15,0.0
2018-07-22,100.0
2018-07-29,0.0
2018-08-05,44.0
2018-08-12,95.0
2018-08-19,74.0
2018-08-26,0.0
2018-09-02,0.0
2018-09-09,0.0
2018-09-16,0.0
2018-09-23,30.0
2018-09-30,0.0
2018-10-07,0.0
2018-10-14,0.0
2018-10-21,0.0
2018-10-28,0.0
2018-11-04,0.0
2018-11-11,0.0
2018-11-18,0.0
2018-11-25,87.0
2018-12-02,0.0
2018-12-09,33.0
2018-12-16,0.0
2018-12-23,0.0
2018-12-30,46.0
2019-01-06,161.29032258064515
2019-01-13,0.0
2019-01-20,37.096774193548384
2019-01-27,0.0
2019-02-03,54.83870967741935
2019-02-10,0.0
2019-02-17,48.38709677419354
2019-02-24,0.0
2019-03-03,88.70967741935483
2019-03-10,62.90322580645161
2019-03-17,45.16129032258064
2019-03-24,0.0
2019-03-31,95.16129032258064
2019-04-07,35.483870967741936
2019-04-14,0.0
2019-04-21,38.70967741935483
2019-04-28,0.0
2019-05-05,62.90322580645161
2019-05-12,58.064516129032256
2019-05-19,0.0
2019-05-26,0.0
2019-06-02,88.70967741935483
2019-06-09,0.0
2019-06-16,0.0
2019-06-23,0.0
2019-06-30,0.0
2019-07-07,0.0
2019-07-14,41.93548387096774
2019-07-21,0.0
2019-07-28,0.0
2019-08-04,0.0
2019-08-11,0.0
2019-08-18,0.0
2019-08-25,56.4516129032258
2019-09-01,0.0
2019-09-08,0.0
2019-09-15,30.64516129032258
2019-09-22,0.0
2019-09-29,0.0
2019-10-06,0.0
2019-10-13,0.0
2019-10-20,62.90322580645161
2019-10-27,0.0
2019-11-03,56.4516129032258
2019-11-10,58.064516129032256
2019-11-17,98.38709677419354
2019-11-24,0.0
2019-12-01,0.0
2019-12-08,40.32258064516129
2019-12-15,0.0
2019-12-22,0.0
2019-12-29,32.25806451612903
2020-01-05,0.0
2020-01-12,0.0
2020-01-19,0.0
2020-01-26,0.0
2020-02-02,34.0
2020-02-09,34.0
2020-02-16,0.0
2020-02-23,0.0
2020-03-01,28.0
2020-03-08,16.0
2020-03-15,33.0
2020-03-22,67.0
2020-03-29,37.0
2020-04-05,35.0
2020-04-12,33.0
2020-04-19,0.0
2020-04-26,32.0
2020-05-03,44.0
2020-05-10,0.0
2020-05-17,28.0
2020-05-24,41.0
2020-05-31,18.0
2020-06-07,53.0
2020-06-14,0.0
2020-06-21,0.0
2020-06-28,31.0
2020-07-05,52.0
2020-07-12,0.0
2020-07-19,0.0
2020-07-26,25.0
2020-08-02,0.0
2020-08-09,0.0
2020-08-16,0.0
2020-08-23,0.0
2020-08-30,0.0
2020-09-06,13.0
2020-09-13,0.0
2020-09-20,0.0
2020-09-27,41.0
2020-10-04,31.0
2020-10-11,27.0
2020-10-18,100.0
2020-10-25,0.0
2020-11-01,0.0
2020-11-08,0.0
2020-11-15,0.0
2020-11-22,28.0
2020-11-29,0.0
2020-12-06,43.0
2020-12-13,0.0
2020-12-20,56.0
2020-12-27,0.0
2021-01-03,58.8235294117647
2021-01-10,0.0
2021-01-17,49.33586337760911
2021-01-24,70.20872865275142
2021-01-31,0.0
2021-02-07,0.0
2021-02-14,0.0
2021-02-21,43.64326375711575
2021-02-28,39.84819734345351
2021-03-07,43.64326375711575
2021-03-14,56.92599620493358
2021-03-21,0.0
2021-03-28,0.0
2021-04-04,60.72106261859582
2021-04-11,0.0
2021-04-18,0.0
2021-04-25,0.0
2021-05-02,39.84819734345351
2021-05-09,0.0
2021-05-16,0.0
2021-05-23,0.0
2021-05-30,149.90512333965845
2021-06-06,37.95066413662239
2021-06-13,39.84819734345351
2021-06-20,68.3111954459203
2021-06-27,60.72106261859582
2021-07-04,151.80265654648957
2021-07-11,0.0
2021-07-18,43.64326375711575
2021-07-25,51.23339658444023
2021-08-01,0.0
2021-08-08,0.0
2021-08-15,58.8235294117647
2021-08-22,68.3111954459203
2021-08-29,0.0
2021-09-05,0.0
2021-09-12,0.0
2021-09-19,111.95445920303604
2021-09-26,45.54079696394687
2021-10-03,56.92599620493358
2021-10-10,0.0
2021-10-17,58.8235294117647
2021-10-24,0.0
2021-10-31,83.49146110056925
2021-11-07,0.0
2021-11-14,0.0
2021-11-21,0.0
2021-11-28,0.0
2021-12-05,0.0
2021-12-12,189.75332068311195
2021-12-19,0.0
2021-12-26,144.2125237191651
2022-01-02,33.0
2022-01-09,81.0
2022-01-16,70.0
2022-01-23,54.0
2022-01-30,0.0
2022-02-06,19.0
2022-02-13,0.0
2022-02-20,0.0
2022-02-27,27.0
2022-03-06,22.0
2022-03-13,0.0
2022-03-20,13.0
2022-03-27,35.0
2022-04-03,58.0
2022-04-10,25.0
2022-04-17,17.0
2022-04-24,36.0
2022-05-01,39.0
2022-05-08,82.0
2022-05-15,0.0
2022-05-22,32.0
2022-05-29,26.0
2022-06-05,13.0
2022-06-12,0.0
2022-06-19,46.0
2022-06-26,41.0
2022-07-03,47.0
2022-07-10,15.0
2022-07-17,42.0
2022-07-24,33.0
2022-07-31,34.0
2022-08-07,30.0
2022-08-14,15.0
2022-08-21,28.0
2022-08-28,36.0
2022-09-04,28.0
2022-09-11,29.0
2022-09-18,26.0
2022-09-25,0.0
2022-10-02,89.0
2022-10-09,86.0
2022-10-16,27.0
2022-10-23,0.0
2022-10-30,41.0
2022-11-06,56.0
2022-11-13,31.0
2022-11-20,50.0
2022-11-27,32.0
2022-12-04,15.0
2022-12-11,0.0
2022-12-18,16.0
2022-12-25,0.0
2023-01-01,25.0
2023-01-08,0.0
2023-01-15,151.25264692132112
2023-01-22,66.00115502021285
2023-01-29,41.250721887633034
2023-02-05,33.000577510106424
2023-02-12,0.0
2023-02-19,38.50067376179083
2023-02-26,137.5024062921101
2023-03-05,96.25168440447707
2023-03-12,115.50202128537248
