date,2023-01-01
2018-01-07,73.0
2018-01-14,55.0
2018-01-21,72.0
2018-01-28,93.0
2018-02-04,83.0
2018-02-11,45.0
2018-02-18,51.0
2018-02-25,66.0
2018-03-04,77.0
2018-03-11,68.0
2018-03-18,60.0
2018-03-25,55.0
2018-04-01,75.0
2018-04-08,73.0
2018-04-15,53.0
2018-04-22,65.0
2018-04-29,76.0
2018-05-06,71.0
2018-05-13,52.0
2018-05-20,53.0
2018-05-27,67.0
2018-06-03,76.0
2018-06-10,68.0
2018-06-17,61.0
2018-06-24,78.0
2018-07-01,83.0
2018-07-08,79.0
2018-07-15,70.0
2018-07-22,77.0
2018-07-29,100.0
2018-08-05,88.0
2018-08-12,71.0
2018-08-19,64.0
2018-08-26,63.0
2018-09-02,87.0
2018-09-09,73.0
2018-09-16,73.0
2018-09-23,79.0
2018-09-30,98.0
2018-10-07,76.0
2018-10-14,67.0
2018-10-21,67.0
2018-10-28,79.0
2018-11-04,78.0
2018-11-11,70.0
2018-11-18,61.0
2018-11-25,60.0
2018-12-02,69.0
2018-12-09,75.0
2018-12-16,65.0
2018-12-23,50.0
2018-12-30,79.0
2019-01-06,82.8125
2019-01-13,109.375
2019-01-20,89.0625
2019-01-27,82.8125
2019-02-03,93.75
2019-02-10,71.875
2019-02-17,71.875
2019-02-24,89.0625
2019-03-03,76.5625
2019-03-10,64.0625
2019-03-17,57.8125
2019-03-24,81.25
2019-03-31,93.75
2019-04-07,82.8125
2019-04-14,70.3125
2019-04-21,73.4375
2019-04-28,75.0
2019-05-05,81.25
2019-05-12,104.6875
2019-05-19,117.1875
2019-05-26,118.75
2019-06-02,148.4375
2019-06-09,156.25
2019-06-16,117.1875
2019-06-23,120.3125
2019-06-30,107.8125
2019-07-07,131.25
2019-07-14,120.3125
2019-07-21,110.9375
2019-07-28,109.375
2019-08-04,140.625
2019-08-11,118.75
2019-08-18,103.125
2019-08-25,93.75
2019-09-01,117.1875
2019-09-08,112.5
2019-09-15,114.0625
2019-09-22,84.375
2019-09-29,109.375
2019-10-06,125.0
2019-10-13,107.8125
2019-10-20,92.1875
2019-10-27,106.25
2019-11-03,103.125
2019-11-10,90.625
2019-11-17,85.9375
2019-11-24,50.0
2019-12-01,104.6875
2019-12-08,68.75
2019-12-15,71.875
2019-12-22,60.9375
2019-12-29,82.8125
2020-01-05,95.66326530612245
2020-01-12,92.47448979591837
2020-01-19,86.09693877551021
2020-01-26,86.09693877551021
2020-02-02,114.79591836734694
2020-02-09,89.28571428571429
2020-02-16,76.53061224489797
2020-02-23,66.96428571428572
2020-03-01,86.09693877551021
2020-03-08,95.66326530612245
2020-03-15,184.94897959183675
2020-03-22,197.70408163265307
2020-03-29,255.10204081632654
2020-04-05,318.8775510204082
2020-04-12,318.8775510204082
2020-04-19,255.10204081632654
2020-04-26,296.5561224489796
2020-05-03,267.8571428571429
2020-05-10,280.6122448979592
2020-05-17,312.5
2020-05-24,220.02551020408166
2020-05-31,188.1377551020408
2020-06-07,194.51530612244898
2020-06-14,181.76020408163265
2020-06-21,165.81632653061226
2020-06-28,181.76020408163265
2020-07-05,165.81632653061226
2020-07-12,194.51530612244898
2020-07-19,162.62755102040816
2020-07-26,172.19387755102042
2020-08-02,169.00510204081633
2020-08-09,184.94897959183675
2020-08-16,153.06122448979593
2020-08-23,137.1173469387755
2020-08-30,165.81632653061226
2020-09-06,159.4387755102041
2020-09-13,159.4387755102041
2020-09-20,124.36224489795919
2020-09-27,162.62755102040816
2020-10-04,156.25
2020-10-11,165.81632653061226
2020-10-18,127.55102040816327
2020-10-25,111.60714285714286
2020-11-01,124.36224489795919
2020-11-08,149.87244897959184
2020-11-15,159.4387755102041
2020-11-22,111.60714285714286
2020-11-29,165.81632653061226
2020-12-06,146.68367346938777
2020-12-13,204.08163265306123
2020-12-20,188.1377551020408
2020-12-27,156.25
2021-01-03,65.0
2021-01-10,56.0
2021-01-17,46.0
2021-01-24,44.0
2021-01-31,56.0
2021-02-07,60.0
2021-02-14,53.0
2021-02-21,51.0
2021-02-28,52.0
2021-03-07,49.0
2021-03-14,34.0
2021-03-21,38.0
2021-03-28,48.0
2021-04-04,59.0
2021-04-11,47.0
2021-04-18,42.0
2021-04-25,41.0
2021-05-02,44.0
2021-05-09,40.0
2021-05-16,41.0
2021-05-23,45.0
2021-05-30,42.0
2021-06-06,50.0
2021-06-13,46.0
2021-06-20,49.0
2021-06-27,58.0
2021-07-04,58.0
2021-07-11,61.0
2021-07-18,53.0
2021-07-25,54.0
2021-08-01,61.0
2021-08-08,58.0
2021-08-15,61.0
2021-08-22,55.0
2021-08-29,62.0
2021-09-05,64.0
2021-09-12,75.0
2021-09-19,71.0
2021-09-26,88.0
2021-10-03,88.0
2021-10-10,81.0
2021-10-17,76.0
2021-10-24,76.0
2021-10-31,81.0
2021-11-07,84.0
2021-11-14,70.0
2021-11-21,50.0
2021-11-28,61.0
2021-12-05,74.0
2021-12-12,56.0
2021-12-19,45.0
2021-12-26,45.0
2022-01-02,243.35392051557469
2022-01-09,239.15816326530614
2022-01-16,213.98361976369497
2022-01-23,218.17937701396352
2022-01-30,251.74543501611174
2022-02-06,213.98361976369497
2022-02-13,226.57089151450057
2022-02-20,268.52846401718585
2022-02-27,272.72422126745437
2022-03-06,239.15816326530614
2022-03-13,226.57089151450057
2022-03-20,260.13694951664877
2022-03-27,226.57089151450057
2022-04-03,226.57089151450057
2022-04-10,197.20059076262086
2022-04-17,209.78786251342646
2022-04-24,230.7666487647691
2022-05-01,255.94119226638026
2022-05-08,218.17937701396352
2022-05-15,226.57089151450057
2022-05-22,209.78786251342646
2022-05-29,218.17937701396352
2022-06-05,205.59210526315792
2022-06-12,222.37513426423203
2022-06-19,222.37513426423203
2022-06-26,260.13694951664877
2022-07-03,289.5072502685285
2022-07-10,327.2690655209453
2022-07-17,272.72422126745437
2022-07-24,297.89876476906556
