date,2023-01-01
2018-01-07,62.0
2018-01-14,53.0
2018-01-21,0.0
2018-01-28,80.0
2018-02-04,96.0
2018-02-11,55.0
2018-02-18,46.0
2018-02-25,54.0
2018-03-04,52.0
2018-03-11,67.0
2018-03-18,56.0
2018-03-25,54.0
2018-04-01,74.0
2018-04-08,14.0
2018-04-15,26.0
2018-04-22,44.0
2018-04-29,72.0
2018-05-06,85.0
2018-05-13,31.0
2018-05-20,27.0
2018-05-27,63.0
2018-06-03,45.0
2018-06-10,50.0
2018-06-17,38.0
2018-06-24,69.0
2018-07-01,72.0
2018-07-08,76.0
2018-07-15,71.0
2018-07-22,31.0
2018-07-29,67.0
2018-08-05,53.0
2018-08-12,37.0
2018-08-19,0.0
2018-08-26,38.0
2018-09-02,47.0
2018-09-09,36.0
2018-09-16,40.0
2018-09-23,28.0
2018-09-30,38.0
2018-10-07,0.0
2018-10-14,38.0
2018-10-21,26.0
2018-10-28,54.0
2018-11-04,32.0
2018-11-11,41.0
2018-11-18,100.0
2018-11-25,37.0
2018-12-02,55.0
2018-12-09,21.0
2018-12-16,38.0
2018-12-23,0.0
2018-12-30,31.0
2019-01-06,18.0
2019-01-13,74.0
2019-01-20,62.0
2019-01-27,27.0
2019-02-03,13.0
2019-02-10,24.0
2019-02-17,38.0
2019-02-24,28.0
2019-03-03,60.0
2019-03-10,19.0
2019-03-17,24.0
2019-03-24,17.0
2019-03-31,44.0
2019-04-07,23.0
2019-04-14,67.0
2019-04-21,0.0
2019-04-28,51.0
2019-05-05,28.0
2019-05-12,36.0
2019-05-19,14.0
2019-05-26,26.0
2019-06-02,57.0
2019-06-09,53.0
2019-06-16,41.0
2019-06-23,45.0
2019-06-30,43.0
2019-07-07,27.0
2019-07-14,0.0
2019-07-21,24.0
2019-07-28,40.0
2019-08-04,38.0
2019-08-11,53.0
2019-08-18,15.0
2019-08-25,42.0
2019-09-01,40.0
2019-09-08,49.0
2019-09-15,50.0
2019-09-22,16.0
2019-09-29,54.0
2019-10-06,40.0
2019-10-13,43.0
2019-10-20,30.0
2019-10-27,24.0
2019-11-03,57.0
2019-11-10,0.0
2019-11-17,25.0
2019-11-24,13.0
2019-12-01,42.0
2019-12-08,42.0
2019-12-15,24.0
2019-12-22,10.0
2019-12-29,34.0
2020-01-05,61.53846153846154
2020-01-12,0.0
2020-01-19,23.076923076923077
2020-01-26,23.076923076923077
2020-02-02,38.46153846153846
2020-02-09,38.46153846153846
2020-02-16,23.076923076923077
2020-02-23,30.76923076923077
2020-03-01,23.076923076923077
2020-03-08,38.46153846153846
2020-03-15,15.384615384615385
2020-03-22,46.15384615384615
2020-03-29,69.23076923076923
2020-04-05,76.92307692307692
2020-04-12,69.23076923076923
2020-04-19,61.53846153846154
2020-04-26,169.23076923076923
2020-05-03,138.46153846153845
2020-05-10,323.0769230769231
2020-05-17,769.2307692307693
2020-05-24,461.53846153846155
2020-05-31,338.46153846153845
2020-06-07,369.2307692307692
2020-06-14,292.3076923076923
2020-06-21,200.0
2020-06-28,153.84615384615384
2020-07-05,146.15384615384616
2020-07-12,138.46153846153845
2020-07-19,107.6923076923077
2020-07-26,130.76923076923077
2020-08-02,130.76923076923077
2020-08-09,115.38461538461539
2020-08-16,146.15384615384616
2020-08-23,107.6923076923077
2020-08-30,100.0
2020-09-06,76.92307692307692
2020-09-13,46.15384615384615
2020-09-20,53.84615384615385
2020-09-27,84.61538461538461
2020-10-04,130.76923076923077
2020-10-11,61.53846153846154
2020-10-18,100.0
2020-10-25,92.3076923076923
2020-11-01,69.23076923076923
2020-11-08,100.0
2020-11-15,84.61538461538461
2020-11-22,130.76923076923077
2020-11-29,276.9230769230769
2020-12-06,223.0769230769231
2020-12-13,153.84615384615384
2020-12-20,123.07692307692308
2020-12-27,107.6923076923077
2021-01-03,16.0
2021-01-10,14.0
2021-01-17,12.0
2021-01-24,10.0
2021-01-31,13.0
2021-02-07,14.0
2021-02-14,12.0
2021-02-21,11.0
2021-02-28,24.0
2021-03-07,17.0
2021-03-14,10.0
2021-03-21,13.0
2021-03-28,22.0
2021-04-04,12.0
2021-04-11,13.0
2021-04-18,11.0
2021-04-25,15.0
2021-05-02,16.0
2021-05-09,12.0
2021-05-16,10.0
2021-05-23,14.0
2021-05-30,16.0
2021-06-06,14.0
2021-06-13,15.0
2021-06-20,11.0
2021-06-27,15.0
2021-07-04,24.0
2021-07-11,25.0
2021-07-18,12.0
2021-07-25,14.0
2021-08-01,19.0
2021-08-08,18.0
2021-08-15,8.0
2021-08-22,17.0
2021-08-29,24.0
2021-09-05,24.0
2021-09-12,20.0
2021-09-19,15.0
2021-09-26,16.0
2021-10-03,21.0
2021-10-10,19.0
2021-10-17,22.0
2021-10-24,28.0
2021-10-31,42.0
2021-11-07,26.0
2021-11-14,27.0
2021-11-21,17.0
2021-11-28,26.0
2021-12-05,23.0
2021-12-12,22.0
2021-12-19,19.0
2021-12-26,25.0
2022-01-02,20.0
2022-01-09,28.0
2022-01-16,34.0
2022-01-23,18.0
2022-01-30,21.0
2022-02-06,23.0
2022-02-13,20.0
2022-02-20,16.0
2022-02-27,20.0
2022-03-06,23.0
2022-03-13,18.0
2022-03-20,17.0
2022-03-27,17.0
2022-04-03,17.0
2022-04-10,15.0
2022-04-17,17.0
2022-04-24,15.0
2022-05-01,18.0
2022-05-08,15.0
2022-05-15,15.0
2022-05-22,10.0
2022-05-29,25.0
2022-06-05,20.0
2022-06-12,19.0
2022-06-19,19.0
2022-06-26,14.0
2022-07-03,27.0
2022-07-10,24.0
2022-07-17,21.0
2022-07-24,18.0
2022-07-31,20.0
2022-08-07,20.0
2022-08-14,17.0
2022-08-21,11.0
2022-08-28,23.0
2022-09-04,16.0
2022-09-11,21.0
2022-09-18,13.0
2022-09-25,17.0
2022-10-02,23.0
2022-10-09,20.0
2022-10-16,25.0
2022-10-23,23.0
2022-10-30,23.0
2022-11-06,35.0
2022-11-13,29.0
2022-11-20,21.0
2022-11-27,25.0
2022-12-04,32.0
2022-12-11,27.0
2022-12-18,45.0
2022-12-25,23.0
2023-01-01,30.0
