date,2023-01-01
2018-01-07,58.0
2018-01-14,29.0
2018-01-21,38.0
2018-01-28,60.0
2018-02-04,64.0
2018-02-11,86.0
2018-02-18,54.0
2018-02-25,49.0
2018-03-04,62.0
2018-03-11,62.0
2018-03-18,26.0
2018-03-25,80.0
2018-04-01,91.0
2018-04-08,73.0
2018-04-15,100.0
2018-04-22,66.0
2018-04-29,74.0
2018-05-06,59.0
2018-05-13,58.0
2018-05-20,60.0
2018-05-27,54.0
2018-06-03,90.0
2018-06-10,84.0
2018-06-17,63.0
2018-06-24,73.0
2018-07-01,70.0
2018-07-08,79.0
2018-07-15,61.0
2018-07-22,64.0
2018-07-29,87.0
2018-08-05,81.0
2018-08-12,62.0
2018-08-19,71.0
2018-08-26,42.0
2018-09-02,38.0
2018-09-09,81.0
2018-09-16,55.0
2018-09-23,62.0
2018-09-30,68.0
2018-10-07,55.0
2018-10-14,51.0
2018-10-21,71.0
2018-10-28,69.0
2018-11-04,64.0
2018-11-11,49.0
2018-11-18,67.0
2018-11-25,45.0
2018-12-02,50.0
2018-12-09,47.0
2018-12-16,41.0
2018-12-23,44.0
2018-12-30,80.0
2019-01-06,106.25
2019-01-13,134.375
2019-01-20,139.0625
2019-01-27,81.25
2019-02-03,76.5625
2019-02-10,67.1875
2019-02-17,53.125
2019-02-24,67.1875
2019-03-03,81.25
2019-03-10,110.9375
2019-03-17,48.4375
2019-03-24,67.1875
2019-03-31,78.125
2019-04-07,67.1875
2019-04-14,60.9375
2019-04-21,71.875
2019-04-28,51.5625
2019-05-05,65.625
2019-05-12,78.125
2019-05-19,75.0
2019-05-26,85.9375
2019-06-02,84.375
2019-06-09,148.4375
2019-06-16,89.0625
2019-06-23,104.6875
2019-06-30,123.4375
2019-07-07,135.9375
2019-07-14,82.8125
2019-07-21,82.8125
2019-07-28,110.9375
2019-08-04,112.5
2019-08-11,114.0625
2019-08-18,64.0625
2019-08-25,98.4375
2019-09-01,112.5
2019-09-08,114.0625
2019-09-15,135.9375
2019-09-22,92.1875
2019-09-29,90.625
2019-10-06,78.125
2019-10-13,104.6875
2019-10-20,115.625
2019-10-27,95.3125
2019-11-03,153.125
2019-11-10,156.25
2019-11-17,104.6875
2019-11-24,43.75
2019-12-01,90.625
2019-12-08,142.1875
2019-12-15,98.4375
2019-12-22,89.0625
2019-12-29,121.875
2020-01-05,143.22916666666669
2020-01-12,104.16666666666667
2020-01-19,91.14583333333334
2020-01-26,78.125
2020-02-02,143.22916666666669
2020-02-09,117.1875
2020-02-16,117.1875
2020-02-23,65.10416666666667
2020-03-01,117.1875
2020-03-08,104.16666666666667
2020-03-15,156.25
2020-03-22,143.22916666666669
2020-03-29,208.33333333333334
2020-04-05,221.35416666666669
2020-04-12,299.4791666666667
2020-04-19,260.4166666666667
2020-04-26,195.3125
2020-05-03,195.3125
2020-05-10,572.9166666666667
2020-05-17,950.5208333333334
2020-05-24,625.0
2020-05-31,1171.875
2020-06-07,846.3541666666667
2020-06-14,1302.0833333333335
2020-06-21,1067.7083333333335
2020-06-28,989.5833333333334
2020-07-05,742.1875
2020-07-12,638.0208333333334
2020-07-19,611.9791666666667
2020-07-26,585.9375
2020-08-02,494.7916666666667
2020-08-09,585.9375
2020-08-16,429.6875
2020-08-23,312.5
2020-08-30,273.4375
2020-09-06,273.4375
2020-09-13,221.35416666666669
2020-09-20,286.45833333333337
2020-09-27,325.52083333333337
2020-10-04,312.5
2020-10-11,260.4166666666667
2020-10-18,234.375
2020-10-25,286.45833333333337
2020-11-01,260.4166666666667
2020-11-08,299.4791666666667
2020-11-15,286.45833333333337
2020-11-22,169.27083333333334
2020-11-29,260.4166666666667
2020-12-06,247.39583333333334
2020-12-13,312.5
2020-12-20,195.3125
2020-12-27,247.39583333333334
2021-01-03,251.2792397660819
2021-01-10,296.9663742690059
2021-01-17,296.9663742690059
2021-01-24,274.1228070175439
2021-01-31,274.1228070175439
2021-02-07,251.2792397660819
2021-02-14,365.49707602339186
2021-02-21,365.49707602339186
2021-02-28,365.49707602339186
2021-03-07,365.49707602339186
2021-03-14,274.1228070175439
2021-03-21,251.2792397660819
2021-03-28,274.1228070175439
2021-04-04,274.1228070175439
2021-04-11,296.9663742690059
2021-04-18,296.9663742690059
2021-04-25,342.65350877192986
2021-05-02,274.1228070175439
2021-05-09,296.9663742690059
2021-05-16,365.49707602339186
2021-05-23,1713.2675438596493
2021-05-30,2284.356725146199
2021-06-06,1347.7704678362575
2021-06-13,1279.2397660818715
2021-06-20,1324.9269005847955
2021-06-27,1096.4912280701756
2021-07-04,936.5862573099416
2021-07-11,868.0555555555557
2021-07-18,708.1505847953217
2021-07-25,685.3070175438597
2021-08-01,753.8377192982457
2021-08-08,776.6812865497077
2021-08-15,845.2119883040937
2021-08-22,799.5248538011697
2021-08-29,708.1505847953217
2021-09-05,662.4634502923977
2021-09-12,525.4020467836258
2021-09-19,479.7149122807018
2021-09-26,434.0277777777778
2021-10-03,434.0277777777778
2021-10-10,525.4020467836258
2021-10-17,502.5584795321638
2021-10-24,319.8099415204679
2021-10-31,411.18421052631584
2021-11-07,502.5584795321638
