date,2024-02-16
2018-01-07,36.0
2018-01-14,0.0
2018-01-21,41.0
2018-01-28,0.0
2018-02-04,0.0
2018-02-11,22.0
2018-02-18,0.0
2018-02-25,28.0
2018-03-04,0.0
2018-03-11,0.0
2018-03-18,0.0
2018-03-25,0.0
2018-04-01,0.0
2018-04-08,0.0
2018-04-15,0.0
2018-04-22,0.0
2018-04-29,0.0
2018-05-06,0.0
2018-05-13,0.0
2018-05-20,0.0
2018-05-27,0.0
2018-06-03,0.0
2018-06-10,0.0
2018-06-17,24.0
2018-06-24,48.0
2018-07-01,0.0
2018-07-08,0.0
2018-07-15,0.0
2018-07-22,28.0
2018-07-29,23.0
2018-08-05,0.0
2018-08-12,0.0
2018-08-19,100.0
2018-08-26,21.0
2018-09-02,0.0
2018-09-09,0.0
2018-09-16,0.0
2018-09-23,23.0
2018-09-30,0.0
2018-10-07,0.0
2018-10-14,20.0
2018-10-21,22.0
2018-10-28,0.0
2018-11-04,41.0
2018-11-11,24.0
2018-11-18,0.0
2018-11-25,0.0
2018-12-02,36.0
2018-12-09,0.0
2018-12-16,0.0
2018-12-23,97.0
2018-12-30,26.0
2019-01-06,26.0
2019-01-13,29.0
2019-01-20,46.0
2019-01-27,0.0
2019-02-03,0.0
2019-02-10,0.0
2019-02-17,0.0
2019-02-24,61.0
2019-03-03,22.0
2019-03-10,0.0
2019-03-17,0.0
2019-03-24,0.0
2019-03-31,0.0
2019-04-07,0.0
2019-04-14,0.0
2019-04-21,0.0
2019-04-28,0.0
2019-05-05,49.0
2019-05-12,0.0
2019-05-19,80.0
2019-05-26,0.0
2019-06-02,0.0
2019-06-09,0.0
2019-06-16,0.0
2019-06-23,0.0
2019-06-30,0.0
2019-07-07,0.0
2019-07-14,0.0
2019-07-21,0.0
2019-07-28,0.0
2019-08-04,0.0
2019-08-11,0.0
2019-08-18,21.0
2019-08-25,30.0
2019-09-01,0.0
2019-09-08,0.0
2019-09-15,0.0
2019-09-22,68.0
2019-09-29,0.0
2019-10-06,0.0
2019-10-13,0.0
2019-10-20,32.0
2019-10-27,0.0
2019-11-03,0.0
2019-11-10,17.0
2019-11-17,0.0
2019-11-24,21.0
2019-12-01,0.0
2019-12-08,0.0
2019-12-15,23.0
2019-12-22,0.0
2019-12-29,0.0
2020-01-05,31.0
2020-01-12,0.0
2020-01-19,0.0
2020-01-26,28.0
2020-02-02,0.0
2020-02-09,0.0
2020-02-16,0.0
2020-02-23,0.0
2020-03-01,0.0
2020-03-08,18.0
2020-03-15,0.0
2020-03-22,0.0
2020-03-29,0.0
2020-04-05,0.0
2020-04-12,16.0
2020-04-19,0.0
2020-04-26,0.0
2020-05-03,0.0
2020-05-10,31.0
2020-05-17,0.0
2020-05-24,0.0
2020-05-31,37.0
2020-06-07,17.0
2020-06-14,20.0
2020-06-21,19.0
2020-06-28,37.0
2020-07-05,56.0
2020-07-12,0.0
2020-07-19,0.0
2020-07-26,0.0
2020-08-02,0.0
2020-08-09,0.0
2020-08-16,14.0
2020-08-23,14.0
2020-08-30,17.0
2020-09-06,17.0
2020-09-13,0.0
2020-09-20,0.0
2020-09-27,0.0
2020-10-04,29.0
2020-10-11,0.0
2020-10-18,32.0
2020-10-25,0.0
2020-11-01,29.0
2020-11-08,0.0
2020-11-15,26.0
2020-11-22,0.0
2020-11-29,0.0
2020-12-06,42.0
2020-12-13,21.0
2020-12-20,33.0
2020-12-27,0.0
2021-01-03,30.588235294117645
2021-01-10,0.0
2021-01-17,16.823529411764703
2021-01-24,27.52941176470588
2021-01-31,0.0
2021-02-07,0.0
2021-02-14,36.70588235294117
2021-02-21,30.588235294117645
2021-02-28,0.0
2021-03-07,0.0
2021-03-14,0.0
2021-03-21,24.47058823529412
2021-03-28,32.11764705882353
2021-04-04,0.0
2021-04-11,0.0
2021-04-18,0.0
2021-04-25,0.0
2021-05-02,21.41176470588235
2021-05-09,0.0
2021-05-16,44.35294117647059
2021-05-23,22.941176470588232
2021-05-30,64.23529411764706
2021-06-06,47.41176470588235
2021-06-13,21.41176470588235
2021-06-20,91.76470588235291
2021-06-27,152.94117647058823
2021-07-04,22.941176470588232
2021-07-11,30.588235294117645
2021-07-18,0.0
2021-07-25,36.70588235294117
2021-08-01,29.05882352941176
2021-08-08,55.05882352941176
2021-08-15,0.0
2021-08-22,21.41176470588235
2021-08-29,35.17647058823529
2021-09-05,18.352941176470587
2021-09-12,30.588235294117645
2021-09-19,0.0
2021-09-26,0.0
2021-10-03,81.05882352941175
2021-10-10,19.88235294117647
2021-10-17,0.0
2021-10-24,26.0
2021-10-31,35.17647058823529
2021-11-07,0.0
2021-11-14,0.0
2021-11-21,0.0
2021-11-28,65.76470588235294
2021-12-05,0.0
2021-12-12,0.0
2021-12-19,0.0
2021-12-26,0.0
2022-01-02,0.0
2022-01-09,0.0
2022-01-16,41.0
2022-01-23,0.0
2022-01-30,35.0
2022-02-06,22.0
2022-02-13,0.0
2022-02-20,0.0
2022-02-27,12.0
2022-03-06,10.0
2022-03-13,0.0
2022-03-20,16.0
2022-03-27,29.0
2022-04-03,14.0
2022-04-10,0.0
2022-04-17,23.0
2022-04-24,0.0
2022-05-01,15.0
2022-05-08,15.0
2022-05-15,0.0
2022-05-22,0.0
2022-05-29,33.0
2022-06-05,0.0
2022-06-12,0.0
2022-06-19,32.0
2022-06-26,0.0
2022-07-03,0.0
2022-07-10,0.0
2022-07-17,0.0
2022-07-24,0.0
2022-07-31,0.0
2022-08-07,45.0
2022-08-14,24.0
2022-08-21,0.0
2022-08-28,10.0
2022-09-04,0.0
2022-09-11,13.0
2022-09-18,0.0
2022-09-25,17.0
2022-10-02,19.0
2022-10-09,0.0
2022-10-16,12.0
2022-10-23,21.0
2022-10-30,0.0
2022-11-06,0.0
2022-11-13,0.0
2022-11-20,48.0
2022-11-27,0.0
2022-12-04,21.0
2022-12-11,0.0
2022-12-18,26.0
2022-12-25,16.0
2023-01-01,14.0
2023-01-08,19.0
2023-01-15,0.0
2023-01-22,84.0
2023-01-29,0.0
2023-02-05,16.0
2023-02-12,36.0
2023-02-19,0.0
2023-02-26,0.0
2023-03-05,0.0
2023-03-12,0.0
2023-03-19,27.0
2023-03-26,0.0
2023-04-02,31.0
2023-04-09,0.0
2023-04-16,0.0
2023-04-23,30.0
2023-04-30,0.0
2023-05-07,20.0
2023-05-14,0.0
2023-05-21,0.0
2023-05-28,0.0
2023-06-04,0.0
2023-06-11,0.0
2023-06-18,0.0
2023-06-25,0.0
2023-07-02,16.0
2023-07-09,28.0
2023-07-16,0.0
