date,2024-02-16
2018-01-07,87.0
2018-01-14,58.0
2018-01-21,62.0
2018-01-28,95.0
2018-02-04,86.0
2018-02-11,77.0
2018-02-18,53.0
2018-02-25,79.0
2018-03-04,93.0
2018-03-11,76.0
2018-03-18,56.0
2018-03-25,75.0
2018-04-01,100.0
2018-04-08,87.0
2018-04-15,54.0
2018-04-22,41.0
2018-04-29,66.0
2018-05-06,84.0
2018-05-13,57.0
2018-05-20,60.0
2018-05-27,29.0
2018-06-03,92.0
2018-06-10,93.0
2018-06-17,79.0
2018-06-24,74.0
2018-07-01,100.0
2018-07-08,76.0
2018-07-15,64.0
2018-07-22,47.0
2018-07-29,88.0
2018-08-05,80.0
2018-08-12,47.0
2018-08-19,66.0
2018-08-26,49.0
2018-09-02,88.0
2018-09-09,65.0
2018-09-16,57.0
2018-09-23,50.0
2018-09-30,65.0
2018-10-07,65.0
2018-10-14,62.0
2018-10-21,42.0
2018-10-28,50.0
2018-11-04,65.0
2018-11-11,64.0
2018-11-18,45.0
2018-11-25,39.0
2018-12-02,67.0
2018-12-09,66.0
2018-12-16,61.0
2018-12-23,34.0
2018-12-30,75.0
2019-01-06,95.40229885057472
2019-01-13,114.94252873563218
2019-01-20,71.26436781609195
2019-01-27,59.770114942528735
2019-02-03,63.218390804597696
2019-02-10,48.27586206896552
2019-02-17,47.12643678160919
2019-02-24,54.02298850574712
2019-03-03,66.66666666666666
2019-03-10,49.42528735632184
2019-03-17,54.02298850574712
2019-03-24,31.034482758620687
2019-03-31,57.47126436781609
2019-04-07,67.81609195402298
2019-04-14,72.41379310344827
2019-04-21,40.22988505747127
2019-04-28,50.57471264367816
2019-05-05,71.26436781609195
2019-05-12,67.81609195402298
2019-05-19,67.81609195402298
2019-05-26,48.27586206896552
2019-06-02,78.16091954022988
2019-06-09,65.51724137931033
2019-06-16,67.81609195402298
2019-06-23,67.81609195402298
2019-06-30,74.71264367816092
2019-07-07,103.44827586206895
2019-07-14,81.60919540229885
2019-07-21,31.034482758620687
2019-07-28,81.60919540229885
2019-08-04,81.60919540229885
2019-08-11,103.44827586206895
2019-08-18,87.35632183908045
2019-08-25,42.5287356321839
2019-09-01,91.95402298850574
2019-09-08,81.60919540229885
2019-09-15,52.8735632183908
