date,2024-02-16
2018-01-07,0.0
2018-01-14,0.0
2018-01-21,0.0
2018-01-28,0.0
2018-02-04,42.0
2018-02-11,0.0
2018-02-18,0.0
2018-02-25,27.0
2018-03-04,72.0
2018-03-11,0.0
2018-03-18,33.0
2018-03-25,0.0
2018-04-01,72.0
2018-04-08,0.0
2018-04-15,29.0
2018-04-22,33.0
2018-04-29,0.0
2018-05-06,38.0
2018-05-13,52.0
2018-05-20,36.0
2018-05-27,0.0
2018-06-03,0.0
2018-06-10,89.0
2018-06-17,36.0
2018-06-24,64.0
2018-07-01,0.0
2018-07-08,57.0
2018-07-15,0.0
2018-07-22,0.0
2018-07-29,0.0
2018-08-05,0.0
2018-08-12,0.0
2018-08-19,41.0
2018-08-26,46.0
2018-09-02,0.0
2018-09-09,0.0
2018-09-16,24.0
2018-09-23,33.0
2018-09-30,39.0
2018-10-07,0.0
2018-10-14,100.0
2018-10-21,24.0
2018-10-28,28.0
2018-11-04,0.0
2018-11-11,0.0
2018-11-18,34.0
2018-11-25,0.0
2018-12-02,0.0
2018-12-09,0.0
2018-12-16,33.0
2018-12-23,0.0
2018-12-30,76.0
2019-01-06,0.0
2019-01-13,0.0
2019-01-20,28.0
2019-01-27,39.0
2019-02-03,0.0
2019-02-10,21.0
2019-02-17,53.0
2019-02-24,39.0
2019-03-03,0.0
2019-03-10,0.0
2019-03-17,0.0
2019-03-24,0.0
2019-03-31,0.0
2019-04-07,0.0
2019-04-14,48.0
2019-04-21,0.0
2019-04-28,0.0
2019-05-05,0.0
2019-05-12,0.0
2019-05-19,0.0
2019-05-26,28.0
2019-06-02,41.0
2019-06-09,0.0
2019-06-16,55.0
2019-06-23,0.0
2019-06-30,43.0
2019-07-07,48.0
2019-07-14,32.0
2019-07-21,31.0
2019-07-28,0.0
2019-08-04,35.0
2019-08-11,0.0
2019-08-18,0.0
2019-08-25,0.0
2019-09-01,49.0
2019-09-08,0.0
2019-09-15,23.0
2019-09-22,0.0
2019-09-29,0.0
2019-10-06,0.0
2019-10-13,58.0
2019-10-20,67.0
2019-10-27,24.0
2019-11-03,31.0
2019-11-10,0.0
2019-11-17,39.0
2019-11-24,0.0
2019-12-01,53.0
2019-12-08,0.0
2019-12-15,0.0
2019-12-22,30.0
2019-12-29,0.0
2020-01-05,0.0
2020-01-12,42.5531914893617
2020-01-19,20.21276595744681
2020-01-26,0.0
2020-02-02,0.0
2020-02-09,35.1063829787234
2020-02-16,0.0
2020-02-23,67.02127659574468
2020-03-01,43.61702127659574
2020-03-08,0.0
2020-03-15,53.191489361702125
2020-03-22,60.63829787234042
2020-03-29,106.38297872340424
2020-04-05,0.0
2020-04-12,46.80851063829788
2020-04-19,53.191489361702125
2020-04-26,25.53191489361702
2020-05-03,35.1063829787234
2020-05-10,17.02127659574468
2020-05-17,19.148936170212764
2020-05-24,46.80851063829788
2020-05-31,73.40425531914893
2020-06-07,0.0
2020-06-14,0.0
2020-06-21,0.0
2020-06-28,30.851063829787236
2020-07-05,0.0
2020-07-12,68.08510638297872
2020-07-19,72.34042553191489
2020-07-26,0.0
2020-08-02,38.29787234042553
2020-08-09,85.1063829787234
2020-08-16,0.0
2020-08-23,0.0
2020-08-30,0.0
2020-09-06,43.61702127659574
2020-09-13,28.72340425531915
2020-09-20,0.0
2020-09-27,0.0
2020-10-04,30.851063829787236
2020-10-11,53.191489361702125
2020-10-18,34.04255319148936
2020-10-25,41.48936170212766
2020-11-01,19.148936170212764
2020-11-08,0.0
2020-11-15,0.0
2020-11-22,26.595744680851062
2020-11-29,0.0
2020-12-06,0.0
2020-12-13,0.0
2020-12-20,41.48936170212766
2020-12-27,0.0
2021-01-03,0.0
2021-01-10,39.0
2021-01-17,43.0
2021-01-24,55.0
2021-01-31,0.0
2021-02-07,55.0
2021-02-14,0.0
2021-02-21,0.0
2021-02-28,0.0
2021-03-07,0.0
2021-03-14,0.0
2021-03-21,0.0
2021-03-28,47.0
2021-04-04,0.0
2021-04-11,46.0
2021-04-18,0.0
2021-04-25,0.0
2021-05-02,0.0
2021-05-09,41.0
2021-05-16,0.0
2021-05-23,75.0
2021-05-30,51.0
2021-06-06,0.0
2021-06-13,47.0
2021-06-20,41.0
2021-06-27,0.0
2021-07-04,0.0
2021-07-11,47.0
2021-07-18,0.0
2021-07-25,0.0
2021-08-01,56.0
2021-08-08,0.0
2021-08-15,0.0
2021-08-22,0.0
2021-08-29,36.0
2021-09-05,0.0
2021-09-12,0.0
2021-09-19,0.0
2021-09-26,76.0
2021-10-03,0.0
2021-10-10,44.0
2021-10-17,41.0
2021-10-24,0.0
2021-10-31,0.0
2021-11-07,25.0
2021-11-14,45.0
2021-11-21,0.0
2021-11-28,0.0
2021-12-05,0.0
2021-12-12,39.0
2021-12-19,0.0
2021-12-26,0.0
2022-01-02,0.0
2022-01-09,0.0
2022-01-16,22.0
2022-01-23,0.0
2022-01-30,0.0
2022-02-06,36.0
2022-02-13,0.0
2022-02-20,0.0
2022-02-27,26.0
2022-03-06,0.0
2022-03-13,0.0
2022-03-20,0.0
2022-03-27,23.0
2022-04-03,27.0
2022-04-10,60.0
2022-04-17,0.0
2022-04-24,36.0
2022-05-01,31.0
2022-05-08,0.0
2022-05-15,68.0
2022-05-22,24.0
2022-05-29,71.0
2022-06-05,38.0
2022-06-12,0.0
2022-06-19,44.0
2022-06-26,26.0
2022-07-03,63.0
2022-07-10,0.0
2022-07-17,25.0
2022-07-24,0.0
2022-07-31,0.0
2022-08-07,23.0
2022-08-14,0.0
2022-08-21,27.0
2022-08-28,21.0
2022-09-04,0.0
2022-09-11,0.0
2022-09-18,0.0
2022-09-25,66.0
2022-10-02,49.0
2022-10-09,0.0
2022-10-16,0.0
2022-10-23,26.0
2022-10-30,0.0
2022-11-06,24.0
