date,2023-01-01
2018-01-07,64.0
2018-01-14,51.0
2018-01-21,66.0
2018-01-28,52.0
2018-02-04,57.0
2018-02-11,33.0
2018-02-18,51.0
2018-02-25,56.0
2018-03-04,49.0
2018-03-11,26.0
2018-03-18,64.0
2018-03-25,42.0
2018-04-01,53.0
2018-04-08,69.0
2018-04-15,56.0
2018-04-22,66.0
2018-04-29,47.0
2018-05-06,49.0
2018-05-13,46.0
2018-05-20,45.0
2018-05-27,26.0
2018-06-03,52.0
2018-06-10,62.0
2018-06-17,61.0
2018-06-24,73.0
2018-07-01,39.0
2018-07-08,92.0
2018-07-15,64.0
2018-07-22,62.0
2018-07-29,57.0
2018-08-05,65.0
2018-08-12,37.0
2018-08-19,54.0
2018-08-26,76.0
2018-09-02,56.0
2018-09-09,54.0
2018-09-16,41.0
2018-09-23,51.0
2018-09-30,76.0
2018-10-07,47.0
2018-10-14,57.0
2018-10-21,43.0
2018-10-28,66.0
2018-11-04,72.0
2018-11-11,100.0
2018-11-18,63.0
2018-11-25,66.0
2018-12-02,73.0
2018-12-09,53.0
2018-12-16,49.0
2018-12-23,55.0
2018-12-30,45.0
2019-01-06,55.0
2019-01-13,59.0
2019-01-20,44.0
2019-01-27,40.0
2019-02-03,54.0
2019-02-10,71.0
2019-02-17,37.0
2019-02-24,54.0
2019-03-03,56.0
2019-03-10,29.0
2019-03-17,39.0
2019-03-24,32.0
2019-03-31,58.0
2019-04-07,42.0
2019-04-14,47.0
2019-04-21,39.0
2019-04-28,63.0
2019-05-05,40.0
2019-05-12,41.0
2019-05-19,22.0
2019-05-26,47.0
2019-06-02,39.0
2019-06-09,50.0
2019-06-16,44.0
2019-06-23,92.0
2019-06-30,59.0
2019-07-07,31.0
2019-07-14,50.0
2019-07-21,42.0
2019-07-28,42.0
2019-08-04,83.0
2019-08-11,51.0
2019-08-18,45.0
2019-08-25,53.0
2019-09-01,32.0
2019-09-08,66.0
2019-09-15,44.0
2019-09-22,52.0
2019-09-29,50.0
2019-10-06,46.0
2019-10-13,43.0
2019-10-20,43.0
2019-10-27,63.0
2019-11-03,77.0
2019-11-10,69.0
2019-11-17,83.0
2019-11-24,45.0
2019-12-01,28.0
2019-12-08,49.0
2019-12-15,40.0
2019-12-22,47.0
2019-12-29,37.0
2020-01-05,42.857142857142854
2020-01-12,57.14285714285714
2020-01-19,54.76190476190476
2020-01-26,54.76190476190476
2020-02-02,52.38095238095238
2020-02-09,57.14285714285714
2020-02-16,54.76190476190476
2020-02-23,40.476190476190474
2020-03-01,50.0
2020-03-08,52.38095238095238
2020-03-15,173.8095238095238
2020-03-22,166.66666666666666
2020-03-29,166.66666666666666
2020-04-05,238.0952380952381
2020-04-12,180.95238095238096
2020-04-19,157.14285714285714
2020-04-26,123.80952380952381
2020-05-03,69.04761904761905
2020-05-10,64.28571428571429
2020-05-17,61.904761904761905
2020-05-24,59.523809523809526
2020-05-31,64.28571428571429
2020-06-07,59.523809523809526
2020-06-14,45.23809523809524
2020-06-21,50.0
2020-06-28,38.095238095238095
2020-07-05,54.76190476190476
2020-07-12,71.42857142857143
2020-07-19,59.523809523809526
2020-07-26,61.904761904761905
2020-08-02,85.71428571428571
2020-08-09,80.95238095238095
2020-08-16,71.42857142857143
2020-08-23,52.38095238095238
2020-08-30,47.61904761904762
2020-09-06,47.61904761904762
2020-09-13,57.14285714285714
2020-09-20,61.904761904761905
2020-09-27,52.38095238095238
2020-10-04,40.476190476190474
2020-10-11,52.38095238095238
2020-10-18,59.523809523809526
2020-10-25,69.04761904761905
2020-11-01,73.80952380952381
2020-11-08,80.95238095238095
2020-11-15,90.47619047619048
2020-11-22,66.66666666666667
2020-11-29,119.04761904761905
2020-12-06,104.76190476190476
2020-12-13,88.09523809523809
2020-12-20,128.57142857142858
2020-12-27,42.857142857142854
2021-01-03,28.0
2021-01-10,22.0
2021-01-17,21.0
2021-01-24,16.0
2021-01-31,24.0
2021-02-07,30.0
2021-02-14,52.0
2021-02-21,60.0
2021-02-28,21.0
2021-03-07,15.0
2021-03-14,27.0
2021-03-21,13.0
2021-03-28,7.0
2021-04-04,5.0
2021-04-11,9.0
2021-04-18,10.0
2021-04-25,5.0
2021-05-02,9.0
2021-05-09,11.0
2021-05-16,13.0
2021-05-23,10.0
2021-05-30,13.0
2021-06-06,12.0
2021-06-13,8.0
2021-06-20,13.0
2021-06-27,7.0
2021-07-04,19.0
2021-07-11,15.0
2021-07-18,12.0
2021-07-25,20.0
2021-08-01,21.0
2021-08-08,20.0
2021-08-15,12.0
2021-08-22,23.0
2021-08-29,7.0
2021-09-05,17.0
2021-09-12,11.0
2021-09-19,22.0
2021-09-26,15.0
2021-10-03,13.0
2021-10-10,18.0
