date,2024-02-15
2018-01-07,59.0
2018-01-14,56.0
2018-01-21,60.0
2018-01-28,62.0
2018-02-04,76.0
2018-02-11,100.0
2018-02-18,59.0
2018-02-25,52.0
2018-03-04,64.0
2018-03-11,48.0
2018-03-18,46.0
2018-03-25,43.0
2018-04-01,60.0
2018-04-08,62.0
2018-04-15,50.0
2018-04-22,48.0
2018-04-29,69.0
2018-05-06,60.0
2018-05-13,50.0
2018-05-20,44.0
2018-05-27,48.0
2018-06-03,61.0
2018-06-10,55.0
2018-06-17,70.0
2018-06-24,62.0
2018-07-01,56.0
2018-07-08,58.0
2018-07-15,53.0
2018-07-22,62.0
2018-07-29,60.0
2018-08-05,76.0
2018-08-12,50.0
2018-08-19,52.0
2018-08-26,51.0
2018-09-02,54.0
2018-09-09,57.0
2018-09-16,51.0
2018-09-23,52.0
2018-09-30,60.0
2018-10-07,69.0
2018-10-14,46.0
2018-10-21,42.0
2018-10-28,39.0
2018-11-04,57.0
2018-11-11,50.0
2018-11-18,38.0
2018-11-25,40.0
2018-12-02,58.0
2018-12-09,45.0
2018-12-16,53.0
2018-12-23,48.0
2018-12-30,62.0
2019-01-06,104.6875
2019-01-13,156.25
2019-01-20,107.8125
2019-01-27,56.25
2019-02-03,68.75
2019-02-10,50.0
2019-02-17,65.625
2019-02-24,57.8125
2019-03-03,54.6875
2019-03-10,46.875
2019-03-17,42.1875
2019-03-24,48.4375
2019-03-31,56.25
2019-04-07,54.6875
2019-04-14,48.4375
2019-04-21,53.125
2019-04-28,51.5625
2019-05-05,62.5
2019-05-12,60.9375
2019-05-19,57.8125
2019-05-26,54.6875
2019-06-02,75.0
2019-06-09,60.9375
2019-06-16,57.8125
2019-06-23,56.25
2019-06-30,57.8125
2019-07-07,67.1875
2019-07-14,57.8125
2019-07-21,87.5
2019-07-28,59.375
2019-08-04,79.6875
2019-08-11,60.9375
2019-08-18,60.9375
2019-08-25,53.125
2019-09-01,60.9375
2019-09-08,56.25
2019-09-15,48.4375
2019-09-22,48.4375
2019-09-29,57.8125
2019-10-06,57.8125
2019-10-13,51.5625
2019-10-20,57.8125
2019-10-27,50.0
2019-11-03,56.25
2019-11-10,50.0
2019-11-17,45.3125
2019-11-24,31.25
2019-12-01,93.75
2019-12-08,56.25
2019-12-15,48.4375
2019-12-22,34.375
2019-12-29,46.875
2020-01-05,41.0
2020-01-12,38.0
2020-01-19,32.0
2020-01-26,29.0
2020-02-02,37.0
2020-02-09,33.0
2020-02-16,32.0
2020-02-23,31.0
2020-03-01,33.0
2020-03-08,34.0
2020-03-15,76.0
2020-03-22,74.0
2020-03-29,88.0
2020-04-05,91.0
2020-04-12,95.0
2020-04-19,66.0
2020-04-26,75.0
2020-05-03,61.0
2020-05-10,75.0
2020-05-17,72.0
2020-05-24,60.0
2020-05-31,50.0
2020-06-07,54.0
2020-06-14,49.0
2020-06-21,40.0
2020-06-28,50.0
2020-07-05,53.0
2020-07-12,44.0
2020-07-19,48.0
2020-07-26,46.0
2020-08-02,55.0
2020-08-09,54.0
2020-08-16,49.0
2020-08-23,37.0
2020-08-30,38.0
2020-09-06,47.0
2020-09-13,39.0
2020-09-20,32.0
2020-09-27,41.0
2020-10-04,44.0
2020-10-11,52.0
2020-10-18,50.0
2020-10-25,37.0
2020-11-01,43.0
2020-11-08,49.0
2020-11-15,50.0
2020-11-22,41.0
2020-11-29,51.0
2020-12-06,51.0
2020-12-13,55.0
2020-12-20,46.0
2020-12-27,45.0
2021-01-03,59.0
2021-01-10,53.0
2021-01-17,54.0
2021-01-24,55.0
2021-01-31,56.0
2021-02-07,59.0
2021-02-14,42.0
2021-02-21,47.0
2021-02-28,45.0
2021-03-07,48.0
2021-03-14,41.0
2021-03-21,38.0
2021-03-28,39.0
2021-04-04,56.0
2021-04-11,47.0
2021-04-18,39.0
2021-04-25,36.0
2021-05-02,44.0
2021-05-09,45.0
2021-05-16,51.0
2021-05-23,46.0
2021-05-30,45.0
2021-06-06,47.0
2021-06-13,48.0
2021-06-20,38.0
2021-06-27,46.0
2021-07-04,51.0
2021-07-11,57.0
2021-07-18,53.0
2021-07-25,46.0
2021-08-01,59.0
2021-08-08,58.0
2021-08-15,82.0
2021-08-22,48.0
2021-08-29,61.0
2021-09-05,70.0
2021-09-12,51.0
2021-09-19,48.0
2021-09-26,60.0
2021-10-03,64.0
2021-10-10,66.0
2021-10-17,58.0
2021-10-24,50.0
2021-10-31,60.0
2021-11-07,66.0
2021-11-14,52.0
2021-11-21,42.0
2021-11-28,57.0
2021-12-05,57.0
2021-12-12,42.0
2021-12-19,41.0
2021-12-26,42.0
2022-01-02,56.25581395348837
2022-01-09,61.97674418604652
2022-01-16,54.34883720930232
2022-01-23,45.76744186046512
2022-01-30,66.74418604651163
2022-02-06,54.34883720930232
2022-02-13,62.93023255813954
2022-02-20,60.06976744186046
2022-02-27,53.395348837209305
2022-03-06,61.97674418604652
2022-03-13,59.11627906976744
2022-03-20,67.69767441860465
2022-03-27,51.48837209302326
2022-04-03,57.2093023255814
2022-04-10,51.48837209302326
2022-04-17,47.674418604651166
2022-04-24,53.395348837209305
2022-05-01,60.06976744186046
2022-05-08,50.53488372093023
2022-05-15,56.25581395348837
2022-05-22,55.30232558139535
2022-05-29,49.58139534883721
2022-06-05,59.11627906976744
2022-06-12,61.02325581395349
2022-06-19,56.25581395348837
2022-06-26,62.93023255813954
2022-07-03,61.97674418604652
2022-07-10,75.32558139534883
2022-07-17,63.88372093023256
2022-07-24,61.97674418604652
2022-07-31,65.79069767441861
2022-08-07,63.88372093023256
2022-08-14,61.02325581395349
2022-08-21,54.34883720930232
2022-08-28,53.395348837209305
2022-09-04,67.69767441860465
2022-09-11,58.16279069767442
2022-09-18,67.69767441860465
2022-09-25,61.02325581395349
2022-10-02,73.4186046511628
2022-10-09,75.32558139534883
2022-10-16,68.65116279069768
2022-10-23,54.34883720930232
2022-10-30,53.395348837209305
2022-11-06,61.02325581395349
2022-11-13,75.32558139534883
2022-11-20,78.18604651162791
2022-11-27,59.11627906976744
2022-12-04,61.02325581395349
2022-12-11,60.06976744186046
2022-12-18,61.97674418604652
2022-12-25,48.627906976744185
2023-01-01,69.6046511627907
2023-01-08,66.41025641025641
2023-01-15,64.51282051282051
2023-01-22,61.666666666666664
2023-01-29,65.46153846153845
2023-02-05,64.51282051282051
2023-02-12,56.92307692307692
2023-02-19,49.33333333333333
2023-02-26,69.25641025641025
2023-03-05,64.51282051282051
2023-03-12,54.07692307692307
2023-03-19,61.666666666666664
2023-03-26,56.92307692307692
2023-04-02,52.179487179487175
2023-04-09,51.230769230769226
2023-04-16,50.28205128205128
2023-04-23,50.28205128205128
2023-04-30,48.38461538461538
2023-05-07,51.230769230769226
2023-05-14,59.76923076923077
2023-05-21,52.179487179487175
2023-05-28,63.56410256410256
2023-06-04,61.666666666666664
2023-06-11,51.230769230769226
2023-06-18,45.53846153846153
2023-06-25,55.02564102564102
2023-07-02,57.87179487179487
2023-07-09,65.46153846153845
2023-07-16,55.97435897435897
2023-07-23,60.717948717948715
2023-07-30,56.92307692307692
2023-08-06,62.61538461538461
2023-08-13,52.179487179487175
2023-08-20,47.43589743589743
2023-08-27,56.92307692307692
2023-09-03,53.128205128205124
2023-09-10,49.33333333333333
2023-09-17,45.53846153846153
2023-09-24,55.02564102564102
2023-10-01,65.46153846153845
2023-10-08,50.28205128205128
2023-10-15,44.58974358974359
2023-10-22,37.94871794871795
2023-10-29,50.28205128205128
2023-11-05,54.07692307692307
2023-11-12,43.64102564102564
2023-11-19,32.256410256410255
2023-11-26,37.94871794871795
2023-12-03,55.97435897435897
2023-12-10,47.43589743589743
2023-12-17,54.07692307692307
2023-12-24,41.743589743589745
2023-12-31,49.33333333333333
2024-01-07,54.07692307692307
2024-01-14,45.53846153846153
2024-01-21,43.64102564102564
2024-01-28,55.97435897435897
2024-02-04,50.28205128205128
