date,2024-02-16
2018-01-07,51.0
2018-01-14,55.0
2018-01-21,49.0
2018-01-28,68.0
2018-02-04,71.0
2018-02-11,81.0
2018-02-18,57.0
2018-02-25,52.0
2018-03-04,35.0
2018-03-11,59.0
2018-03-18,64.0
2018-03-25,34.0
2018-04-01,60.0
2018-04-08,59.0
2018-04-15,46.0
2018-04-22,66.0
2018-04-29,47.0
2018-05-06,59.0
2018-05-13,50.0
2018-05-20,58.0
2018-05-27,47.0
2018-06-03,52.0
2018-06-10,50.0
2018-06-17,100.0
2018-06-24,57.0
2018-07-01,66.0
2018-07-08,67.0
2018-07-15,28.0
2018-07-22,59.0
2018-07-29,71.0
2018-08-05,82.0
2018-08-12,49.0
2018-08-19,41.0
2018-08-26,50.0
2018-09-02,58.0
2018-09-09,49.0
2018-09-16,65.0
2018-09-23,55.0
2018-09-30,65.0
2018-10-07,64.0
2018-10-14,52.0
2018-10-21,42.0
2018-10-28,49.0
2018-11-04,57.0
2018-11-11,59.0
2018-11-18,37.0
2018-11-25,46.0
2018-12-02,46.0
2018-12-09,51.0
2018-12-16,51.0
2018-12-23,43.0
2018-12-30,71.0
2019-01-06,132.0754716981132
2019-01-13,188.67924528301887
2019-01-20,105.66037735849056
2019-01-27,79.24528301886792
2019-02-03,60.37735849056604
2019-02-10,62.264150943396224
2019-02-17,79.24528301886792
2019-02-24,64.15094339622641
2019-03-03,52.83018867924528
2019-03-10,39.62264150943396
2019-03-17,45.283018867924525
2019-03-24,50.943396226415096
2019-03-31,50.943396226415096
2019-04-07,39.62264150943396
2019-04-14,47.16981132075472
2019-04-21,45.283018867924525
2019-04-28,56.60377358490566
2019-05-05,69.81132075471699
2019-05-12,75.47169811320755
2019-05-19,43.39622641509434
2019-05-26,50.943396226415096
2019-06-02,86.79245283018868
2019-06-09,92.45283018867924
2019-06-16,58.49056603773585
2019-06-23,52.83018867924528
2019-06-30,79.24528301886792
2019-07-07,54.71698113207548
2019-07-14,66.0377358490566
2019-07-21,79.24528301886792
2019-07-28,83.01886792452831
2019-08-04,81.13207547169812
2019-08-11,64.15094339622641
2019-08-18,49.0566037735849
2019-08-25,43.39622641509434
2019-09-01,52.83018867924528
2019-09-08,77.35849056603773
2019-09-15,37.735849056603776
2019-09-22,43.39622641509434
2019-09-29,58.49056603773585
2019-10-06,56.60377358490566
2019-10-13,60.37735849056604
2019-10-20,56.60377358490566
2019-10-27,54.71698113207548
2019-11-03,69.81132075471699
2019-11-10,49.0566037735849
2019-11-17,62.264150943396224
2019-11-24,45.283018867924525
2019-12-01,109.43396226415096
2019-12-08,66.0377358490566
2019-12-15,50.943396226415096
2019-12-22,43.39622641509434
2019-12-29,45.283018867924525
2020-01-05,35.0
2020-01-12,33.0
2020-01-19,30.0
2020-01-26,25.0
2020-02-02,30.0
2020-02-09,27.0
2020-02-16,26.0
2020-02-23,21.0
2020-03-01,28.0
2020-03-08,34.0
2020-03-15,37.0
2020-03-22,57.0
2020-03-29,71.0
2020-04-05,65.0
2020-04-12,84.0
2020-04-19,46.0
2020-04-26,60.0
2020-05-03,52.0
2020-05-10,60.0
2020-05-17,49.0
2020-05-24,49.0
2020-05-31,41.0
2020-06-07,45.0
2020-06-14,34.0
2020-06-21,37.0
2020-06-28,41.0
2020-07-05,40.0
2020-07-12,39.0
2020-07-19,38.0
2020-07-26,45.0
2020-08-02,49.0
2020-08-09,43.0
2020-08-16,39.0
2020-08-23,38.0
2020-08-30,31.0
2020-09-06,37.0
2020-09-13,33.0
2020-09-20,31.0
2020-09-27,29.0
2020-10-04,32.0
2020-10-11,44.0
2020-10-18,43.0
2020-10-25,33.0
2020-11-01,31.0
2020-11-08,41.0
2020-11-15,40.0
2020-11-22,31.0
2020-11-29,39.0
2020-12-06,34.0
2020-12-13,53.0
2020-12-20,38.0
2020-12-27,34.0
2021-01-03,47.0
2021-01-10,38.0
2021-01-17,39.0
2021-01-24,50.0
2021-01-31,55.0
2021-02-07,51.0
2021-02-14,31.0
2021-02-21,40.0
2021-02-28,44.0
2021-03-07,44.0
2021-03-14,41.0
2021-03-21,33.0
2021-03-28,32.0
2021-04-04,43.0
2021-04-11,32.0
2021-04-18,33.0
2021-04-25,32.0
2021-05-02,30.0
2021-05-09,38.0
2021-05-16,32.0
2021-05-23,30.0
2021-05-30,47.0
2021-06-06,34.0
2021-06-13,45.0
2021-06-20,35.0
2021-06-27,39.0
2021-07-04,41.0
2021-07-11,51.0
2021-07-18,51.0
2021-07-25,38.0
2021-08-01,34.0
2021-08-08,49.0
2021-08-15,75.0
2021-08-22,35.0
2021-08-29,43.0
2021-09-05,53.0
2021-09-12,33.0
2021-09-19,46.0
2021-09-26,40.0
2021-10-03,53.0
2021-10-10,51.0
2021-10-17,55.0
2021-10-24,51.0
2021-10-31,56.0
2021-11-07,52.0
2021-11-14,53.0
2021-11-21,29.0
2021-11-28,50.0
2021-12-05,55.0
2021-12-12,41.0
2021-12-19,28.0
2021-12-26,39.0
2022-01-02,45.5
2022-01-09,48.125
2022-01-16,54.25
2022-01-23,48.125
2022-01-30,64.75
2022-02-06,53.375
2022-02-13,49.875
2022-02-20,56.0
2022-02-27,52.5
2022-03-06,56.875
2022-03-13,55.125
2022-03-20,50.75
2022-03-27,47.25
2022-04-03,49.875
2022-04-10,49.0
2022-04-17,47.25
2022-04-24,43.75
2022-05-01,42.0
2022-05-08,47.25
2022-05-15,60.375
2022-05-22,48.125
2022-05-29,48.125
2022-06-05,49.875
2022-06-12,53.375
2022-06-19,40.25
2022-06-26,52.5
2022-07-03,53.375
2022-07-10,59.5
2022-07-17,87.5
2022-07-24,47.25
2022-07-31,49.0
2022-08-07,56.0
2022-08-14,54.25
2022-08-21,45.5
2022-08-28,55.125
2022-09-04,67.375
2022-09-11,51.625
2022-09-18,48.125
2022-09-25,49.0
2022-10-02,63.0
2022-10-09,71.75
2022-10-16,46.375
2022-10-23,48.125
2022-10-30,49.0
2022-11-06,57.75
2022-11-13,66.5
2022-11-20,60.375
2022-11-27,51.625
2022-12-04,56.875
2022-12-11,68.25
2022-12-18,42.0
2022-12-25,44.625
2023-01-01,53.375
2023-01-08,60.0
2023-01-15,48.85714285714285
2023-01-22,56.57142857142857
2023-01-29,58.285714285714285
2023-02-05,61.71428571428571
2023-02-12,51.42857142857142
2023-02-19,35.14285714285714
2023-02-26,53.14285714285714
2023-03-05,48.0
2023-03-12,45.42857142857142
2023-03-19,60.0
2023-03-26,48.0
2023-04-02,40.285714285714285
2023-04-09,38.57142857142857
2023-04-16,39.42857142857142
2023-04-23,38.57142857142857
2023-04-30,46.285714285714285
2023-05-07,44.57142857142857
2023-05-14,36.85714285714285
2023-05-21,33.42857142857142
2023-05-28,38.57142857142857
2023-06-04,42.85714285714285
2023-06-11,53.14285714285714
2023-06-18,32.57142857142857
2023-06-25,42.0
2023-07-02,48.0
2023-07-09,51.42857142857142
2023-07-16,48.85714285714285
2023-07-23,43.71428571428572
2023-07-30,48.85714285714285
2023-08-06,55.71428571428571
2023-08-13,42.0
2023-08-20,45.42857142857142
2023-08-27,54.0
2023-09-03,42.85714285714285
2023-09-10,42.85714285714285
2023-09-17,51.42857142857142
2023-09-24,44.57142857142857
2023-10-01,57.42857142857142
2023-10-08,47.14285714285714
2023-10-15,32.57142857142857
2023-10-22,32.57142857142857
2023-10-29,38.57142857142857
2023-11-05,33.42857142857142
2023-11-12,30.85714285714285
2023-11-19,22.285714285714285
2023-11-26,36.85714285714285
2023-12-03,43.71428571428572
2023-12-10,46.285714285714285
2023-12-17,34.285714285714285
2023-12-24,30.0
2023-12-31,47.14285714285714
2024-01-07,44.57142857142857
2024-01-14,36.85714285714285
2024-01-21,45.42857142857142
2024-01-28,41.14285714285714
2024-02-04,40.285714285714285
