date,2024-02-15
2018-01-07,33.0
2018-01-14,76.0
2018-01-21,24.0
2018-01-28,32.0
2018-02-04,29.0
2018-02-11,51.0
2018-02-18,0.0
2018-02-25,49.0
2018-03-04,0.0
2018-03-11,65.0
2018-03-18,23.0
2018-03-25,0.0
2018-04-01,0.0
2018-04-08,0.0
2018-04-15,100.0
2018-04-22,67.0
2018-04-29,43.0
2018-05-06,0.0
2018-05-13,26.0
2018-05-20,0.0
2018-05-27,0.0
2018-06-03,24.0
2018-06-10,0.0
2018-06-17,38.0
2018-06-24,0.0
2018-07-01,0.0
2018-07-08,40.0
2018-07-15,0.0
2018-07-22,59.0
2018-07-29,58.0
2018-08-05,61.0
2018-08-12,0.0
2018-08-19,0.0
2018-08-26,63.0
2018-09-02,0.0
2018-09-09,21.0
2018-09-16,0.0
2018-09-23,0.0
2018-09-30,43.0
2018-10-07,0.0
2018-10-14,0.0
2018-10-21,38.0
2018-10-28,21.0
2018-11-04,69.0
2018-11-11,0.0
2018-11-18,0.0
2018-11-25,0.0
2018-12-02,59.0
2018-12-09,0.0
2018-12-16,90.0
2018-12-23,0.0
2018-12-30,32.0
2019-01-06,70.0
2019-01-13,87.77777777777779
2019-01-20,63.333333333333336
2019-01-27,48.88888888888889
2019-02-03,0.0
2019-02-10,0.0
2019-02-17,111.11111111111111
2019-02-24,70.0
2019-03-03,54.44444444444445
2019-03-10,0.0
2019-03-17,0.0
2019-03-24,0.0
2019-03-31,0.0
2019-04-07,28.88888888888889
2019-04-14,0.0
2019-04-21,26.666666666666668
2019-04-28,0.0
2019-05-05,80.0
2019-05-12,0.0
2019-05-19,23.333333333333336
2019-05-26,0.0
2019-06-02,33.333333333333336
2019-06-09,24.444444444444446
2019-06-16,0.0
2019-06-23,0.0
2019-06-30,53.333333333333336
2019-07-07,42.22222222222222
2019-07-14,26.666666666666668
2019-07-21,0.0
2019-07-28,0.0
2019-08-04,0.0
2019-08-11,48.88888888888889
2019-08-18,68.88888888888889
2019-08-25,0.0
2019-09-01,0.0
2019-09-08,43.333333333333336
2019-09-15,38.88888888888889
2019-09-22,0.0
2019-09-29,95.55555555555556
2019-10-06,0.0
2019-10-13,24.444444444444446
2019-10-20,0.0
2019-10-27,58.88888888888889
2019-11-03,0.0
2019-11-10,84.44444444444444
2019-11-17,28.88888888888889
2019-11-24,0.0
2019-12-01,32.22222222222222
2019-12-08,57.77777777777778
2019-12-15,0.0
2019-12-22,38.88888888888889
2019-12-29,0.0
2020-01-05,0.0
2020-01-12,18.0
2020-01-19,52.0
2020-01-26,16.0
2020-02-02,31.0
2020-02-09,47.0
2020-02-16,22.0
2020-02-23,37.0
2020-03-01,27.0
2020-03-08,0.0
2020-03-15,32.0
2020-03-22,0.0
2020-03-29,30.0
2020-04-05,40.0
2020-04-12,61.0
2020-04-19,24.0
2020-04-26,65.0
2020-05-03,45.0
2020-05-10,39.0
2020-05-17,27.0
2020-05-24,24.0
2020-05-31,41.0
2020-06-07,46.0
2020-06-14,57.0
2020-06-21,24.0
2020-06-28,32.0
2020-07-05,49.0
2020-07-12,56.0
2020-07-19,45.0
2020-07-26,40.0
2020-08-02,0.0
2020-08-09,79.0
2020-08-16,71.0
2020-08-23,31.0
2020-08-30,0.0
2020-09-06,30.0
2020-09-13,25.0
2020-09-20,32.0
2020-09-27,35.0
2020-10-04,0.0
2020-10-11,69.0
2020-10-18,29.0
2020-10-25,51.0
2020-11-01,63.0
2020-11-08,78.0
2020-11-15,35.0
2020-11-22,0.0
2020-11-29,34.0
2020-12-06,33.0
2020-12-13,38.0
2020-12-20,0.0
2020-12-27,0.0
2021-01-03,26.0
2021-01-10,68.0
2021-01-17,33.0
2021-01-24,93.0
2021-01-31,0.0
2021-02-07,29.0
2021-02-14,0.0
2021-02-21,75.0
2021-02-28,45.0
