date,2023-01-01
2018-01-07,50.0
2018-01-14,38.0
2018-01-21,59.0
2018-01-28,49.0
2018-02-04,63.0
2018-02-11,100.0
2018-02-18,44.0
2018-02-25,53.0
2018-03-04,57.0
2018-03-11,37.0
2018-03-18,34.0
2018-03-25,33.0
2018-04-01,38.0
2018-04-08,44.0
2018-04-15,38.0
2018-04-22,35.0
2018-04-29,55.0
2018-05-06,42.0
2018-05-13,38.0
2018-05-20,22.0
2018-05-27,30.0
2018-06-03,46.0
2018-06-10,38.0
2018-06-17,65.0
2018-06-24,49.0
2018-07-01,37.0
2018-07-08,40.0
2018-07-15,41.0
2018-07-22,35.0
2018-07-29,39.0
2018-08-05,49.0
2018-08-12,47.0
2018-08-19,39.0
2018-08-26,36.0
2018-09-02,43.0
2018-09-09,46.0
2018-09-16,37.0
2018-09-23,29.0
2018-09-30,41.0
2018-10-07,44.0
2018-10-14,35.0
2018-10-21,38.0
2018-10-28,27.0
2018-11-04,49.0
2018-11-11,44.0
2018-11-18,32.0
2018-11-25,42.0
2018-12-02,40.0
2018-12-09,39.0
2018-12-16,49.0
2018-12-23,34.0
2018-12-30,33.0
2019-01-06,72.0
2019-01-13,100.0
2019-01-20,62.0
2019-01-27,40.0
2019-02-03,50.0
2019-02-10,42.0
2019-02-17,44.0
2019-02-24,34.0
2019-03-03,43.0
2019-03-10,38.0
2019-03-17,25.0
2019-03-24,50.0
2019-03-31,30.0
2019-04-07,30.0
2019-04-14,44.0
2019-04-21,40.0
2019-04-28,57.0
2019-05-05,29.0
2019-05-12,49.0
2019-05-19,44.0
2019-05-26,26.0
2019-06-02,42.0
2019-06-09,48.0
2019-06-16,50.0
2019-06-23,48.0
2019-06-30,40.0
2019-07-07,41.0
2019-07-14,47.0
2019-07-21,33.0
2019-07-28,39.0
2019-08-04,38.0
2019-08-11,62.0
2019-08-18,44.0
2019-08-25,33.0
2019-09-01,44.0
2019-09-08,46.0
2019-09-15,32.0
2019-09-22,41.0
2019-09-29,37.0
2019-10-06,53.0
2019-10-13,38.0
2019-10-20,51.0
2019-10-27,48.0
2019-11-03,55.0
2019-11-10,48.0
2019-11-17,49.0
2019-11-24,11.0
2019-12-01,83.0
2019-12-08,49.0
2019-12-15,35.0
2019-12-22,34.0
2019-12-29,45.0
2020-01-05,52.22222222222222
2020-01-12,46.66666666666667
2020-01-19,35.55555555555556
2020-01-26,36.66666666666667
2020-02-02,40.0
2020-02-09,47.77777777777778
2020-02-16,37.77777777777778
2020-02-23,43.333333333333336
2020-03-01,28.88888888888889
2020-03-08,44.44444444444444
2020-03-15,75.55555555555556
2020-03-22,72.22222222222223
2020-03-29,87.77777777777779
2020-04-05,111.11111111111111
2020-04-12,105.55555555555556
2020-04-19,85.55555555555556
2020-04-26,81.11111111111111
2020-05-03,83.33333333333334
2020-05-10,78.88888888888889
2020-05-17,83.33333333333334
2020-05-24,58.88888888888889
2020-05-31,56.66666666666667
2020-06-07,76.66666666666667
2020-06-14,51.111111111111114
2020-06-21,52.22222222222222
2020-06-28,56.66666666666667
2020-07-05,53.333333333333336
2020-07-12,43.333333333333336
2020-07-19,44.44444444444444
2020-07-26,50.0
2020-08-02,30.0
2020-08-09,54.44444444444445
2020-08-16,44.44444444444444
2020-08-23,50.0
2020-08-30,54.44444444444445
2020-09-06,74.44444444444444
2020-09-13,47.77777777777778
2020-09-20,61.111111111111114
2020-09-27,45.55555555555556
2020-10-04,46.66666666666667
2020-10-11,40.0
2020-10-18,66.66666666666667
2020-10-25,35.55555555555556
2020-11-01,41.111111111111114
2020-11-08,62.22222222222223
2020-11-15,53.333333333333336
2020-11-22,46.66666666666667
2020-11-29,64.44444444444444
2020-12-06,47.77777777777778
2020-12-13,52.22222222222222
2020-12-20,53.333333333333336
2020-12-27,60.0
2021-01-03,53.0
2021-01-10,53.0
2021-01-17,58.0
2021-01-24,41.0
2021-01-31,69.0
2021-02-07,47.0
2021-02-14,45.0
2021-02-21,48.0
2021-02-28,57.0
2021-03-07,34.0
2021-03-14,45.0
2021-03-21,37.0
2021-03-28,49.0
2021-04-04,43.0
2021-04-11,31.0
2021-04-18,43.0
2021-04-25,39.0
2021-05-02,51.0
2021-05-09,52.0
2021-05-16,48.0
2021-05-23,43.0
2021-05-30,52.0
2021-06-06,40.0
2021-06-13,45.0
2021-06-20,43.0
2021-06-27,43.0
2021-07-04,62.0
2021-07-11,54.0
2021-07-18,34.0
2021-07-25,38.0
2021-08-01,21.0
2021-08-08,62.0
2021-08-15,76.0
2021-08-22,38.0
2021-08-29,57.0
2021-09-05,85.0
2021-09-12,54.0
2021-09-19,65.0
2021-09-26,59.0
2021-10-03,41.0
2021-10-10,56.0
2021-10-17,63.0
2021-10-24,56.0
2021-10-31,54.0
2021-11-07,46.0
2021-11-14,57.0
2021-11-21,48.0
2021-11-28,57.0
2021-12-05,78.0
2021-12-12,56.0
2021-12-19,39.0
2021-12-26,46.0
2022-01-02,63.97306397306397
2022-01-09,61.72839506172839
2022-01-16,66.21773288439955
2022-01-23,92.0314253647587
2022-01-30,72.95173961840628
2022-02-06,72.95173961840628
2022-02-13,86.41975308641975
2022-02-20,70.70707070707071
2022-02-27,65.09539842873176
2022-03-06,67.34006734006734
2022-03-13,65.09539842873176
2022-03-20,57.23905723905724
2022-03-27,53.87205387205387
2022-04-03,51.627384960718295
2022-04-10,65.09539842873176
2022-04-17,65.09539842873176
2022-04-24,46.01571268237935
2022-05-01,51.627384960718295
2022-05-08,68.46240179573513
2022-05-15,85.29741863075196
2022-05-22,84.17508417508418
2022-05-29,57.23905723905724
2022-06-05,65.09539842873176
2022-06-12,90.9090909090909
2022-06-19,56.11672278338945
2022-06-26,69.58473625140292
2022-07-03,52.749719416386085
2022-07-10,78.56341189674524
2022-07-17,112.2334455667789
2022-07-24,65.09539842873176
2022-07-31,59.48372615039282
2022-08-07,61.72839506172839
2022-08-14,57.23905723905724
2022-08-21,58.36139169472503
2022-08-28,69.58473625140292
2022-09-04,67.34006734006734
2022-09-11,76.31874298540966
2022-09-18,79.68574635241302
2022-09-25,70.70707070707071
2022-10-02,69.58473625140292
2022-10-09,62.85072951739618
2022-10-16,61.72839506172839
2022-10-23,71.8294051627385
2022-10-30,60.60606060606061
2022-11-06,63.97306397306397
2022-11-13,77.44107744107744
2022-11-20,49.382716049382715
2022-11-27,57.23905723905724
2022-12-04,63.97306397306397
2022-12-11,53.87205387205387
2022-12-18,62.85072951739618
2022-12-25,62.85072951739618
2023-01-01,62.85072951739618
