date,2024-02-16
2020-02-02,10
2020-02-09,0
2020-02-16,35
2020-02-23,0
2020-03-01,24
2020-03-08,38
2020-03-15,41
2020-03-22,53
2020-03-29,31
2020-04-05,58
2020-04-12,78
2020-04-19,41
2020-04-26,34
2020-05-03,39
2020-05-10,26
2020-05-17,20
2020-05-24,12
2020-05-31,25
2020-06-07,37
2020-06-14,11
2020-06-21,11
2020-06-28,11
2020-07-05,15
2020-07-12,22
2020-07-19,18
2020-07-26,26
2020-08-02,33
2020-08-09,29
2020-08-16,16
2020-08-23,27
2020-08-30,19
2020-09-06,18
2020-09-13,0
2020-09-20,34
2020-09-27,23
2020-10-04,42
2020-10-11,43
2020-10-18,22
2020-10-25,18
2020-11-01,17
2020-11-08,18
2020-11-15,28
2020-11-22,17
2020-11-29,17
2020-12-06,20
2020-12-13,34
2020-12-20,33
2020-12-27,32
2021-01-03,43
2021-01-10,17
2021-01-17,38
2021-01-24,12
2021-01-31,48
2021-02-07,27
2021-02-14,21
2021-02-21,46
2021-02-28,22
2021-03-07,14
2021-03-14,0
2021-03-21,0
2021-03-28,23
2021-04-04,25
2021-04-11,17
2021-04-18,0
2021-04-25,21
2021-05-02,23
2021-05-09,27
2021-05-16,14
2021-05-23,0
2021-05-30,16
2021-06-06,18
2021-06-13,22
2021-06-20,20
2021-06-27,22
2021-07-04,35
2021-07-11,41
2021-07-18,27
2021-07-25,15
2021-08-01,63
2021-08-08,0
2021-08-15,37
2021-08-22,24
2021-08-29,27
2021-09-05,13
2021-09-12,66
2021-09-19,41
2021-09-26,54
2021-10-03,48
2021-10-10,17
2021-10-17,0
2021-10-24,18
2021-10-31,54
2021-11-07,54
2021-11-14,0
2021-11-21,0
2021-11-28,53
2021-12-05,24
2021-12-12,22
2021-12-19,37
2021-12-26,0
2022-01-02,57
2022-01-09,30
2022-01-16,54
2022-01-23,43
2022-01-30,47
2022-02-06,34
2022-02-13,44
2022-02-20,44
2022-02-27,35
2022-03-06,18
2022-03-13,46
2022-03-20,45
2022-03-27,29
2022-04-03,40
2022-04-10,33
2022-04-17,50
2022-04-24,28
2022-05-01,38
2022-05-08,15
2022-05-15,54
2022-05-22,32
2022-05-29,16
2022-06-05,23
2022-06-12,30
2022-06-19,27
2022-06-26,39
2022-07-03,69
2022-07-10,40
2022-07-17,48
2022-07-24,40
2022-07-31,60
2022-08-07,50
2022-08-14,32
2022-08-21,25
2022-08-28,52
2022-09-04,39
2022-09-11,40
2022-09-18,53
2022-09-25,46
2022-10-02,48
2022-10-09,46
2022-10-16,44
2022-10-23,64
2022-10-30,51
2022-11-06,66
2022-11-13,51
2022-11-20,32
2022-11-27,16
2022-12-04,17
2022-12-11,22
2022-12-18,35
2022-12-25,54
2023-01-01,45
2023-01-08,44
2023-01-15,51
2023-01-22,63
2023-01-29,56
2023-02-05,36
2023-02-12,36
2023-02-19,54
2023-02-26,56
2023-03-05,44
2023-03-12,31
2023-03-19,33
2023-03-26,40
2023-04-02,68
2023-04-09,59
2023-04-16,44
2023-04-23,27
2023-04-30,46
2023-05-07,43
2023-05-14,23
2023-05-21,32
2023-05-28,50
2023-06-04,45
2023-06-11,25
2023-06-18,30
2023-06-25,0
2023-07-02,49
2023-07-09,26
2023-07-16,35
2023-07-23,24
2023-07-30,77
2023-08-06,54
2023-08-13,26
2023-08-20,61
2023-08-27,91
2023-09-03,65
2023-09-10,47
2023-09-17,40
2023-09-24,33
2023-10-01,97
2023-10-08,46
2023-10-15,53
2023-10-22,53
2023-10-29,67
2023-11-05,62
2023-11-12,65
2023-11-19,9
2023-11-26,33
2023-12-03,66
2023-12-10,27
2023-12-17,58
2023-12-24,26
2023-12-31,75
2024-01-07,66
2024-01-14,45
2024-01-21,68
2024-01-28,100
2024-02-04,55
