date,2024-02-16
2020-02-02,25
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,36
2020-03-15,23
2020-03-22,21
2020-03-29,0
2020-04-05,0
2020-04-12,54
2020-04-19,26
2020-04-26,64
2020-05-03,0
2020-05-10,0
2020-05-17,67
2020-05-24,26
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,29
2020-06-28,0
2020-07-05,30
2020-07-12,0
2020-07-19,25
2020-07-26,26
2020-08-02,76
2020-08-09,23
2020-08-16,0
2020-08-23,0
2020-08-30,0
2020-09-06,21
2020-09-13,19
2020-09-20,0
2020-09-27,23
2020-10-04,82
2020-10-11,0
2020-10-18,0
2020-10-25,26
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,26
2020-11-29,24
2020-12-06,54
2020-12-13,34
2020-12-20,41
2020-12-27,0
2021-01-03,30
2021-01-10,58
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,24
2021-03-14,0
2021-03-21,0
2021-03-28,35
2021-04-04,94
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,71
2021-05-09,72
2021-05-16,0
2021-05-23,23
2021-05-30,0
2021-06-06,0
2021-06-13,29
2021-06-20,29
2021-06-27,44
2021-07-04,27
2021-07-11,0
2021-07-18,27
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,25
2021-09-05,37
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,54
2021-10-10,0
2021-10-17,44
2021-10-24,0
2021-10-31,30
2021-11-07,0
2021-11-14,0
2021-11-21,71
2021-11-28,79
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,74
2022-01-16,63
2022-01-23,0
2022-01-30,38
2022-02-06,0
2022-02-13,0
2022-02-20,29
2022-02-27,0
2022-03-06,18
2022-03-13,45
2022-03-20,24
2022-03-27,0
2022-04-03,0
2022-04-10,0
2022-04-17,0
2022-04-24,30
2022-05-01,0
2022-05-08,57
2022-05-15,21
2022-05-22,29
2022-05-29,0
2022-06-05,91
2022-06-12,27
2022-06-19,34
2022-06-26,0
2022-07-03,0
2022-07-10,64
2022-07-17,67
2022-07-24,65
2022-07-31,0
2022-08-07,36
2022-08-14,20
2022-08-21,0
2022-08-28,0
2022-09-04,48
2022-09-11,0
2022-09-18,79
2022-09-25,0
2022-10-02,49
2022-10-09,79
2022-10-16,0
2022-10-23,59
2022-10-30,30
2022-11-06,0
2022-11-13,0
2022-11-20,60
2022-11-27,32
2022-12-04,35
2022-12-11,0
2022-12-18,0
2022-12-25,40
2023-01-01,34
2023-01-08,76
2023-01-15,34
2023-01-22,0
2023-01-29,53
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,20
2023-03-05,0
2023-03-12,24
2023-03-19,19
2023-03-26,0
2023-04-02,67
2023-04-09,0
2023-04-16,59
2023-04-23,62
2023-04-30,0
2023-05-07,36
2023-05-14,0
2023-05-21,52
2023-05-28,0
2023-06-04,0
2023-06-11,43
2023-06-18,0
2023-06-25,0
2023-07-02,33
2023-07-09,0
2023-07-16,52
2023-07-23,0
2023-07-30,59
2023-08-06,0
2023-08-13,30
2023-08-20,0
2023-08-27,52
2023-09-03,40
2023-09-10,45
2023-09-17,100
2023-09-24,53
2023-10-01,41
2023-10-08,52
2023-10-15,53
2023-10-22,0
2023-10-29,28
2023-11-05,0
2023-11-12,0
2023-11-19,71
2023-11-26,55
2023-12-03,0
2023-12-10,0
2023-12-17,40
2023-12-24,0
2023-12-31,22
2024-01-07,71
2024-01-14,0
2024-01-21,36
2024-01-28,0
2024-02-04,0
