date,2024-02-16
2020-02-02,6
2020-02-09,5
2020-02-16,4
2020-02-23,2
2020-03-01,7
2020-03-08,4
2020-03-15,4
2020-03-22,3
2020-03-29,12
2020-04-05,13
2020-04-12,15
2020-04-19,10
2020-04-26,20
2020-05-03,22
2020-05-10,45
2020-05-17,100
2020-05-24,61
2020-05-31,47
2020-06-07,54
2020-06-14,33
2020-06-21,27
2020-06-28,26
2020-07-05,25
2020-07-12,24
2020-07-19,19
2020-07-26,20
2020-08-02,19
2020-08-09,18
2020-08-16,19
2020-08-23,17
2020-08-30,15
2020-09-06,11
2020-09-13,10
2020-09-20,11
2020-09-27,17
2020-10-04,15
2020-10-11,15
2020-10-18,16
2020-10-25,14
2020-11-01,14
2020-11-08,19
2020-11-15,16
2020-11-22,14
2020-11-29,31
2020-12-06,32
2020-12-13,26
2020-12-20,20
2020-12-27,15
2021-01-03,16
2021-01-10,17
2021-01-17,11
2021-01-24,15
2021-01-31,14
2021-02-07,16
2021-02-14,11
2021-02-21,13
2021-02-28,14
2021-03-07,14
2021-03-14,12
2021-03-21,14
2021-03-28,16
2021-04-04,13
2021-04-11,14
2021-04-18,14
2021-04-25,11
2021-05-02,15
2021-05-09,14
2021-05-16,13
2021-05-23,19
2021-05-30,18
2021-06-06,15
2021-06-13,15
2021-06-20,14
2021-06-27,19
2021-07-04,27
2021-07-11,32
2021-07-18,19
2021-07-25,15
2021-08-01,20
2021-08-08,20
2021-08-15,14
2021-08-22,19
2021-08-29,27
2021-09-05,29
2021-09-12,19
2021-09-19,20
2021-09-26,18
2021-10-03,22
2021-10-10,20
2021-10-17,16
2021-10-24,27
2021-10-31,40
2021-11-07,27
2021-11-14,22
2021-11-21,23
2021-11-28,32
2021-12-05,28
2021-12-12,25
2021-12-19,22
2021-12-26,20
2022-01-02,26
2022-01-09,22
2022-01-16,23
2022-01-23,20
2022-01-30,25
2022-02-06,22
2022-02-13,23
2022-02-20,19
2022-02-27,17
2022-03-06,19
2022-03-13,20
2022-03-20,17
2022-03-27,14
2022-04-03,17
2022-04-10,18
2022-04-17,14
2022-04-24,13
2022-05-01,15
2022-05-08,15
2022-05-15,16
2022-05-22,14
2022-05-29,21
2022-06-05,22
2022-06-12,21
2022-06-19,22
2022-06-26,20
2022-07-03,20
2022-07-10,25
2022-07-17,28
2022-07-24,19
2022-07-31,19
2022-08-07,22
2022-08-14,19
2022-08-21,20
2022-08-28,19
2022-09-04,17
2022-09-11,17
2022-09-18,19
2022-09-25,21
2022-10-02,26
2022-10-09,25
2022-10-16,21
2022-10-23,21
2022-10-30,30
2022-11-06,30
2022-11-13,31
2022-11-20,24
2022-11-27,30
2022-12-04,26
2022-12-11,30
2022-12-18,45
2022-12-25,25
2023-01-01,33
2023-01-08,41
2023-01-15,32
2023-01-22,31
2023-01-29,30
2023-02-05,33
2023-02-12,23
2023-02-19,17
2023-02-26,19
2023-03-05,20
2023-03-12,20
2023-03-19,18
2023-03-26,21
2023-04-02,23
2023-04-09,17
2023-04-16,14
2023-04-23,12
2023-04-30,20
2023-05-07,18
2023-05-14,17
2023-05-21,17
2023-05-28,21
2023-06-04,19
2023-06-11,18
2023-06-18,11
2023-06-25,16
2023-07-02,23
2023-07-09,20
2023-07-16,16
2023-07-23,17
2023-07-30,31
2023-08-06,28
2023-08-13,24
2023-08-20,26
2023-08-27,26
2023-09-03,28
2023-09-10,22
2023-09-17,20
2023-09-24,21
2023-10-01,26
2023-10-08,20
2023-10-15,15
2023-10-22,12
2023-10-29,17
2023-11-05,19
2023-11-12,15
2023-11-19,11
2023-11-26,14
2023-12-03,19
2023-12-10,12
2023-12-17,11
2023-12-24,12
2023-12-31,17
2024-01-07,17
2024-01-14,15
2024-01-21,14
2024-01-28,17
2024-02-04,16
