date,2024-02-16
2020-02-02,5
2020-02-09,4
2020-02-16,5
2020-02-23,3
2020-03-01,6
2020-03-08,7
2020-03-15,7
2020-03-22,6
2020-03-29,9
2020-04-05,10
2020-04-12,13
2020-04-19,9
2020-04-26,8
2020-05-03,9
2020-05-10,26
2020-05-17,42
2020-05-24,27
2020-05-31,51
2020-06-07,37
2020-06-14,57
2020-06-21,44
2020-06-28,44
2020-07-05,33
2020-07-12,28
2020-07-19,26
2020-07-26,25
2020-08-02,21
2020-08-09,24
2020-08-16,19
2020-08-23,13
2020-08-30,11
2020-09-06,11
2020-09-13,10
2020-09-20,11
2020-09-27,14
2020-10-04,13
2020-10-11,12
2020-10-18,10
2020-10-25,11
2020-11-01,10
2020-11-08,13
2020-11-15,13
2020-11-22,9
2020-11-29,13
2020-12-06,10
2020-12-13,13
2020-12-20,9
2020-12-27,10
2021-01-03,11
2021-01-10,12
2021-01-17,13
2021-01-24,13
2021-01-31,11
2021-02-07,10
2021-02-14,18
2021-02-21,15
2021-02-28,16
2021-03-07,15
2021-03-14,12
2021-03-21,11
2021-03-28,12
2021-04-04,13
2021-04-11,12
2021-04-18,11
2021-04-25,15
2021-05-02,11
2021-05-09,12
2021-05-16,17
2021-05-23,72
2021-05-30,100
2021-06-06,61
2021-06-13,54
2021-06-20,58
2021-06-27,47
2021-07-04,42
2021-07-11,40
2021-07-18,30
2021-07-25,31
2021-08-01,33
2021-08-08,33
2021-08-15,36
2021-08-22,34
2021-08-29,30
2021-09-05,28
2021-09-12,21
2021-09-19,21
2021-09-26,19
2021-10-03,20
2021-10-10,24
2021-10-17,20
2021-10-24,15
2021-10-31,19
2021-11-07,22
2021-11-14,21
2021-11-21,19
2021-11-28,37
2021-12-05,27
2021-12-12,24
2021-12-19,22
2021-12-26,21
2022-01-02,24
2022-01-09,21
2022-01-16,17
2022-01-23,18
2022-01-30,20
2022-02-06,16
2022-02-13,14
2022-02-20,13
2022-02-27,17
2022-03-06,18
2022-03-13,19
2022-03-20,12
2022-03-27,15
2022-04-03,17
2022-04-10,20
2022-04-17,21
2022-04-24,19
2022-05-01,20
2022-05-08,16
2022-05-15,17
2022-05-22,20
2022-05-29,23
2022-06-05,27
2022-06-12,22
2022-06-19,17
2022-06-26,18
2022-07-03,26
2022-07-10,22
2022-07-17,15
2022-07-24,17
2022-07-31,21
2022-08-07,18
2022-08-14,19
2022-08-21,20
2022-08-28,20
2022-09-04,20
2022-09-11,18
2022-09-18,16
2022-09-25,20
2022-10-02,23
2022-10-09,22
2022-10-16,17
2022-10-23,17
2022-10-30,14
2022-11-06,15
2022-11-13,20
2022-11-20,16
2022-11-27,29
2022-12-04,40
2022-12-11,51
2022-12-18,53
2022-12-25,36
2023-01-01,32
2023-01-08,29
2023-01-15,27
2023-01-22,23
2023-01-29,26
2023-02-05,23
2023-02-12,20
2023-02-19,18
2023-02-26,16
2023-03-05,15
2023-03-12,18
2023-03-19,15
2023-03-26,14
2023-04-02,15
2023-04-09,13
2023-04-16,13
2023-04-23,14
2023-04-30,14
2023-05-07,12
2023-05-14,14
2023-05-21,12
2023-05-28,19
2023-06-04,18
2023-06-11,16
2023-06-18,18
2023-06-25,18
2023-07-02,15
2023-07-09,16
2023-07-16,13
2023-07-23,15
2023-07-30,12
2023-08-06,11
2023-08-13,14
2023-08-20,15
2023-08-27,12
2023-09-03,14
2023-09-10,14
2023-09-17,15
2023-09-24,16
2023-10-01,13
2023-10-08,13
2023-10-15,13
2023-10-22,10
2023-10-29,11
2023-11-05,11
2023-11-12,10
2023-11-19,10
2023-11-26,12
2023-12-03,16
2023-12-10,11
2023-12-17,14
2023-12-24,12
2023-12-31,9
2024-01-07,13
2024-01-14,10
2024-01-21,13
2024-01-28,8
2024-02-04,14
