date,2024-02-16
2020-02-02,0
2020-02-09,0
2020-02-16,7
2020-02-23,0
2020-03-01,6
2020-03-08,14
2020-03-15,8
2020-03-22,4
2020-03-29,0
2020-04-05,0
2020-04-12,9
2020-04-19,10
2020-04-26,0
2020-05-03,0
2020-05-10,15
2020-05-17,25
2020-05-24,7
2020-05-31,77
2020-06-07,30
2020-06-14,77
2020-06-21,34
2020-06-28,44
2020-07-05,26
2020-07-12,16
2020-07-19,17
2020-07-26,17
2020-08-02,8
2020-08-09,9
2020-08-16,6
2020-08-23,0
2020-08-30,8
2020-09-06,4
2020-09-13,8
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,8
2020-10-25,0
2020-11-01,8
2020-11-08,0
2020-11-15,9
2020-11-22,0
2020-11-29,6
2020-12-06,0
2020-12-13,15
2020-12-20,0
2020-12-27,10
2021-01-03,0
2021-01-10,0
2021-01-17,7
2021-01-24,0
2021-01-31,5
2021-02-07,8
2021-02-14,0
2021-02-21,0
2021-02-28,7
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,8
2021-04-11,6
2021-04-18,0
2021-04-25,0
2021-05-02,5
2021-05-09,0
2021-05-16,12
2021-05-23,81
2021-05-30,100
2021-06-06,44
2021-06-13,32
2021-06-20,67
2021-06-27,24
2021-07-04,24
2021-07-11,0
2021-07-18,14
2021-07-25,16
2021-08-01,9
2021-08-08,10
2021-08-15,0
2021-08-22,21
2021-08-29,21
2021-09-05,34
2021-09-12,11
2021-09-19,10
2021-09-26,6
2021-10-03,37
2021-10-10,6
2021-10-17,15
2021-10-24,5
2021-10-31,7
2021-11-07,11
2021-11-14,13
2021-11-21,0
2021-11-28,30
2021-12-05,0
2021-12-12,0
2021-12-19,11
2021-12-26,0
2022-01-02,10
2022-01-09,8
2022-01-16,0
2022-01-23,20
2022-01-30,0
2022-02-06,19
2022-02-13,6
2022-02-20,6
2022-02-27,7
2022-03-06,11
2022-03-13,12
2022-03-20,13
2022-03-27,0
2022-04-03,0
2022-04-10,12
2022-04-17,8
2022-04-24,15
2022-05-01,0
2022-05-08,8
2022-05-15,0
2022-05-22,5
2022-05-29,8
2022-06-05,5
2022-06-12,14
2022-06-19,0
2022-06-26,0
2022-07-03,15
2022-07-10,11
2022-07-17,8
2022-07-24,14
2022-07-31,13
2022-08-07,12
2022-08-14,0
2022-08-21,0
2022-08-28,10
2022-09-04,41
2022-09-11,11
2022-09-18,6
2022-09-25,16
2022-10-02,0
2022-10-09,16
2022-10-16,15
2022-10-23,9
2022-10-30,0
2022-11-06,10
2022-11-13,21
2022-11-20,16
2022-11-27,31
2022-12-04,34
2022-12-11,36
2022-12-18,21
2022-12-25,23
2023-01-01,17
2023-01-08,0
2023-01-15,9
2023-01-22,5
2023-01-29,0
2023-02-05,0
2023-02-12,15
2023-02-19,0
2023-02-26,7
2023-03-05,0
2023-03-12,0
2023-03-19,6
2023-03-26,0
2023-04-02,0
2023-04-09,0
2023-04-16,5
2023-04-23,13
2023-04-30,0
2023-05-07,0
2023-05-14,5
2023-05-21,0
2023-05-28,6
2023-06-04,5
2023-06-11,5
2023-06-18,13
2023-06-25,12
2023-07-02,0
2023-07-09,5
2023-07-16,10
2023-07-23,0
2023-07-30,12
2023-08-06,6
2023-08-13,0
2023-08-20,5
2023-08-27,0
2023-09-03,10
2023-09-10,7
2023-09-17,13
2023-09-24,0
2023-10-01,0
2023-10-08,9
2023-10-15,0
2023-10-22,0
2023-10-29,0
2023-11-05,0
2023-11-12,0
2023-11-19,0
2023-11-26,19
2023-12-03,5
2023-12-10,6
2023-12-17,0
2023-12-24,6
2023-12-31,7
2024-01-07,0
2024-01-14,0
2024-01-21,13
2024-01-28,0
2024-02-04,7
