date,2024-02-16
2020-02-02,18
2020-02-09,15
2020-02-16,4
2020-02-23,6
2020-03-01,0
2020-03-08,0
2020-03-15,7
2020-03-22,3
2020-03-29,15
2020-04-05,17
2020-04-12,11
2020-04-19,9
2020-04-26,12
2020-05-03,31
2020-05-10,47
2020-05-17,90
2020-05-24,100
2020-05-31,62
2020-06-07,60
2020-06-14,53
2020-06-21,51
2020-06-28,41
2020-07-05,41
2020-07-12,37
2020-07-19,36
2020-07-26,31
2020-08-02,30
2020-08-09,16
2020-08-16,20
2020-08-23,20
2020-08-30,17
2020-09-06,14
2020-09-13,12
2020-09-20,8
2020-09-27,25
2020-10-04,9
2020-10-11,22
2020-10-18,18
2020-10-25,13
2020-11-01,9
2020-11-08,29
2020-11-15,31
2020-11-22,17
2020-11-29,23
2020-12-06,45
2020-12-13,37
2020-12-20,24
2020-12-27,12
2021-01-03,32
2021-01-10,26
2021-01-17,23
2021-01-24,18
2021-01-31,16
2021-02-07,20
2021-02-14,24
2021-02-21,16
2021-02-28,29
2021-03-07,18
2021-03-14,21
2021-03-21,18
2021-03-28,0
2021-04-04,14
2021-04-11,16
2021-04-18,26
2021-04-25,12
2021-05-02,41
2021-05-09,16
2021-05-16,12
2021-05-23,31
2021-05-30,33
2021-06-06,11
2021-06-13,38
2021-06-20,30
2021-06-27,18
2021-07-04,27
2021-07-11,38
2021-07-18,16
2021-07-25,23
2021-08-01,32
2021-08-08,14
2021-08-15,28
2021-08-22,18
2021-08-29,27
2021-09-05,22
2021-09-12,25
2021-09-19,15
2021-09-26,31
2021-10-03,27
2021-10-10,27
2021-10-17,30
2021-10-24,43
2021-10-31,63
2021-11-07,42
2021-11-14,33
2021-11-21,22
2021-11-28,30
2021-12-05,50
2021-12-12,38
2021-12-19,28
2021-12-26,34
2022-01-02,46
2022-01-09,37
2022-01-16,28
2022-01-23,33
2022-01-30,38
2022-02-06,33
2022-02-13,32
2022-02-20,30
2022-02-27,27
2022-03-06,41
2022-03-13,19
2022-03-20,27
2022-03-27,24
2022-04-03,24
2022-04-10,19
2022-04-17,21
2022-04-24,19
2022-05-01,16
2022-05-08,31
2022-05-15,13
2022-05-22,10
2022-05-29,37
2022-06-05,36
2022-06-12,36
2022-06-19,29
2022-06-26,19
2022-07-03,24
2022-07-10,30
2022-07-17,35
2022-07-24,25
2022-07-31,32
2022-08-07,35
2022-08-14,22
2022-08-21,22
2022-08-28,12
2022-09-04,32
2022-09-11,24
2022-09-18,21
2022-09-25,12
2022-10-02,24
2022-10-09,29
2022-10-16,28
2022-10-23,30
2022-10-30,37
2022-11-06,43
2022-11-13,38
2022-11-20,20
2022-11-27,40
2022-12-04,28
2022-12-11,43
2022-12-18,74
2022-12-25,45
2023-01-01,45
2023-01-08,48
2023-01-15,60
2023-01-22,33
2023-01-29,47
2023-02-05,35
2023-02-12,28
2023-02-19,31
2023-02-26,23
2023-03-05,32
2023-03-12,28
2023-03-19,24
2023-03-26,21
2023-04-02,22
2023-04-09,24
2023-04-16,21
2023-04-23,19
2023-04-30,23
2023-05-07,26
2023-05-14,17
2023-05-21,24
2023-05-28,32
2023-06-04,29
2023-06-11,18
2023-06-18,21
2023-06-25,21
2023-07-02,30
2023-07-09,25
2023-07-16,28
2023-07-23,22
2023-07-30,35
2023-08-06,36
2023-08-13,42
2023-08-20,35
2023-08-27,31
2023-09-03,38
2023-09-10,23
2023-09-17,24
2023-09-24,28
2023-10-01,41
2023-10-08,34
2023-10-15,25
2023-10-22,19
2023-10-29,32
2023-11-05,36
2023-11-12,23
2023-11-19,22
2023-11-26,26
2023-12-03,36
2023-12-10,18
2023-12-17,17
2023-12-24,19
2023-12-31,24
2024-01-07,34
2024-01-14,27
2024-01-21,15
2024-01-28,34
2024-02-04,22
