date,2024-02-16
2020-02-02,0
2020-02-09,24
2020-02-16,0
2020-02-23,0
2020-03-01,8
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,13
2020-04-05,14
2020-04-12,8
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,16
2020-05-17,33
2020-05-24,18
2020-05-31,29
2020-06-07,29
2020-06-14,29
2020-06-21,22
2020-06-28,0
2020-07-05,65
2020-07-12,19
2020-07-19,13
2020-07-26,14
2020-08-02,24
2020-08-09,7
2020-08-16,6
2020-08-23,8
2020-08-30,9
2020-09-06,10
2020-09-13,6
2020-09-20,0
2020-09-27,16
2020-10-04,19
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,30
2020-11-08,0
2020-11-15,16
2020-11-22,0
2020-11-29,9
2020-12-06,7
2020-12-13,0
2020-12-20,0
2020-12-27,9
2021-01-03,0
2021-01-10,18
2021-01-17,0
2021-01-24,9
2021-01-31,0
2021-02-07,19
2021-02-14,8
2021-02-21,0
2021-02-28,9
2021-03-07,9
2021-03-14,0
2021-03-21,9
2021-03-28,0
2021-04-04,20
2021-04-11,20
2021-04-18,10
2021-04-25,19
2021-05-02,0
2021-05-09,54
2021-05-16,13
2021-05-23,30
2021-05-30,100
2021-06-06,61
2021-06-13,66
2021-06-20,51
2021-06-27,35
2021-07-04,42
2021-07-11,60
2021-07-18,36
2021-07-25,49
2021-08-01,35
2021-08-08,35
2021-08-15,49
2021-08-22,26
2021-08-29,0
2021-09-05,11
2021-09-12,20
2021-09-19,0
2021-09-26,26
2021-10-03,33
2021-10-10,20
2021-10-17,10
2021-10-24,28
2021-10-31,16
2021-11-07,19
2021-11-14,0
2021-11-21,20
2021-11-28,33
2021-12-05,11
2021-12-12,10
2021-12-19,17
2021-12-26,23
2022-01-02,19
2022-01-09,0
2022-01-16,21
2022-01-23,21
2022-01-30,0
2022-02-06,27
2022-02-13,11
2022-02-20,0
2022-02-27,5
2022-03-06,26
2022-03-13,0
2022-03-20,0
2022-03-27,10
2022-04-03,10
2022-04-10,12
2022-04-17,14
2022-04-24,20
2022-05-01,13
2022-05-08,27
2022-05-15,22
2022-05-22,25
2022-05-29,14
2022-06-05,9
2022-06-12,23
2022-06-19,8
2022-06-26,19
2022-07-03,8
2022-07-10,22
2022-07-17,17
2022-07-24,6
2022-07-31,11
2022-08-07,0
2022-08-14,0
2022-08-21,8
2022-08-28,26
2022-09-04,33
2022-09-11,14
2022-09-18,16
2022-09-25,25
2022-10-02,26
2022-10-09,15
2022-10-16,12
2022-10-23,20
2022-10-30,13
2022-11-06,18
2022-11-13,17
2022-11-20,18
2022-11-27,21
2022-12-04,25
2022-12-11,44
2022-12-18,50
2022-12-25,14
2023-01-01,23
2023-01-08,45
2023-01-15,15
2023-01-22,16
2023-01-29,21
2023-02-05,22
2023-02-12,15
2023-02-19,0
2023-02-26,15
2023-03-05,13
2023-03-12,13
2023-03-19,15
2023-03-26,0
2023-04-02,6
2023-04-09,19
2023-04-16,23
2023-04-23,9
2023-04-30,8
2023-05-07,27
2023-05-14,15
2023-05-21,20
2023-05-28,0
2023-06-04,14
2023-06-11,0
2023-06-18,15
2023-06-25,10
2023-07-02,20
2023-07-09,0
2023-07-16,0
2023-07-23,14
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,15
2023-08-27,25
2023-09-03,22
2023-09-10,6
2023-09-17,13
2023-09-24,0
2023-10-01,6
2023-10-08,8
2023-10-15,0
2023-10-22,0
2023-10-29,8
2023-11-05,14
2023-11-12,6
2023-11-19,7
2023-11-26,0
2023-12-03,0
2023-12-10,18
2023-12-17,15
2023-12-24,22
2023-12-31,32
2024-01-07,9
2024-01-14,0
2024-01-21,15
2024-01-28,0
2024-02-04,13
