date,2024-02-16
2020-02-02,10
2020-02-09,7
2020-02-16,0
2020-02-23,5
2020-03-01,8
2020-03-08,0
2020-03-15,7
2020-03-22,0
2020-03-29,18
2020-04-05,12
2020-04-12,19
2020-04-19,16
2020-04-26,21
2020-05-03,12
2020-05-10,21
2020-05-17,96
2020-05-24,100
2020-05-31,59
2020-06-07,74
2020-06-14,47
2020-06-21,43
2020-06-28,38
2020-07-05,32
2020-07-12,30
2020-07-19,24
2020-07-26,27
2020-08-02,16
2020-08-09,20
2020-08-16,8
2020-08-23,16
2020-08-30,15
2020-09-06,12
2020-09-13,13
2020-09-20,10
2020-09-27,19
2020-10-04,16
2020-10-11,17
2020-10-18,23
2020-10-25,18
2020-11-01,6
2020-11-08,20
2020-11-15,30
2020-11-22,18
2020-11-29,22
2020-12-06,12
2020-12-13,35
2020-12-20,22
2020-12-27,23
2021-01-03,16
2021-01-10,13
2021-01-17,13
2021-01-24,13
2021-01-31,15
2021-02-07,22
2021-02-14,17
2021-02-21,9
2021-02-28,8
2021-03-07,16
2021-03-14,13
2021-03-21,14
2021-03-28,19
2021-04-04,13
2021-04-11,15
2021-04-18,9
2021-04-25,19
2021-05-02,26
2021-05-09,16
2021-05-16,20
2021-05-23,28
2021-05-30,18
2021-06-06,13
2021-06-13,23
2021-06-20,18
2021-06-27,8
2021-07-04,27
2021-07-11,17
2021-07-18,21
2021-07-25,11
2021-08-01,30
2021-08-08,17
2021-08-15,16
2021-08-22,13
2021-08-29,32
2021-09-05,50
2021-09-12,22
2021-09-19,23
2021-09-26,19
2021-10-03,19
2021-10-10,32
2021-10-17,17
2021-10-24,25
2021-10-31,42
2021-11-07,51
2021-11-14,32
2021-11-21,28
2021-11-28,36
2021-12-05,36
2021-12-12,31
2021-12-19,19
2021-12-26,9
2022-01-02,24
2022-01-09,26
2022-01-16,26
2022-01-23,15
2022-01-30,22
2022-02-06,10
2022-02-13,16
2022-02-20,22
2022-02-27,21
2022-03-06,25
2022-03-13,21
2022-03-20,20
2022-03-27,11
2022-04-03,11
2022-04-10,0
2022-04-17,9
2022-04-24,14
2022-05-01,16
2022-05-08,18
2022-05-15,14
2022-05-22,19
2022-05-29,15
2022-06-05,16
2022-06-12,23
2022-06-19,24
2022-06-26,21
2022-07-03,32
2022-07-10,20
2022-07-17,26
2022-07-24,12
2022-07-31,32
2022-08-07,31
2022-08-14,22
2022-08-21,24
2022-08-28,22
2022-09-04,33
2022-09-11,20
2022-09-18,20
2022-09-25,13
2022-10-02,26
2022-10-09,20
2022-10-16,23
2022-10-23,20
2022-10-30,42
2022-11-06,37
2022-11-13,30
2022-11-20,16
2022-11-27,19
2022-12-04,20
2022-12-11,29
2022-12-18,51
2022-12-25,24
2023-01-01,19
2023-01-08,31
2023-01-15,23
2023-01-22,29
2023-01-29,28
2023-02-05,27
2023-02-12,16
2023-02-19,20
2023-02-26,16
2023-03-05,12
2023-03-12,13
2023-03-19,17
2023-03-26,22
2023-04-02,10
2023-04-09,24
2023-04-16,7
2023-04-23,10
2023-04-30,24
2023-05-07,19
2023-05-14,21
2023-05-21,0
2023-05-28,18
2023-06-04,44
2023-06-11,16
2023-06-18,10
2023-06-25,4
2023-07-02,25
2023-07-09,21
2023-07-16,37
2023-07-23,23
2023-07-30,29
2023-08-06,34
2023-08-13,26
2023-08-20,23
2023-08-27,23
2023-09-03,27
2023-09-10,27
2023-09-17,24
2023-09-24,23
2023-10-01,22
2023-10-08,15
2023-10-15,19
2023-10-22,19
2023-10-29,13
2023-11-05,29
2023-11-12,14
2023-11-19,10
2023-11-26,11
2023-12-03,21
2023-12-10,22
2023-12-17,12
2023-12-24,4
2023-12-31,7
2024-01-07,12
2024-01-14,13
2024-01-21,19
2024-01-28,20
2024-02-04,18
