date,2024-02-16
2020-02-02,10
2020-02-09,3
2020-02-16,2
2020-02-23,2
2020-03-01,3
2020-03-08,11
2020-03-15,0
2020-03-22,5
2020-03-29,4
2020-04-05,7
2020-04-12,9
2020-04-19,4
2020-04-26,4
2020-05-03,10
2020-05-10,16
2020-05-17,25
2020-05-24,18
2020-05-31,36
2020-06-07,43
2020-06-14,52
2020-06-21,37
2020-06-28,40
2020-07-05,33
2020-07-12,15
2020-07-19,13
2020-07-26,19
2020-08-02,30
2020-08-09,14
2020-08-16,10
2020-08-23,9
2020-08-30,6
2020-09-06,0
2020-09-13,9
2020-09-20,11
2020-09-27,7
2020-10-04,9
2020-10-11,9
2020-10-18,0
2020-10-25,5
2020-11-01,8
2020-11-08,11
2020-11-15,8
2020-11-22,5
2020-11-29,14
2020-12-06,9
2020-12-13,14
2020-12-20,0
2020-12-27,9
2021-01-03,16
2021-01-10,7
2021-01-17,14
2021-01-24,3
2021-01-31,17
2021-02-07,12
2021-02-14,12
2021-02-21,13
2021-02-28,10
2021-03-07,11
2021-03-14,6
2021-03-21,8
2021-03-28,3
2021-04-04,0
2021-04-11,3
2021-04-18,11
2021-04-25,7
2021-05-02,10
2021-05-09,13
2021-05-16,17
2021-05-23,79
2021-05-30,100
2021-06-06,55
2021-06-13,52
2021-06-20,75
2021-06-27,22
2021-07-04,32
2021-07-11,37
2021-07-18,25
2021-07-25,15
2021-08-01,49
2021-08-08,28
2021-08-15,38
2021-08-22,28
2021-08-29,20
2021-09-05,13
2021-09-12,20
2021-09-19,16
2021-09-26,27
2021-10-03,10
2021-10-10,20
2021-10-17,6
2021-10-24,10
2021-10-31,14
2021-11-07,29
2021-11-14,21
2021-11-21,20
2021-11-28,54
2021-12-05,21
2021-12-12,12
2021-12-19,13
2021-12-26,9
2022-01-02,9
2022-01-09,24
2022-01-16,10
2022-01-23,16
2022-01-30,16
2022-02-06,11
2022-02-13,12
2022-02-20,8
2022-02-27,12
2022-03-06,12
2022-03-13,10
2022-03-20,8
2022-03-27,12
2022-04-03,14
2022-04-10,13
2022-04-17,16
2022-04-24,18
2022-05-01,19
2022-05-08,15
2022-05-15,13
2022-05-22,24
2022-05-29,30
2022-06-05,22
2022-06-12,10
2022-06-19,13
2022-06-26,13
2022-07-03,28
2022-07-10,18
2022-07-17,13
2022-07-24,32
2022-07-31,18
2022-08-07,17
2022-08-14,18
2022-08-21,10
2022-08-28,21
2022-09-04,15
2022-09-11,8
2022-09-18,16
2022-09-25,12
2022-10-02,14
2022-10-09,21
2022-10-16,21
2022-10-23,12
2022-10-30,10
2022-11-06,6
2022-11-13,9
2022-11-20,11
2022-11-27,30
2022-12-04,43
2022-12-11,49
2022-12-18,57
2022-12-25,36
2023-01-01,27
2023-01-08,23
2023-01-15,26
2023-01-22,25
2023-01-29,17
2023-02-05,23
2023-02-12,11
2023-02-19,10
2023-02-26,11
2023-03-05,5
2023-03-12,0
2023-03-19,10
2023-03-26,4
2023-04-02,9
2023-04-09,13
2023-04-16,10
2023-04-23,11
2023-04-30,8
2023-05-07,8
2023-05-14,6
2023-05-21,21
2023-05-28,12
2023-06-04,17
2023-06-11,12
2023-06-18,12
2023-06-25,4
2023-07-02,14
2023-07-09,18
2023-07-16,10
2023-07-23,9
2023-07-30,6
2023-08-06,11
2023-08-13,10
2023-08-20,11
2023-08-27,9
2023-09-03,5
2023-09-10,4
2023-09-17,10
2023-09-24,9
2023-10-01,17
2023-10-08,5
2023-10-15,9
2023-10-22,7
2023-10-29,8
2023-11-05,3
2023-11-12,9
2023-11-19,8
2023-11-26,4
2023-12-03,10
2023-12-10,2
2023-12-17,8
2023-12-24,0
2023-12-31,15
2024-01-07,4
2024-01-14,6
2024-01-21,4
2024-01-28,12
2024-02-04,10
