date,2024-02-16
2020-02-02,0
2020-02-09,42
2020-02-16,0
2020-02-23,0
2020-03-01,56
2020-03-08,19
2020-03-15,47
2020-03-22,51
2020-03-29,16
2020-04-05,0
2020-04-12,26
2020-04-19,35
2020-04-26,10
2020-05-03,29
2020-05-10,0
2020-05-17,19
2020-05-24,11
2020-05-31,28
2020-06-07,0
2020-06-14,0
2020-06-21,0
2020-06-28,15
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,13
2020-08-02,17
2020-08-09,0
2020-08-16,0
2020-08-23,11
2020-08-30,13
2020-09-06,0
2020-09-13,15
2020-09-20,0
2020-09-27,0
2020-10-04,17
2020-10-11,17
2020-10-18,13
2020-10-25,0
2020-11-01,19
2020-11-08,100
2020-11-15,12
2020-11-22,25
2020-11-29,16
2020-12-06,22
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,9
2021-01-10,0
2021-01-17,0
2021-01-24,27
2021-01-31,0
2021-02-07,10
2021-02-14,18
2021-02-21,12
2021-02-28,0
2021-03-07,0
2021-03-14,17
2021-03-21,13
2021-03-28,13
2021-04-04,0
2021-04-11,12
2021-04-18,0
2021-04-25,13
2021-05-02,0
2021-05-09,0
2021-05-16,20
2021-05-23,0
2021-05-30,0
2021-06-06,12
2021-06-13,0
2021-06-20,0
2021-06-27,42
2021-07-04,0
2021-07-11,16
2021-07-18,17
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,16
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,11
2021-11-07,0
2021-11-14,12
2021-11-21,28
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,16
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,0
2022-02-06,0
2022-02-13,27
2022-02-20,0
2022-02-27,18
2022-03-06,17
2022-03-13,0
2022-03-20,0
2022-03-27,15
2022-04-03,11
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,0
2022-05-08,0
2022-05-15,14
2022-05-22,0
2022-05-29,12
2022-06-05,16
2022-06-12,0
2022-06-19,0
2022-06-26,19
2022-07-03,0
2022-07-10,11
2022-07-17,12
2022-07-24,0
2022-07-31,10
2022-08-07,0
2022-08-14,13
2022-08-21,10
2022-08-28,10
2022-09-04,0
2022-09-11,33
2022-09-18,0
2022-09-25,16
2022-10-02,0
2022-10-09,0
2022-10-16,0
2022-10-23,0
2022-10-30,15
2022-11-06,26
2022-11-13,0
2022-11-20,36
2022-11-27,0
2022-12-04,28
2022-12-11,24
2022-12-18,10
2022-12-25,12
2023-01-01,13
2023-01-08,11
2023-01-15,0
2023-01-22,34
2023-01-29,0
2023-02-05,0
2023-02-12,9
2023-02-19,15
2023-02-26,16
2023-03-05,25
2023-03-12,11
2023-03-19,0
2023-03-26,0
2023-04-02,0
2023-04-09,0
2023-04-16,0
2023-04-23,14
2023-04-30,36
2023-05-07,16
2023-05-14,24
2023-05-21,11
2023-05-28,0
2023-06-04,15
2023-06-11,26
2023-06-18,0
2023-06-25,16
2023-07-02,36
2023-07-09,0
2023-07-16,0
2023-07-23,28
2023-07-30,0
2023-08-06,0
2023-08-13,20
2023-08-20,12
2023-08-27,0
2023-09-03,83
2023-09-10,0
2023-09-17,14
2023-09-24,0
2023-10-01,0
2023-10-08,0
2023-10-15,0
2023-10-22,29
2023-10-29,18
2023-11-05,0
2023-11-12,61
2023-11-19,24
2023-11-26,0
2023-12-03,28
2023-12-10,9
2023-12-17,0
2023-12-24,0
2023-12-31,0
2024-01-07,0
2024-01-14,0
2024-01-21,0
2024-01-28,0
2024-02-04,0
