date,2024-02-16
2020-02-02,45
2020-02-09,0
2020-02-16,23
2020-02-23,19
2020-03-01,0
2020-03-08,35
2020-03-15,17
2020-03-22,71
2020-03-29,0
2020-04-05,0
2020-04-12,33
2020-04-19,52
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,27
2020-05-31,47
2020-06-07,0
2020-06-14,37
2020-06-21,56
2020-06-28,0
2020-07-05,0
2020-07-12,20
2020-07-19,0
2020-07-26,21
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,21
2020-08-30,0
2020-09-06,0
2020-09-13,56
2020-09-20,0
2020-09-27,22
2020-10-04,0
2020-10-11,0
2020-10-18,56
2020-10-25,0
2020-11-01,0
2020-11-08,57
2020-11-15,83
2020-11-22,0
2020-11-29,0
2020-12-06,26
2020-12-13,23
2020-12-20,39
2020-12-27,41
2021-01-03,0
2021-01-10,0
2021-01-17,28
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,22
2021-03-07,32
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,52
2021-05-09,0
2021-05-16,32
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,23
2021-06-27,0
2021-07-04,0
2021-07-11,47
2021-07-18,0
2021-07-25,0
2021-08-01,21
2021-08-08,0
2021-08-15,44
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,44
2021-10-31,0
2021-11-07,23
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,33
2021-12-12,0
2021-12-19,0
2021-12-26,37
2022-01-02,43
2022-01-09,0
2022-01-16,26
2022-01-23,37
2022-01-30,38
2022-02-06,0
2022-02-13,0
2022-02-20,25
2022-02-27,0
2022-03-06,0
2022-03-13,0
2022-03-20,0
2022-03-27,20
2022-04-03,0
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,0
2022-05-08,0
2022-05-15,0
2022-05-22,0
2022-05-29,0
2022-06-05,0
2022-06-12,22
2022-06-19,30
2022-06-26,21
2022-07-03,0
2022-07-10,0
2022-07-17,50
2022-07-24,0
2022-07-31,42
2022-08-07,23
2022-08-14,0
2022-08-21,0
2022-08-28,0
2022-09-04,0
2022-09-11,37
2022-09-18,0
2022-09-25,0
2022-10-02,29
2022-10-09,57
2022-10-16,0
2022-10-23,0
2022-10-30,45
2022-11-06,48
2022-11-13,58
2022-11-20,27
2022-11-27,0
2022-12-04,23
2022-12-11,0
2022-12-18,20
2022-12-25,0
2023-01-01,0
2023-01-08,0
2023-01-15,44
2023-01-22,0
2023-01-29,15
2023-02-05,0
2023-02-12,0
2023-02-19,29
2023-02-26,0
2023-03-05,39
2023-03-12,0
2023-03-19,0
2023-03-26,0
2023-04-02,34
2023-04-09,61
2023-04-16,0
2023-04-23,31
2023-04-30,0
2023-05-07,0
2023-05-14,32
2023-05-21,0
2023-05-28,34
2023-06-04,36
2023-06-11,0
2023-06-18,0
2023-06-25,29
2023-07-02,23
2023-07-09,0
2023-07-16,43
2023-07-23,72
2023-07-30,0
2023-08-06,36
2023-08-13,35
2023-08-20,0
2023-08-27,57
2023-09-03,41
2023-09-10,52
2023-09-17,39
2023-09-24,34
2023-10-01,85
2023-10-08,26
2023-10-15,49
2023-10-22,0
2023-10-29,47
2023-11-05,0
2023-11-12,62
2023-11-19,65
2023-11-26,0
2023-12-03,21
2023-12-10,77
2023-12-17,100
2023-12-24,38
2023-12-31,0
2024-01-07,0
2024-01-14,0
2024-01-21,25
2024-01-28,0
2024-02-04,52
