date,2024-02-16
2020-02-02,21
2020-02-09,27
2020-02-16,89
2020-02-23,78
2020-03-01,36
2020-03-08,35
2020-03-15,0
2020-03-22,0
2020-03-29,45
2020-04-05,12
2020-04-12,29
2020-04-19,48
2020-04-26,61
2020-05-03,33
2020-05-10,23
2020-05-17,0
2020-05-24,24
2020-05-31,17
2020-06-07,0
2020-06-14,0
2020-06-21,13
2020-06-28,24
2020-07-05,14
2020-07-12,0
2020-07-19,20
2020-07-26,0
2020-08-02,0
2020-08-09,14
2020-08-16,0
2020-08-23,0
2020-08-30,0
2020-09-06,25
2020-09-13,0
2020-09-20,55
2020-09-27,0
2020-10-04,34
2020-10-11,0
2020-10-18,75
2020-10-25,0
2020-11-01,0
2020-11-08,26
2020-11-15,0
2020-11-22,0
2020-11-29,45
2020-12-06,44
2020-12-13,28
2020-12-20,0
2020-12-27,0
2021-01-03,33
2021-01-10,62
2021-01-17,0
2021-01-24,50
2021-01-31,0
2021-02-07,20
2021-02-14,0
2021-02-21,38
2021-02-28,30
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,25
2021-04-11,0
2021-04-18,19
2021-04-25,0
2021-05-02,21
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,24
2021-06-20,31
2021-06-27,21
2021-07-04,0
2021-07-11,20
2021-07-18,52
2021-07-25,23
2021-08-01,0
2021-08-08,0
2021-08-15,29
2021-08-22,0
2021-08-29,50
2021-09-05,37
2021-09-12,0
2021-09-19,29
2021-09-26,0
2021-10-03,45
2021-10-10,22
2021-10-17,35
2021-10-24,0
2021-10-31,30
2021-11-07,0
2021-11-14,50
2021-11-21,57
2021-11-28,34
2021-12-05,17
2021-12-12,26
2021-12-19,0
2021-12-26,19
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,46
2022-01-30,0
2022-02-06,26
2022-02-13,30
2022-02-20,0
2022-02-27,26
2022-03-06,31
2022-03-13,35
2022-03-20,60
2022-03-27,38
2022-04-03,60
2022-04-10,0
2022-04-17,24
2022-04-24,29
2022-05-01,42
2022-05-08,0
2022-05-15,15
2022-05-22,0
2022-05-29,0
2022-06-05,30
2022-06-12,0
2022-06-19,44
2022-06-26,63
2022-07-03,27
2022-07-10,36
2022-07-17,36
2022-07-24,54
2022-07-31,0
2022-08-07,25
2022-08-14,88
2022-08-21,33
2022-08-28,0
2022-09-04,0
2022-09-11,19
2022-09-18,49
2022-09-25,14
2022-10-02,27
2022-10-09,0
2022-10-16,44
2022-10-23,27
2022-10-30,25
2022-11-06,36
2022-11-13,60
2022-11-20,62
2022-11-27,51
2022-12-04,69
2022-12-11,48
2022-12-18,0
2022-12-25,26
2023-01-01,0
2023-01-08,18
2023-01-15,28
2023-01-22,36
2023-01-29,17
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,32
2023-03-05,49
2023-03-12,57
2023-03-19,34
2023-03-26,0
2023-04-02,0
2023-04-09,0
2023-04-16,42
2023-04-23,67
2023-04-30,0
2023-05-07,0
2023-05-14,24
2023-05-21,47
2023-05-28,19
2023-06-04,24
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,43
2023-07-09,0
2023-07-16,64
2023-07-23,43
2023-07-30,37
2023-08-06,0
2023-08-13,80
2023-08-20,42
2023-08-27,25
2023-09-03,46
2023-09-10,15
2023-09-17,46
2023-09-24,0
2023-10-01,35
2023-10-08,18
2023-10-15,0
2023-10-22,16
2023-10-29,43
2023-11-05,0
2023-11-12,65
2023-11-19,67
2023-11-26,100
2023-12-03,96
2023-12-10,28
2023-12-17,19
2023-12-24,49
2023-12-31,33
2024-01-07,29
2024-01-14,25
2024-01-21,19
2024-01-28,28
2024-02-04,28
