date,2024-02-16
2020-02-02,11
2020-02-09,0
2020-02-16,29
2020-02-23,0
2020-03-01,16
2020-03-08,11
2020-03-15,42
2020-03-22,52
2020-03-29,36
2020-04-05,40
2020-04-12,36
2020-04-19,26
2020-04-26,48
2020-05-03,39
2020-05-10,29
2020-05-17,28
2020-05-24,27
2020-05-31,29
2020-06-07,47
2020-06-14,38
2020-06-21,15
2020-06-28,27
2020-07-05,22
2020-07-12,48
2020-07-19,9
2020-07-26,23
2020-08-02,34
2020-08-09,48
2020-08-16,43
2020-08-23,32
2020-08-30,39
2020-09-06,24
2020-09-13,46
2020-09-20,31
2020-09-27,48
2020-10-04,31
2020-10-11,31
2020-10-18,43
2020-10-25,52
2020-11-01,41
2020-11-08,35
2020-11-15,13
2020-11-22,23
2020-11-29,47
2020-12-06,24
2020-12-13,9
2020-12-20,22
2020-12-27,67
2021-01-03,39
2021-01-10,43
2021-01-17,78
2021-01-24,36
2021-01-31,39
2021-02-07,45
2021-02-14,23
2021-02-21,73
2021-02-28,55
2021-03-07,43
2021-03-14,21
2021-03-21,39
2021-03-28,18
2021-04-04,21
2021-04-11,32
2021-04-18,36
2021-04-25,32
2021-05-02,0
2021-05-09,25
2021-05-16,0
2021-05-23,100
2021-05-30,40
2021-06-06,63
2021-06-13,50
2021-06-20,33
2021-06-27,67
2021-07-04,27
2021-07-11,32
2021-07-18,54
2021-07-25,19
2021-08-01,50
2021-08-08,42
2021-08-15,89
2021-08-22,44
2021-08-29,48
2021-09-05,27
2021-09-12,0
2021-09-19,54
2021-09-26,40
2021-10-03,43
2021-10-10,24
2021-10-17,11
2021-10-24,0
2021-10-31,29
2021-11-07,62
2021-11-14,68
2021-11-21,28
2021-11-28,54
2021-12-05,40
2021-12-12,16
2021-12-19,45
2021-12-26,11
2022-01-02,58
2022-01-09,23
2022-01-16,39
2022-01-23,39
2022-01-30,29
2022-02-06,41
2022-02-13,23
2022-02-20,36
2022-02-27,27
2022-03-06,59
2022-03-13,35
2022-03-20,19
2022-03-27,39
2022-04-03,35
2022-04-10,48
2022-04-17,35
2022-04-24,27
2022-05-01,41
2022-05-08,32
2022-05-15,14
2022-05-22,19
2022-05-29,81
2022-06-05,54
2022-06-12,49
2022-06-19,41
2022-06-26,50
2022-07-03,84
2022-07-10,43
2022-07-17,55
2022-07-24,69
2022-07-31,48
2022-08-07,34
2022-08-14,31
2022-08-21,23
2022-08-28,47
2022-09-04,64
2022-09-11,31
2022-09-18,45
2022-09-25,12
2022-10-02,27
2022-10-09,34
2022-10-16,56
2022-10-23,31
2022-10-30,47
2022-11-06,0
2022-11-13,47
2022-11-20,21
2022-11-27,21
2022-12-04,39
2022-12-11,44
2022-12-18,28
2022-12-25,13
2023-01-01,34
2023-01-08,37
2023-01-15,40
2023-01-22,31
2023-01-29,32
2023-02-05,29
2023-02-12,26
2023-02-19,15
2023-02-26,27
2023-03-05,29
2023-03-12,0
2023-03-19,48
2023-03-26,23
2023-04-02,34
2023-04-09,53
2023-04-16,32
2023-04-23,35
2023-04-30,29
2023-05-07,38
2023-05-14,35
2023-05-21,35
2023-05-28,28
2023-06-04,37
2023-06-11,36
2023-06-18,37
2023-06-25,41
2023-07-02,77
2023-07-09,59
2023-07-16,16
2023-07-23,31
2023-07-30,49
2023-08-06,14
2023-08-13,30
2023-08-20,50
2023-08-27,38
2023-09-03,36
2023-09-10,46
2023-09-17,45
2023-09-24,22
2023-10-01,32
2023-10-08,18
2023-10-15,0
2023-10-22,22
2023-10-29,0
2023-11-05,44
2023-11-12,20
2023-11-19,22
2023-11-26,39
2023-12-03,38
2023-12-10,33
2023-12-17,52
2023-12-24,9
2023-12-31,23
2024-01-07,33
2024-01-14,8
2024-01-21,36
2024-01-28,22
2024-02-04,28
