date,2024-02-16
2020-02-02,20
2020-02-09,15
2020-02-16,16
2020-02-23,22
2020-03-01,8
2020-03-08,13
2020-03-15,65
2020-03-22,46
2020-03-29,59
2020-04-05,86
2020-04-12,100
2020-04-19,57
2020-04-26,26
2020-05-03,42
2020-05-10,65
2020-05-17,49
2020-05-24,29
2020-05-31,40
2020-06-07,46
2020-06-14,40
2020-06-21,29
2020-06-28,40
2020-07-05,54
2020-07-12,54
2020-07-19,25
2020-07-26,40
2020-08-02,34
2020-08-09,41
2020-08-16,38
2020-08-23,29
2020-08-30,30
2020-09-06,20
2020-09-13,16
2020-09-20,22
2020-09-27,39
2020-10-04,36
2020-10-11,34
2020-10-18,31
2020-10-25,44
2020-11-01,36
2020-11-08,38
2020-11-15,16
2020-11-22,18
2020-11-29,27
2020-12-06,29
2020-12-13,18
2020-12-20,28
2020-12-27,42
2021-01-03,36
2021-01-10,32
2021-01-17,35
2021-01-24,31
2021-01-31,26
2021-02-07,27
2021-02-14,61
2021-02-21,82
2021-02-28,45
2021-03-07,42
2021-03-14,19
2021-03-21,24
2021-03-28,21
2021-04-04,35
2021-04-11,39
2021-04-18,28
2021-04-25,25
2021-05-02,23
2021-05-09,38
2021-05-16,18
2021-05-23,85
2021-05-30,77
2021-06-06,42
2021-06-13,31
2021-06-20,38
2021-06-27,31
2021-07-04,31
2021-07-11,38
2021-07-18,34
2021-07-25,37
2021-08-01,43
2021-08-08,37
2021-08-15,50
2021-08-22,28
2021-08-29,36
2021-09-05,42
2021-09-12,27
2021-09-19,30
2021-09-26,26
2021-10-03,14
2021-10-10,35
2021-10-17,28
2021-10-24,19
2021-10-31,23
2021-11-07,27
2021-11-14,43
2021-11-21,0
2021-11-28,34
2021-12-05,38
2021-12-12,32
2021-12-19,17
2021-12-26,17
2022-01-02,36
2022-01-09,37
2022-01-16,28
2022-01-23,34
2022-01-30,33
2022-02-06,25
2022-02-13,28
2022-02-20,25
2022-02-27,32
2022-03-06,38
2022-03-13,19
2022-03-20,19
2022-03-27,30
2022-04-03,31
2022-04-10,25
2022-04-17,32
2022-04-24,23
2022-05-01,28
2022-05-08,29
2022-05-15,29
2022-05-22,28
2022-05-29,47
2022-06-05,51
2022-06-12,41
2022-06-19,23
2022-06-26,41
2022-07-03,49
2022-07-10,23
2022-07-17,32
2022-07-24,34
2022-07-31,48
2022-08-07,31
2022-08-14,36
2022-08-21,34
2022-08-28,50
2022-09-04,48
2022-09-11,21
2022-09-18,33
2022-09-25,29
2022-10-02,41
2022-10-09,28
2022-10-16,35
2022-10-23,34
2022-10-30,41
2022-11-06,33
2022-11-13,18
2022-11-20,22
2022-11-27,50
2022-12-04,52
2022-12-11,44
2022-12-18,29
2022-12-25,24
2023-01-01,42
2023-01-08,26
2023-01-15,33
2023-01-22,28
2023-01-29,32
2023-02-05,34
2023-02-12,23
2023-02-19,20
2023-02-26,28
2023-03-05,22
2023-03-12,24
2023-03-19,32
2023-03-26,17
2023-04-02,21
2023-04-09,22
2023-04-16,33
2023-04-23,18
2023-04-30,32
2023-05-07,25
2023-05-14,30
2023-05-21,14
2023-05-28,25
2023-06-04,28
2023-06-11,30
2023-06-18,26
2023-06-25,27
2023-07-02,32
2023-07-09,30
2023-07-16,20
2023-07-23,17
2023-07-30,24
2023-08-06,18
2023-08-13,10
2023-08-20,33
2023-08-27,27
2023-09-03,26
2023-09-10,39
2023-09-17,37
2023-09-24,34
2023-10-01,43
2023-10-08,24
2023-10-15,25
2023-10-22,22
2023-10-29,25
2023-11-05,33
2023-11-12,25
2023-11-19,19
2023-11-26,21
2023-12-03,25
2023-12-10,27
2023-12-17,35
2023-12-24,29
2023-12-31,38
2024-01-07,22
2024-01-14,31
2024-01-21,27
2024-01-28,24
2024-02-04,19
