date,2024-02-16
2020-02-02,39
2020-02-09,36
2020-02-16,38
2020-02-23,34
2020-03-01,35
2020-03-08,36
2020-03-15,82
2020-03-22,81
2020-03-29,96
2020-04-05,100
2020-04-12,100
2020-04-19,69
2020-04-26,80
2020-05-03,65
2020-05-10,78
2020-05-17,82
2020-05-24,64
2020-05-31,57
2020-06-07,59
2020-06-14,50
2020-06-21,46
2020-06-28,52
2020-07-05,56
2020-07-12,49
2020-07-19,50
2020-07-26,51
2020-08-02,61
2020-08-09,57
2020-08-16,51
2020-08-23,40
2020-08-30,41
2020-09-06,51
2020-09-13,43
2020-09-20,35
2020-09-27,46
2020-10-04,48
2020-10-11,52
2020-10-18,54
2020-10-25,40
2020-11-01,46
2020-11-08,52
2020-11-15,52
2020-11-22,45
2020-11-29,56
2020-12-06,56
2020-12-13,63
2020-12-20,51
2020-12-27,48
2021-01-03,60
2021-01-10,56
2021-01-17,61
2021-01-24,62
2021-01-31,62
2021-02-07,69
2021-02-14,45
2021-02-21,49
2021-02-28,49
2021-03-07,52
2021-03-14,41
2021-03-21,42
2021-03-28,42
2021-04-04,58
2021-04-11,51
2021-04-18,42
2021-04-25,41
2021-05-02,49
2021-05-09,48
2021-05-16,55
2021-05-23,51
2021-05-30,49
2021-06-06,50
2021-06-13,47
2021-06-20,39
2021-06-27,50
2021-07-04,56
2021-07-11,65
2021-07-18,57
2021-07-25,50
2021-08-01,63
2021-08-08,62
2021-08-15,85
2021-08-22,53
2021-08-29,69
2021-09-05,76
2021-09-12,55
2021-09-19,53
2021-09-26,66
2021-10-03,70
2021-10-10,72
2021-10-17,61
2021-10-24,52
2021-10-31,66
2021-11-07,71
2021-11-14,58
2021-11-21,45
2021-11-28,61
2021-12-05,59
2021-12-12,45
2021-12-19,46
2021-12-26,44
2022-01-02,61
2022-01-09,66
2022-01-16,60
2022-01-23,51
2022-01-30,74
2022-02-06,64
2022-02-13,69
2022-02-20,66
2022-02-27,58
2022-03-06,68
2022-03-13,64
2022-03-20,71
2022-03-27,55
2022-04-03,60
2022-04-10,55
2022-04-17,51
2022-04-24,56
2022-05-01,66
2022-05-08,55
2022-05-15,61
2022-05-22,59
2022-05-29,52
2022-06-05,64
2022-06-12,64
2022-06-19,61
2022-06-26,70
2022-07-03,69
2022-07-10,80
2022-07-17,67
2022-07-24,64
2022-07-31,71
2022-08-07,69
2022-08-14,65
2022-08-21,62
2022-08-28,58
2022-09-04,73
2022-09-11,62
2022-09-18,72
2022-09-25,65
2022-10-02,79
2022-10-09,80
2022-10-16,75
2022-10-23,57
2022-10-30,59
2022-11-06,67
2022-11-13,85
2022-11-20,83
2022-11-27,69
2022-12-04,66
2022-12-11,66
2022-12-18,66
2022-12-25,53
2023-01-01,74
2023-01-08,72
2023-01-15,68
2023-01-22,66
2023-01-29,73
2023-02-05,69
2023-02-12,63
2023-02-19,57
2023-02-26,74
2023-03-05,70
2023-03-12,61
2023-03-19,66
2023-03-26,64
2023-04-02,59
2023-04-09,56
2023-04-16,53
2023-04-23,54
2023-04-30,51
2023-05-07,55
2023-05-14,66
2023-05-21,57
2023-05-28,69
2023-06-04,68
2023-06-11,52
2023-06-18,49
2023-06-25,61
2023-07-02,67
2023-07-09,68
2023-07-16,61
2023-07-23,65
2023-07-30,64
2023-08-06,70
2023-08-13,59
2023-08-20,53
2023-08-27,64
2023-09-03,62
2023-09-10,54
2023-09-17,53
2023-09-24,57
2023-10-01,69
2023-10-08,55
2023-10-15,48
2023-10-22,42
2023-10-29,58
2023-11-05,60
2023-11-12,48
2023-11-19,37
2023-11-26,44
2023-12-03,60
2023-12-10,52
2023-12-17,59
2023-12-24,46
2023-12-31,47
2024-01-07,60
2024-01-14,47
2024-01-21,47
2024-01-28,58
2024-02-04,54
