date,2024-02-16
2020-02-02,35
2020-02-09,33
2020-02-16,33
2020-02-23,29
2020-03-01,34
2020-03-08,41
2020-03-15,45
2020-03-22,67
2020-03-29,83
2020-04-05,80
2020-04-12,98
2020-04-19,59
2020-04-26,77
2020-05-03,63
2020-05-10,68
2020-05-17,68
2020-05-24,64
2020-05-31,49
2020-06-07,49
2020-06-14,37
2020-06-21,42
2020-06-28,49
2020-07-05,53
2020-07-12,50
2020-07-19,41
2020-07-26,49
2020-08-02,61
2020-08-09,47
2020-08-16,50
2020-08-23,52
2020-08-30,44
2020-09-06,46
2020-09-13,41
2020-09-20,39
2020-09-27,38
2020-10-04,40
2020-10-11,52
2020-10-18,51
2020-10-25,34
2020-11-01,40
2020-11-08,49
2020-11-15,46
2020-11-22,38
2020-11-29,45
2020-12-06,40
2020-12-13,65
2020-12-20,50
2020-12-27,38
2021-01-03,55
2021-01-10,43
2021-01-17,45
2021-01-24,62
2021-01-31,65
2021-02-07,56
2021-02-14,43
2021-02-21,44
2021-02-28,53
2021-03-07,58
2021-03-14,47
2021-03-21,40
2021-03-28,37
2021-04-04,53
2021-04-11,39
2021-04-18,41
2021-04-25,37
2021-05-02,39
2021-05-09,40
2021-05-16,38
2021-05-23,42
2021-05-30,55
2021-06-06,43
2021-06-13,56
2021-06-20,39
2021-06-27,48
2021-07-04,48
2021-07-11,55
2021-07-18,58
2021-07-25,43
2021-08-01,49
2021-08-08,63
2021-08-15,88
2021-08-22,41
2021-08-29,54
2021-09-05,61
2021-09-12,39
2021-09-19,49
2021-09-26,51
2021-10-03,67
2021-10-10,54
2021-10-17,66
2021-10-24,58
2021-10-31,67
2021-11-07,56
2021-11-14,58
2021-11-21,40
2021-11-28,57
2021-12-05,63
2021-12-12,53
2021-12-19,35
2021-12-26,44
2022-01-02,50
2022-01-09,61
2022-01-16,68
2022-01-23,60
2022-01-30,74
2022-02-06,64
2022-02-13,61
2022-02-20,62
2022-02-27,61
2022-03-06,64
2022-03-13,62
2022-03-20,58
2022-03-27,57
2022-04-03,57
2022-04-10,57
2022-04-17,57
2022-04-24,48
2022-05-01,48
2022-05-08,57
2022-05-15,76
2022-05-22,56
2022-05-29,57
2022-06-05,57
2022-06-12,63
2022-06-19,48
2022-06-26,60
2022-07-03,66
2022-07-10,64
2022-07-17,100
2022-07-24,61
2022-07-31,56
2022-08-07,63
2022-08-14,62
2022-08-21,59
2022-08-28,69
2022-09-04,78
2022-09-11,57
2022-09-18,54
2022-09-25,57
2022-10-02,78
2022-10-09,88
2022-10-16,52
2022-10-23,54
2022-10-30,58
2022-11-06,68
2022-11-13,76
2022-11-20,73
2022-11-27,69
2022-12-04,66
2022-12-11,79
2022-12-18,53
2022-12-25,51
2023-01-01,59
2023-01-08,70
2023-01-15,58
2023-01-22,74
2023-01-29,69
2023-02-05,70
2023-02-12,57
2023-02-19,45
2023-02-26,69
2023-03-05,56
2023-03-12,57
2023-03-19,68
2023-03-26,62
2023-04-02,48
2023-04-09,47
2023-04-16,48
2023-04-23,48
2023-04-30,58
2023-05-07,54
2023-05-14,50
2023-05-21,51
2023-05-28,50
2023-06-04,53
2023-06-11,64
2023-06-18,39
2023-06-25,50
2023-07-02,58
2023-07-09,58
2023-07-16,59
2023-07-23,57
2023-07-30,56
2023-08-06,68
2023-08-13,55
2023-08-20,58
2023-08-27,62
2023-09-03,55
2023-09-10,52
2023-09-17,61
2023-09-24,56
2023-10-01,68
2023-10-08,59
2023-10-15,41
2023-10-22,43
2023-10-29,40
2023-11-05,42
2023-11-12,37
2023-11-19,28
2023-11-26,48
2023-12-03,54
2023-12-10,57
2023-12-17,40
2023-12-24,44
2023-12-31,59
2024-01-07,55
2024-01-14,47
2024-01-21,55
2024-01-28,49
2024-02-04,51
