date,2024-02-16
2020-02-02,21
2020-02-09,21
2020-02-16,16
2020-02-23,17
2020-03-01,23
2020-03-08,26
2020-03-15,48
2020-03-22,53
2020-03-29,53
2020-04-05,80
2020-04-12,70
2020-04-19,51
2020-04-26,41
2020-05-03,39
2020-05-10,57
2020-05-17,59
2020-05-24,37
2020-05-31,48
2020-06-07,51
2020-06-14,47
2020-06-21,44
2020-06-28,49
2020-07-05,43
2020-07-12,39
2020-07-19,39
2020-07-26,45
2020-08-02,42
2020-08-09,40
2020-08-16,32
2020-08-23,38
2020-08-30,34
2020-09-06,35
2020-09-13,28
2020-09-20,32
2020-09-27,36
2020-10-04,44
2020-10-11,41
2020-10-18,41
2020-10-25,36
2020-11-01,47
2020-11-08,45
2020-11-15,44
2020-11-22,25
2020-11-29,43
2020-12-06,32
2020-12-13,25
2020-12-20,28
2020-12-27,42
2021-01-03,37
2021-01-10,53
2021-01-17,50
2021-01-24,32
2021-01-31,41
2021-02-07,35
2021-02-14,44
2021-02-21,71
2021-02-28,49
2021-03-07,43
2021-03-14,29
2021-03-21,29
2021-03-28,33
2021-04-04,36
2021-04-11,37
2021-04-18,32
2021-04-25,29
2021-05-02,33
2021-05-09,31
2021-05-16,31
2021-05-23,100
2021-05-30,71
2021-06-06,52
2021-06-13,48
2021-06-20,49
2021-06-27,49
2021-07-04,45
2021-07-11,43
2021-07-18,36
2021-07-25,36
2021-08-01,53
2021-08-08,47
2021-08-15,63
2021-08-22,42
2021-08-29,46
2021-09-05,46
2021-09-12,50
2021-09-19,42
2021-09-26,45
2021-10-03,42
2021-10-10,42
2021-10-17,32
2021-10-24,25
2021-10-31,41
2021-11-07,34
2021-11-14,36
2021-11-21,28
2021-11-28,51
2021-12-05,33
2021-12-12,36
2021-12-19,35
2021-12-26,30
2022-01-02,38
2022-01-09,23
2022-01-16,29
2022-01-23,39
2022-01-30,41
2022-02-06,41
2022-02-13,28
2022-02-20,35
2022-02-27,35
2022-03-06,40
2022-03-13,32
2022-03-20,29
2022-03-27,32
2022-04-03,38
2022-04-10,35
2022-04-17,27
2022-04-24,30
2022-05-01,38
2022-05-08,36
2022-05-15,40
2022-05-22,35
2022-05-29,47
2022-06-05,60
2022-06-12,41
2022-06-19,39
2022-06-26,44
2022-07-03,47
2022-07-10,44
2022-07-17,39
2022-07-24,38
2022-07-31,51
2022-08-07,39
2022-08-14,35
2022-08-21,40
2022-08-28,46
2022-09-04,47
2022-09-11,36
2022-09-18,36
2022-09-25,42
2022-10-02,49
2022-10-09,33
2022-10-16,30
2022-10-23,33
2022-10-30,36
2022-11-06,35
2022-11-13,33
2022-11-20,23
2022-11-27,42
2022-12-04,45
2022-12-11,42
2022-12-18,39
2022-12-25,34
2023-01-01,41
2023-01-08,39
2023-01-15,30
2023-01-22,35
2023-01-29,37
2023-02-05,33
2023-02-12,34
2023-02-19,35
2023-02-26,31
2023-03-05,32
2023-03-12,29
2023-03-19,27
2023-03-26,32
2023-04-02,30
2023-04-09,28
2023-04-16,30
2023-04-23,28
2023-04-30,34
2023-05-07,28
2023-05-14,30
2023-05-21,34
2023-05-28,30
2023-06-04,34
2023-06-11,33
2023-06-18,34
2023-06-25,37
2023-07-02,34
2023-07-09,35
2023-07-16,31
2023-07-23,38
2023-07-30,36
2023-08-06,40
2023-08-13,32
2023-08-20,37
2023-08-27,43
2023-09-03,33
2023-09-10,30
2023-09-17,35
2023-09-24,35
2023-10-01,38
2023-10-08,29
2023-10-15,31
2023-10-22,29
2023-10-29,27
2023-11-05,24
2023-11-12,29
2023-11-19,24
2023-11-26,25
2023-12-03,33
2023-12-10,32
2023-12-17,30
2023-12-24,25
2023-12-31,29
2024-01-07,27
2024-01-14,27
2024-01-21,30
2024-01-28,22
2024-02-04,23
