date,2024-02-16
2020-02-02,16
2020-02-09,18
2020-02-16,16
2020-02-23,12
2020-03-01,15
2020-03-08,35
2020-03-15,51
2020-03-22,46
2020-03-29,60
2020-04-05,87
2020-04-12,60
2020-04-19,35
2020-04-26,31
2020-05-03,29
2020-05-10,40
2020-05-17,63
2020-05-24,39
2020-05-31,43
2020-06-07,28
2020-06-14,37
2020-06-21,38
2020-06-28,47
2020-07-05,31
2020-07-12,25
2020-07-19,37
2020-07-26,39
2020-08-02,37
2020-08-09,29
2020-08-16,19
2020-08-23,22
2020-08-30,36
2020-09-06,24
2020-09-13,15
2020-09-20,26
2020-09-27,28
2020-10-04,31
2020-10-11,40
2020-10-18,22
2020-10-25,37
2020-11-01,47
2020-11-08,29
2020-11-15,31
2020-11-22,21
2020-11-29,31
2020-12-06,37
2020-12-13,20
2020-12-20,19
2020-12-27,42
2021-01-03,44
2021-01-10,48
2021-01-17,39
2021-01-24,32
2021-01-31,28
2021-02-07,31
2021-02-14,43
2021-02-21,70
2021-02-28,49
2021-03-07,32
2021-03-14,24
2021-03-21,24
2021-03-28,18
2021-04-04,24
2021-04-11,26
2021-04-18,40
2021-04-25,27
2021-05-02,29
2021-05-09,24
2021-05-16,29
2021-05-23,100
2021-05-30,64
2021-06-06,32
2021-06-13,38
2021-06-20,38
2021-06-27,49
2021-07-04,34
2021-07-11,45
2021-07-18,38
2021-07-25,37
2021-08-01,51
2021-08-08,42
2021-08-15,62
2021-08-22,30
2021-08-29,36
2021-09-05,20
2021-09-12,27
2021-09-19,37
2021-09-26,45
2021-10-03,31
2021-10-10,36
2021-10-17,36
2021-10-24,23
2021-10-31,30
2021-11-07,26
2021-11-14,30
2021-11-21,22
2021-11-28,35
2021-12-05,19
2021-12-12,24
2021-12-19,12
2021-12-26,30
2022-01-02,39
2022-01-09,36
2022-01-16,40
2022-01-23,43
2022-01-30,40
2022-02-06,33
2022-02-13,23
2022-02-20,16
2022-02-27,41
2022-03-06,39
2022-03-13,26
2022-03-20,17
2022-03-27,33
2022-04-03,30
2022-04-10,26
2022-04-17,30
2022-04-24,32
2022-05-01,36
2022-05-08,27
2022-05-15,31
2022-05-22,35
2022-05-29,52
2022-06-05,63
2022-06-12,38
2022-06-19,34
2022-06-26,53
2022-07-03,60
2022-07-10,43
2022-07-17,36
2022-07-24,44
2022-07-31,41
2022-08-07,44
2022-08-14,38
2022-08-21,40
2022-08-28,45
2022-09-04,43
2022-09-11,24
2022-09-18,45
2022-09-25,42
2022-10-02,55
2022-10-09,43
2022-10-16,27
2022-10-23,33
2022-10-30,44
2022-11-06,43
2022-11-13,29
2022-11-20,19
2022-11-27,41
2022-12-04,40
2022-12-11,38
2022-12-18,25
2022-12-25,38
2023-01-01,48
2023-01-08,41
2023-01-15,36
2023-01-22,36
2023-01-29,34
2023-02-05,36
2023-02-12,27
2023-02-19,36
2023-02-26,29
2023-03-05,24
2023-03-12,29
2023-03-19,33
2023-03-26,31
2023-04-02,31
2023-04-09,26
2023-04-16,26
2023-04-23,26
2023-04-30,19
2023-05-07,25
2023-05-14,32
2023-05-21,28
2023-05-28,50
2023-06-04,44
2023-06-11,43
2023-06-18,44
2023-06-25,34
2023-07-02,43
2023-07-09,39
2023-07-16,37
2023-07-23,27
2023-07-30,39
2023-08-06,44
2023-08-13,36
2023-08-20,38
2023-08-27,33
2023-09-03,43
2023-09-10,32
2023-09-17,35
2023-09-24,29
2023-10-01,36
2023-10-08,34
2023-10-15,28
2023-10-22,30
2023-10-29,25
2023-11-05,19
2023-11-12,21
2023-11-19,25
2023-11-26,29
2023-12-03,27
2023-12-10,29
2023-12-17,25
2023-12-24,24
2023-12-31,28
2024-01-07,26
2024-01-14,29
2024-01-21,34
2024-01-28,32
2024-02-04,26
