date,Supplemntal Nutrition Assistance Program,Food bank,Soup kitchen,CalFresh,Electronic Benefit Transfer,month,year,CountyName,State
2018-01-01,70.0,70.0,19.0,0.0,52.0,1,2018,austin,TX
2018-02-01,69.0,50.0,0.0,47.0,46.5,2,2018,austin,TX
2018-03-01,66.0,50.0,27.0,0.0,33.0,3,2018,austin,TX
2018-04-01,72.0,64.0,0.0,0.0,52.0,4,2018,austin,TX
2018-05-01,67.0,54.0,0.0,0.0,35.0,5,2018,austin,TX
2018-06-01,81.0,71.0,20.0,0.0,35.0,6,2018,austin,TX
2018-07-01,78.0,61.0,0.0,0.0,40.0,7,2018,austin,TX
2018-08-01,85.0,62.0,22.0,0.0,43.0,8,2018,austin,TX
2018-09-01,66.0,62.0,0.0,0.0,35.0,9,2018,austin,TX
2018-10-01,65.0,68.0,19.0,0.0,45.0,10,2018,austin,TX
2018-11-01,72.0,78.0,19.0,29.0,39.0,11,2018,austin,TX
2018-12-01,59.0,59.0,0.0,0.0,0.0,12,2018,austin,TX
2019-01-01,104.76,83.0,0.0,0.0,34.12,1,2019,austin,TX
2019-02-01,62.7,69.0,24.0,0.0,28.82,2,2019,austin,TX
2019-03-01,60.32,35.0,24.0,30.0,62.35,3,2019,austin,TX
2019-04-01,49.21,52.0,0.0,0.0,0.0,4,2019,austin,TX
2019-05-01,58.73,54.0,0.0,0.0,37.65,5,2019,austin,TX
2019-06-01,74.6,47.0,0.0,0.0,76.47,6,2019,austin,TX
2019-07-01,74.6,51.0,0.0,0.0,60.0,7,2019,austin,TX
2019-08-01,71.43,50.0,0.0,0.0,0.0,8,2019,austin,TX
2019-09-01,72.22,54.0,0.0,0.0,49.41,9,2019,austin,TX
2019-10-01,57.14,42.0,0.0,0.0,37.65,10,2019,austin,TX
2019-11-01,61.9,75.0,0.0,0.0,32.94,11,2019,austin,TX
2019-12-01,58.73,71.43,0.0,0.0,61.62,12,2019,austin,TX
2020-01-01,68.92,52.38,0.0,33.0,61.62,1,2020,austin,TX
2020-02-01,52.21,45.24,0.0,0.0,50.42,2,2020,austin,TX
2020-03-01,148.29,145.24,0.0,0.0,78.43,3,2020,austin,TX
2020-04-01,150.38,200.0,25.0,0.0,89.64,4,2020,austin,TX
2020-05-01,114.87,95.24,0.0,0.0,207.28,5,2020,austin,TX
2020-06-01,110.69,64.29,0.0,0.0,375.35,6,2020,austin,TX
2020-07-01,104.43,80.95,0.0,0.0,240.9,7,2020,austin,TX
2020-08-01,91.9,69.05,0.0,29.0,201.68,8,2020,austin,TX
2020-09-01,100.25,52.38,0.0,0.0,106.44,9,2020,austin,TX
2020-10-01,100.25,66.67,0.0,0.0,100.84,10,2020,austin,TX
2020-11-01,89.81,92.86,21.0,0.0,120.45,11,2020,austin,TX
2020-12-01,100.25,107.14,0.0,0.0,140.06,12,2020,austin,TX
2021-01-01,124.18,23.0,0.0,0.0,143.04,1,2021,austin,TX
2021-02-01,131.24,29.0,9.19,0.0,166.88,2,2021,austin,TX
2021-03-01,84.67,14.0,0.0,0.0,95.36,3,2021,austin,TX
2021-04-01,87.49,11.0,0.0,0.0,119.2,4,2021,austin,TX
2021-05-01,107.25,16.0,0.0,0.0,250.31,5,2021,austin,TX
2021-06-01,138.3,20.0,0.0,0.0,643.66,6,2021,austin,TX
2021-07-01,129.83,19.0,0.0,0.0,393.35,7,2021,austin,TX
2021-08-01,141.12,23.0,0.0,0.0,309.91,8,2021,austin,TX
2021-09-01,110.07,15.0,0.0,0.0,286.07,9,2021,austin,TX
2021-10-01,107.25,14.0,0.0,0.0,238.39,10,2021,austin,TX
2021-11-01,104.43,20.0,17.5,27.78,262.23,11,2021,austin,TX
