date,Supplemntal Nutrition Assistance Program,Food bank,Electronic Benefit Transfer,month,year,CountyName,State
2018-01-01,35.0,0.0,0.0,1,2018,corpus christi,TX
2018-02-01,33.0,40.0,36.0,2,2018,corpus christi,TX
2018-03-01,32.0,33.0,0.0,3,2018,corpus christi,TX
2018-04-01,25.0,16.5,0.0,4,2018,corpus christi,TX
2018-05-01,37.0,37.0,0.0,5,2018,corpus christi,TX
2018-06-01,37.0,0.0,0.0,6,2018,corpus christi,TX
2018-07-01,34.0,24.0,0.0,7,2018,corpus christi,TX
2018-08-01,48.0,0.0,0.0,8,2018,corpus christi,TX
2018-09-01,43.0,0.0,0.0,9,2018,corpus christi,TX
2018-10-01,27.0,26.0,0.0,10,2018,corpus christi,TX
2018-11-01,31.0,45.0,0.0,11,2018,corpus christi,TX
2018-12-01,26.0,44.0,0.0,12,2018,corpus christi,TX
2019-01-01,77.78,42.62,0.0,1,2019,corpus christi,TX
2019-02-01,52.22,22.95,0.0,2,2019,corpus christi,TX
2019-03-01,35.56,0.0,0.0,3,2019,corpus christi,TX
2019-04-01,25.56,0.0,0.0,4,2019,corpus christi,TX
2019-05-01,36.67,0.0,0.0,5,2019,corpus christi,TX
2019-06-01,45.56,31.15,0.0,6,2019,corpus christi,TX
2019-07-01,44.44,29.51,0.0,7,2019,corpus christi,TX
2019-08-01,27.78,21.31,28.0,8,2019,corpus christi,TX
2019-09-01,40.0,23.77,11.5,9,2019,corpus christi,TX
2019-10-01,21.11,39.34,0.0,10,2019,corpus christi,TX
2019-11-01,23.33,55.74,0.0,11,2019,corpus christi,TX
2019-12-01,35.56,35.0,47.0,12,2019,corpus christi,TX
2020-01-01,34.19,26.0,41.18,1,2020,corpus christi,TX
2020-02-01,34.19,26.0,0.0,2,2020,corpus christi,TX
2020-03-01,132.48,46.0,32.35,3,2020,corpus christi,TX
2020-04-01,130.34,36.0,35.29,4,2020,corpus christi,TX
2020-05-01,119.66,18.0,102.94,5,2020,corpus christi,TX
2020-06-01,94.02,16.0,235.29,6,2020,corpus christi,TX
2020-07-01,87.61,36.0,91.18,7,2020,corpus christi,TX
2020-08-01,76.92,35.0,91.18,8,2020,corpus christi,TX
2020-09-01,51.28,18.0,47.06,9,2020,corpus christi,TX
2020-10-01,87.61,18.0,52.94,10,2020,corpus christi,TX
2020-11-01,54.49,19.0,52.94,11,2020,corpus christi,TX
2020-12-01,49.15,19.0,35.29,12,2020,corpus christi,TX
2021-01-01,31.0,20.0,45.75,1,2021,corpus christi,TX
2021-02-01,52.0,22.5,32.68,2,2021,corpus christi,TX
2021-03-01,23.0,23.0,26.14,3,2021,corpus christi,TX
2021-04-01,37.0,0.0,26.14,4,2021,corpus christi,TX
2021-05-01,37.0,18.0,150.33,5,2021,corpus christi,TX
2021-06-01,35.0,12.0,209.15,6,2021,corpus christi,TX
2021-07-01,36.0,0.0,169.93,7,2021,corpus christi,TX
2021-08-01,43.0,0.0,150.33,8,2021,corpus christi,TX
2021-09-01,30.0,18.0,91.5,9,2021,corpus christi,TX
2021-10-01,30.0,0.0,65.36,10,2021,corpus christi,TX
2021-11-01,39.0,29.0,117.65,11,2021,corpus christi,TX
2021-12-01,34.0,0.0,39.22,12,2021,corpus christi,TX
2022-01-01,31.0,15.85,0.0,1,2022,corpus christi,TX
2022-02-01,32.5,17.17,9.0,2,2022,corpus christi,TX
2022-03-01,28.0,9.91,13.0,3,2022,corpus christi,TX
2022-04-01,30.0,23.77,15.0,4,2022,corpus christi,TX
2022-05-01,34.0,11.23,16.0,5,2022,corpus christi,TX
2022-06-01,42.0,0.0,14.0,6,2022,corpus christi,TX
2022-07-01,30.0,17.83,15.0,7,2022,corpus christi,TX
2022-08-01,42.0,29.06,12.0,8,2022,corpus christi,TX
2022-09-01,36.0,22.45,15.0,9,2022,corpus christi,TX
2022-10-01,37.0,31.7,12.0,10,2022,corpus christi,TX
2022-11-01,34.0,27.74,10.0,11,2022,corpus christi,TX
2022-12-01,47.0,27.74,34.0,12,2022,corpus christi,TX
2023-01-01,29.0,44.35,16.0,1,2023,corpus christi,TX
2023-02-01,25.0,40.53,14.5,2,2023,corpus christi,TX
2023-03-01,23.0,42.82,10.0,3,2023,corpus christi,TX
2023-04-01,23.0,27.53,6.0,4,2023,corpus christi,TX
2023-05-01,27.0,39.76,0.0,5,2023,corpus christi,TX
2023-06-01,29.0,62.71,7.0,6,2023,corpus christi,TX
2023-07-01,23.0,27.53,6.0,7,2023,corpus christi,TX
2023-08-01,26.0,48.94,10.0,8,2023,corpus christi,TX
2023-09-01,33.0,61.18,7.0,9,2023,corpus christi,TX
2023-10-01,27.0,78.0,5.0,10,2023,corpus christi,TX
2023-11-01,22.0,52.0,0.0,11,2023,corpus christi,TX
2023-12-01,30.0,47.41,7.0,12,2023,corpus christi,TX
2024-01-01,28.0,64.24,8.0,1,2024,corpus christi,TX
2024-02-01,19.0,24.47,9.0,2,2024,corpus christi,TX
